unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,vehicle_type,taxi_company_borough
58817097,2023-09-14T09:40:59.000,2023-09-14T13:09:53.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10458,2484 GRAND CONCOURSE,GRAND CONCOURSE,EAST  188 STREET,EAST FORDHAM ROAD,EAST  188 STREET,EAST FORDHAM ROAD,ADDRESS,BRONX,GRAND CONCOURSE,Closed,The Department of Sanitation cleaned the location.,2023-09-14T13:09:57.000,05 BRONX,2031530009,BRONX,1012637,253343,MOBILE,Unspecified,BRONX,40.86199708339742,-73.8973742482566,"{'latitude': '40.86199708339742', 'longitude': '-73.8973742482566', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58817505,2023-09-14T09:40:56.000,2023-09-28T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11235,25 NEPTUNE AVENUE,NEPTUNE AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-28T00:00:00.000,15 BROOKLYN,3087650043,BROOKLYN,996678,151649,UNKNOWN,Unspecified,BROOKLYN,40.582908846708115,-73.95525759477458,"{'latitude': '40.582908846708115', 'longitude': '-73.95525759477458', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58816591,2023-09-14T09:40:53.000,2023-09-21T16:34:22.000,HPD,Department of Housing Preservation and Development,OUTSIDE BUILDING,ROOFING,RESIDENTIAL BUILDING,11101,5-33 48 AVENUE,48 AVENUE,,,,,ADDRESS,LONG ISLAND CITY,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-21T00:00:00.000,02 QUEENS,4000307502,QUEENS,996546,210501,PHONE,Unspecified,QUEENS,40.744444665154404,-73.95562548139083,"{'latitude': '40.744444665154404', 'longitude': '-73.95562548139083', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58812402,2023-09-14T09:40:44.000,2023-09-18T08:19:10.000,DOT,Department of Transportation,Street Condition,Blocked - Construction,Street,11237,75 WILSON AVENUE,WILSON AVENUE,JEFFERSON STREET,TROUTMAN STREET,JEFFERSON STREET,TROUTMAN STREET,ADDRESS,BROOKLYN,WILSON AVENUE,Closed,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-09-18T08:19:18.000,04 BROOKLYN,3031740005,BROOKLYN,1004202,195055,PHONE,Unspecified,BROOKLYN,40.702035190480395,-73.9280418646816,"{'latitude': '40.702035190480395', 'longitude': '-73.9280418646816', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58819356,2023-09-14T09:40:33.000,2023-09-14T11:39:29.000,DHS,Department of Homeless Services,Encampment,N/A,Street/Sidewalk,10012,BROADWAY,BROADWAY,BROADWAY,PRINCE STREET,BROADWAY,PRINCE STREET,INTERSECTION,,,Closed,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,2023-09-14T11:39:33.000,02 MANHATTAN,,MANHATTAN,984864,203135,PHONE,Unspecified,MANHATTAN,40.7242353361815,-73.99778483319649,"{'latitude': '40.7242353361815', 'longitude': '-73.99778483319649', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58819357,2023-09-14T09:40:33.000,2023-09-14T10:27:19.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,10012,BROADWAY,BROADWAY,BROADWAY,PRINCE STREET,BROADWAY,PRINCE STREET,INTERSECTION,,,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-14T10:27:22.000,02 MANHATTAN,,MANHATTAN,984864,203135,PHONE,Unspecified,MANHATTAN,40.7242353361815,-73.99778483319649,"{'latitude': '40.7242353361815', 'longitude': '-73.99778483319649', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58812927,2023-09-14T09:40:18.000,2023-10-02T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11232,145 19 STREET,19 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The City has removed the graffiti from this property.,2023-10-03T09:56:47.000,07 BROOKLYN,3006330024,BROOKLYN,985542,181319,UNKNOWN,Unspecified,BROOKLYN,40.664355400190516,-73.99534295393234,"{'latitude': '40.664355400190516', 'longitude': '-73.99534295393234', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,2023-10-14T09:40:18.000,,,,,,,
58817483,2023-09-14T09:40:03.000,2023-09-14T10:36:37.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11419,120-12 ATLANTIC AVENUE,ATLANTIC AVENUE,120 STREET,121 STREET,120 STREET,121 STREET,ADDRESS,SOUTH RICHMOND HILL,ATLANTIC AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T10:36:40.000,09 QUEENS,,QUEENS,1032300,192300,MOBILE,Unspecified,QUEENS,40.694365409224716,-73.8267245126508,"{'latitude': '40.694365409224716', 'longitude': '-73.8267245126508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58817977,2023-09-14T09:40:02.000,2023-09-15T15:14:18.000,DOHMH,Department of Health and Mental Hygiene,Drinking Water,Illness Caused by Drinking Water,1-3 Family Dwelling,10306,133 WOODCUTTERS LANE,WOODCUTTERS LANE,,DEAD END,,DEAD END,ADDRESS,STATEN ISLAND,WOODCUTTERS LANE,Closed,The Department of Health and Mental Hygiene has investigated the Service Request. No Health Code violations or health hazards were noted. No further action is needed.,2023-09-15T15:14:22.000,03 STATEN ISLAND,5046450234,STATEN ISLAND,945110,142283,PHONE,Unspecified,STATEN ISLAND,40.55712334049605,-74.14085472698233,"{'latitude': '40.55712334049605', 'longitude': '-74.14085472698233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58816464,2023-09-14T09:39:53.000,2023-09-14T11:41:00.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10463,160 WEST  231 STREET,WEST  231 STREET,BAILEY AVENUE,ALBANY CRESCENT,BAILEY AVENUE,ALBANY CRESCENT,ADDRESS,BRONX,WEST  231 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T11:41:03.000,08 BRONX,2032660109,BRONX,1011048,259269,ONLINE,Unspecified,BRONX,40.878267098649296,-73.90309515581207,"{'latitude': '40.878267098649296', 'longitude': '-73.90309515581207', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
