unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,landmark,bbl,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,due_date
58819472,2023-09-14T08:02:08.000,2023-09-15T10:16:15.000,DSNY,Department of Sanitation,Obstruction,Cone,Street,11368,34 AVENUE,34 AVENUE,34 AVENUE,110 STREET,34 AVENUE,110 STREET,INTERSECTION,Closed,The Department of Sanitation investigated this complaint and no DSNY related conditions/violations were observed. Location will be referred to the appropriate agency for further action.,2023-09-14T09:40:46.000,03 QUEENS,QUEENS,1023369,214919,PHONE,Unspecified,QUEENS,40.756492970006335,-73.85879949156258,"{'latitude': '40.756492970006335', 'longitude': '-73.85879949156258', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58815101,2023-09-14T08:02:04.000,2023-09-14T09:08:15.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11216,282 NEW YORK AVENUE,NEW YORK AVENUE,ST JOHNS PLACE,LINCOLN PLACE,ST JOHNS PLACE,LINCOLN PLACE,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T09:08:20.000,08 BROOKLYN,BROOKLYN,998775,183683,PHONE,Unspecified,BROOKLYN,40.67083223257899,-73.94763918972998,"{'latitude': '40.67083223257899', 'longitude': '-73.94763918972998', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,NEW YORK AVENUE,3012550047,,,,,,,
58817316,2023-09-14T08:02:00.000,2023-09-14T09:25:00.000,DEP,Department of Environmental Protection,Sewer,Manhole Cover Missing (Emergency) (SA3),,11230,,,,,MCDONALD AVENUE,AVENUE M,INTERSECTION,Closed,The Department of Environmental Protection investigated this complaint and referred it to another agency or utility for further action.,2023-09-14T09:25:00.000,12 BROOKLYN,BROOKLYN,991345,163856,PHONE,Unspecified,BROOKLYN,40.616420460017785,-73.97444426100346,"{'latitude': '40.616420460017785', 'longitude': '-73.97444426100346', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,,,,,,,
58814090,2023-09-14T08:02:00.000,2023-09-14T09:16:50.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11210,1124 EAST   29 STREET,EAST   29 STREET,AVENUE K,AVENUE L,AVENUE K,AVENUE L,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-14T09:16:55.000,14 BROOKLYN,BROOKLYN,998884,166441,MOBILE,Unspecified,BROOKLYN,40.62350650124717,-73.94728366370057,"{'latitude': '40.62350650124717', 'longitude': '-73.94728366370057', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,EAST   29 STREET,3076280055,,,,,,,
58817302,2023-09-14T08:02:00.000,2023-09-21T07:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11216,11 HALSEY STREET,HALSEY STREET,BEDFORD AVE,ARLINGTON PL,,,ADDRESS,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-21T07:00:00.000,03 BROOKLYN,BROOKLYN,997313,187555,ONLINE,Unspecified,BROOKLYN,40.681462275805295,-73.95290201122553,"{'latitude': '40.681462275805295', 'longitude': '-73.95290201122553', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3018370100,N/A,,,,,,
58818011,2023-09-14T08:01:55.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11235,3016 BRIGHTON    4 STREET,BRIGHTON    4 STREET,OCEAN VIEW AVENUE,BRIGHTON BEACH AVENUE,OCEAN VIEW AVENUE,BRIGHTON BEACH AVENUE,ADDRESS,In Progress,,,13 BROOKLYN,BROOKLYN,994304,150083,MOBILE,Unspecified,BROOKLYN,40.578613496928625,-73.96380662974114,"{'latitude': '40.578613496928625', 'longitude': '-73.96380662974114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,BRIGHTON    4 STREET,3086730041,,,,,,,
58815174,2023-09-14T08:01:49.000,2023-09-14T18:05:01.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11379,61-55 84 PLACE,84 PLACE,61 ROAD,DRY HARBOR ROAD,61 ROAD,DRY HARBOR ROAD,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T18:05:05.000,05 QUEENS,QUEENS,1019513,204011,MOBILE,Unspecified,QUEENS,40.72656947763175,-73.87277493416825,"{'latitude': '40.72656947763175', 'longitude': '-73.87277493416825', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MIDDLE VILLAGE,84 PLACE,4029460002,,,,,,,
58814091,2023-09-14T08:01:39.000,2023-09-14T09:17:50.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11377,33-24 60 STREET,60 STREET,NORTHERN BOULEVARD,59 STREET,NORTHERN BOULEVARD,59 STREET,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-14T09:17:55.000,02 QUEENS,QUEENS,1011302,213646,PHONE,Unspecified,QUEENS,40.75304406488943,-73.9023605530372,"{'latitude': '40.75304406488943', 'longitude': '-73.9023605530372', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WOODSIDE,60 STREET,4011820049,,,,,,,
58811464,2023-09-14T08:01:36.000,2023-09-15T10:15:49.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,11212,CHESTER STREET,CHESTER STREET,CHESTER STREET,PITKIN AVENUE,CHESTER STREET,PITKIN AVENUE,INTERSECTION,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-15T10:14:57.000,16 BROOKLYN,BROOKLYN,1008755,183223,ONLINE,Unspecified,BROOKLYN,40.669547636905584,-73.91166422826205,"{'latitude': '40.669547636905584', 'longitude': '-73.91166422826205', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58819434,2023-09-14T08:01:27.000,2023-09-14T10:28:14.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10001,53 WEST   35 STREET,WEST   35 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T10:28:17.000,05 MANHATTAN,MANHATTAN,988157,212477,ONLINE,Unspecified,MANHATTAN,40.74987597394469,-73.98589904257705,"{'latitude': '40.74987597394469', 'longitude': '-73.98589904257705', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST   35 STREET,1008370012,,,,,,,
