unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,taxi_company_borough
58800272,2023-09-14T01:43:15.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10453,1940 JEROME AVENUE,JEROME AVENUE,ADDRESS,BRONX,N/A,Open,2023-11-14T07:29:10.000,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",2023-11-09T07:29:10.000,05 BRONX,2028530012,BRONX,1009212,249380,UNKNOWN,Unspecified,BRONX,40.85113018822145,-73.90977118551345,"{'latitude': '40.85113018822145', 'longitude': '-73.90977118551345', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58804032,2023-09-14T01:42:58.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10472,1440 BRONX RIVER AVENUE,BRONX RIVER AVENUE,ADDRESS,BRONX,,Closed,,The Police Department issued a summons in response to the complaint.,2023-09-14T01:57:59.000,09 BRONX,2038860002,BRONX,1018017,243713,PHONE,Unspecified,BRONX,40.83554666365087,-73.87797279135413,"{'latitude': '40.83554666365087', 'longitude': '-73.87797279135413', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T01:57:52.000,EAST  174 STREET,CROSS BRONX EXPRESSWAY,EAST  174 STREET,CROSS BRONX EXPRESSWAY,BRONX RIVER AVENUE,,,,,
58805487,2023-09-14T01:42:06.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10453,1942 JEROME AVENUE,JEROME AVENUE,ADDRESS,BRONX,N/A,Open,2023-11-14T07:29:10.000,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",2023-11-09T07:29:10.000,05 BRONX,2028530015,BRONX,1009220,249393,UNKNOWN,Unspecified,BRONX,40.851165846728094,-73.90974221994158,"{'latitude': '40.851165846728094', 'longitude': '-73.90974221994158', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58805047,2023-09-14T01:41:53.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10105,1345 AVENUE OF AMERICAS,AVENUE OF AMERICAS,ADDRESS,NEW YORK,,Closed,,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-14T03:06:29.000,05 MANHATTAN,1010070029,MANHATTAN,990217,217115,MOBILE,Unspecified,MANHATTAN,40.762604951668195,-73.9784600732737,"{'latitude': '40.762604951668195', 'longitude': '-73.9784600732737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,WEST 54 STREET,WEST 55 STREET,WEST   54 STREET,WEST   55 STREET,AVENUE OF THE AMERICAS,,,,,
58809413,2023-09-14T01:41:25.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11212,411 AMBOY STREET,AMBOY STREET,ADDRESS,BROOKLYN,,Closed,,The Police Department issued a summons in response to the complaint.,2023-09-14T02:00:09.000,16 BROOKLYN,3035990024,BROOKLYN,1008619,179745,PHONE,Unspecified,BROOKLYN,40.66000167847548,-73.91216705280101,"{'latitude': '40.66000167847548', 'longitude': '-73.91216705280101', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T02:00:04.000,RIVERDALE AVENUE,NEWPORT STREET,RIVERDALE AVENUE,NEWPORT STREET,AMBOY STREET,,,,,
58808061,2023-09-14T01:40:57.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10453,1959 JEROME AVENUE,JEROME AVENUE,ADDRESS,BRONX,N/A,Closed,2023-10-14T01:40:57.000,The City has removed the graffiti from this property.,2023-09-25T08:32:34.000,05 BRONX,2028620090,BRONX,1009280,249497,UNKNOWN,Unspecified,BRONX,40.851451125851966,-73.90952495289528,"{'latitude': '40.851451125851966', 'longitude': '-73.90952495289528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T00:00:00.000,,,,,,,,,,
58800439,2023-09-14T01:40:34.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10305,20 FATHER CAPODANNO BOULEVARD,FATHER CAPODANNO BOULEVARD,ADDRESS,STATEN ISLAND,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T01:50:01.000,02 STATEN ISLAND,5031250116,STATEN ISLAND,966982,156412,PHONE,Unspecified,STATEN ISLAND,40.59597421974536,-74.06217919709624,"{'latitude': '40.59597421974536', 'longitude': '-74.06217919709624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T01:49:58.000,LILY POND AVENUE,ROBIN ROAD,LILY POND AVENUE,ROBIN ROAD,FATHER CAPODANNO BOULEVARD,,,,,
58804411,2023-09-14T01:40:18.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10002,150 LUDLOW STREET,LUDLOW STREET,ADDRESS,NEW YORK,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T01:44:51.000,03 MANHATTAN,1004110045,MANHATTAN,987578,201872,MOBILE,Unspecified,MANHATTAN,40.72076810190416,-73.98799398759097,"{'latitude': '40.72076810190416', 'longitude': '-73.98799398759097', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T01:44:44.000,RIVINGTON STREET,STANTON STREET,RIVINGTON STREET,STANTON STREET,LUDLOW STREET,,,,,
58803603,2023-09-14T01:39:40.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,11209,8624 5 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,,Closed,,"The Department of Transportation inspected the location more than six months ago and has notified the property owner of any defective sidewalk conditions. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",2023-09-21T16:31:30.000,10 BROOKLYN,3060450044,BROOKLYN,976921,165630,ONLINE,Unspecified,BROOKLYN,40.62128953061527,-74.02640051787417,"{'latitude': '40.62128953061527', 'longitude': '-74.02640051787417', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T16:31:25.000,86 STREET,87 STREET,86 STREET,87 STREET,5 AVENUE,,,,,
58804933,2023-09-14T01:38:52.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11221,CORNELIA STREET,CORNELIA STREET,INTERSECTION,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T02:27:59.000,04 BROOKLYN,,BROOKLYN,1008499,191844,MOBILE,Unspecified,BROOKLYN,40.69321101563622,-73.91255603534117,"{'latitude': '40.69321101563622', 'longitude': '-73.91255603534117', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T02:27:56.000,CORNELIA STREET,WILSON AVENUE,CORNELIA STREET,WILSON AVENUE,,,,,,
