unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,intersection_street_1,intersection_street_2,landmark,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location,vehicle_type,due_date
58809154,2023-09-13T19:56:00.000,2023-09-14T06:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),11234,1161 EAST   73 STREET,EAST   73 STREET,AVENUE K,AVENUE L,ADDRESS,BROOKLYN,N/A,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-14T06:00:00.000,18 BROOKLYN,3083430007,BROOKLYN,1007851,167875,ONLINE,Unspecified,BROOKLYN,40.62742317870706,-73.91497667169008,"{'latitude': '40.62742317870706', 'longitude': '-73.91497667169008', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58801350,2023-09-13T19:56:00.000,2023-09-18T21:30:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),11692,365 BEACH   56 STREET,BEACH   56 STREET,ARVERNE BLVD,BEACH CHANNEL DR,ADDRESS,ARVERNE,N/A,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-18T21:30:00.000,14 QUEENS,4158940011,QUEENS,1043632,155747,ONLINE,Unspecified,QUEENS,40.5939668251133,-73.78618152428415,"{'latitude': '40.5939668251133', 'longitude': '-73.78618152428415', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58801373,2023-09-13T19:56:00.000,2023-09-14T11:40:00.000,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),11204,1418 WEST    4 STREET,WEST    4 STREET,65 ST,AVENUE O,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,2023-09-14T11:40:00.000,11 BROOKLYN,3065807504,BROOKLYN,990241,162139,ONLINE,Unspecified,BROOKLYN,40.6117084649708,-73.97842232207402,"{'latitude': '40.6117084649708', 'longitude': '-73.97842232207402', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58809864,2023-09-13T19:55:55.000,2023-09-28T20:01:32.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,10451,488 EAST  163 STREET,EAST  163 STREET,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,03 BRONX,2023670001,BRONX,1009152,239643,PHONE,Unspecified,BRONX,40.824405131686454,-73.91002421565749,"{'latitude': '40.824405131686454', 'longitude': '-73.91002421565749', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58809405,2023-09-13T19:55:55.000,2023-09-13T23:15:24.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11214,1634 BATH AVENUE,BATH AVENUE,BAY   13 STREET,BAY   14 STREET,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T23:15:31.000,11 BROOKLYN,3064310043,BROOKLYN,981557,160062,ONLINE,Unspecified,BROOKLYN,40.60600914196206,-74.00969850202085,"{'latitude': '40.60600914196206', 'longitude': '-74.00969850202085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,BAY   13 STREET,BAY   14 STREET,BATH AVENUE,,,,,,,
58807286,2023-09-13T19:55:51.000,2023-09-13T20:42:06.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,11434,131-11 FARMERS BOULEVARD,FARMERS BOULEVARD,MATHEWSON COURT,132 AVENUE,ADDRESS,JAMAICA,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-13T20:42:09.000,12 QUEENS,4129840043,QUEENS,1050272,186667,MOBILE,Unspecified,QUEENS,40.67878834590933,-73.76197026604802,"{'latitude': '40.67878834590933', 'longitude': '-73.76197026604802', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,MATHEWSON COURT,132 AVENUE,FARMERS BOULEVARD,,,,,,,
58808565,2023-09-13T19:55:48.000,2023-09-13T19:58:09.000,NYPD,New York City Police Department,Drug Activity,Use Outside,11366,158-33 78 AVENUE,78 AVENUE,PARSONS BOULEVARD,160 STREET,ADDRESS,FRESH MEADOWS,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T19:58:13.000,08 QUEENS,4068280015,QUEENS,1037047,202519,ONLINE,Unspecified,QUEENS,40.72238703289527,-73.8095260418184,"{'latitude': '40.72238703289527', 'longitude': '-73.8095260418184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,PARSONS BOULEVARD,160 STREET,78 AVENUE,,,,,,,
58800572,2023-09-13T19:55:36.000,2023-09-30T10:06:51.000,HPD,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,10031,441 CONVENT AVENUE,CONVENT AVENUE,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-30T00:00:00.000,09 MANHATTAN,1020647502,MANHATTAN,999678,240700,PHONE,Unspecified,MANHATTAN,40.82732792395432,-73.94425318343836,"{'latitude': '40.82732792395432', 'longitude': '-73.94425318343836', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58805532,2023-09-13T19:55:25.000,2023-09-13T21:16:22.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11358,42-35 162 STREET,162 STREET,SANFORD AVENUE,43 AVENUE,ADDRESS,FLUSHING,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T21:16:25.000,07 QUEENS,4053930006,QUEENS,1038529,216107,PHONE,Unspecified,QUEENS,40.759673648912376,-73.80406985210867,"{'latitude': '40.759673648912376', 'longitude': '-73.80406985210867', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,SANFORD AVENUE,43 AVENUE,162 STREET,,,,,,,
58804520,2023-09-13T19:55:09.000,2023-09-15T08:34:43.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10035,246 EAST  125 STREET,EAST  125 STREET,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-15T00:00:00.000,11 MANHATTAN,1017890030,MANHATTAN,1002315,231925,ONLINE,Unspecified,MANHATTAN,40.80323801133518,-73.93474839256598,"{'latitude': '40.80323801133518', 'longitude': '-73.93474839256598', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
