unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,facility_type,intersection_street_1,intersection_street_2,landmark,bridge_highway_name,bridge_highway_segment,road_ramp,bridge_highway_direction,taxi_pick_up_location,due_date,taxi_company_borough
58801991,2023-09-13T17:36:23.000,2023-09-27T19:26:03.000,HPD,Department of Housing Preservation and Development,SAFETY,CARBON MONOXIDE DETECTOR,RESIDENTIAL BUILDING,11219,6710 13 AVENUE,13 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,10 BROOKLYN,3057670046,BROOKLYN,983445,166861,ONLINE,Unspecified,BROOKLYN,40.62467136315482,-74.00289991723415,"{'latitude': '40.62467136315482', 'longitude': '-74.00289991723415', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58808455,2023-09-13T17:36:23.000,2023-09-27T19:26:03.000,HPD,Department of Housing Preservation and Development,SAFETY,SMOKE DETECTOR,RESIDENTIAL BUILDING,11219,6710 13 AVENUE,13 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,10 BROOKLYN,3057670046,BROOKLYN,983445,166861,ONLINE,Unspecified,BROOKLYN,40.62467136315482,-74.00289991723415,"{'latitude': '40.62467136315482', 'longitude': '-74.00289991723415', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58808525,2023-09-13T17:36:23.000,2023-09-27T19:26:03.000,HPD,Department of Housing Preservation and Development,SAFETY,WINDOW GUARD BROKEN/MISSING,RESIDENTIAL BUILDING,11219,6710 13 AVENUE,13 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,10 BROOKLYN,3057670046,BROOKLYN,983445,166861,ONLINE,Unspecified,BROOKLYN,40.62467136315482,-74.00289991723415,"{'latitude': '40.62467136315482', 'longitude': '-74.00289991723415', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58803296,2023-09-13T17:36:23.000,2023-09-27T19:26:03.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11219,6710 13 AVENUE,13 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,10 BROOKLYN,3057670046,BROOKLYN,983445,166861,ONLINE,Unspecified,BROOKLYN,40.62467136315482,-74.00289991723415,"{'latitude': '40.62467136315482', 'longitude': '-74.00289991723415', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58803352,2023-09-13T17:36:20.000,2023-10-13T10:27:32.000,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10040,565 WEST  189 STREET,WEST  189 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-13T00:00:00.000,12 MANHATTAN,1021580087,MANHATTAN,1003804,250419,PHONE,Unspecified,MANHATTAN,40.85399556667392,-73.92931615550238,"{'latitude': '40.85399556667392', 'longitude': '-73.92931615550238', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58803357,2023-09-13T17:36:18.000,2023-09-15T08:15:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11373,QUEENS BOULEVARD,QUEENS BOULEVARD,BLOCKFACE,QUEENS,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-15T08:15:00.000,04 QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,56 AVENUE,57 AVENUE,N/A,,,,,,,,,,
58810270,2023-09-13T17:36:11.000,2023-09-14T13:01:21.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10128,1556 THIRD AVENUE,THIRD AVENUE,ADDRESS,NEW YORK,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T13:01:26.000,08 MANHATTAN,1015160032,MANHATTAN,997180,223368,MOBILE,Unspecified,MANHATTAN,40.77976036161559,-73.9533127169432,"{'latitude': '40.77976036161559', 'longitude': '-73.9533127169432', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   87 STREET,EAST   88 STREET,,EAST   87 STREET,EAST   88 STREET,3 AVENUE,,,,,,,
58806257,2023-09-13T17:36:08.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Phone/Cable Lines,Street,11208,218 GRANT AVENUE,GRANT AVENUE,ADDRESS,BROOKLYN,In Progress,,,05 BROOKLYN,3041350054,BROOKLYN,1020921,189104,ONLINE,Unspecified,BROOKLYN,40.68564760078768,-73.86777621352014,"{'latitude': '40.68564760078768', 'longitude': '-73.86777621352014', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RIDGEWOOD AVENUE,FULTON STREET,,RIDGEWOOD AVENUE,FULTON STREET,GRANT AVENUE,,,,,,,
58808267,2023-09-13T17:35:56.000,2023-09-13T19:41:40.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11221,1310 JEFFERSON AVENUE,JEFFERSON AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T19:41:43.000,04 BROOKLYN,3033910005,BROOKLYN,1008802,191811,ONLINE,Unspecified,BROOKLYN,40.693119602918344,-73.91146351248385,"{'latitude': '40.693119602918344', 'longitude': '-73.91146351248385', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WILSON AVENUE,KNICKERBOCKER AVENUE,,WILSON AVENUE,KNICKERBOCKER AVENUE,JEFFERSON AVENUE,,,,,,,
58806252,2023-09-13T17:35:45.000,2023-09-13T23:46:44.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11223,44 VILLAGE ROAD NORTH,VILLAGE ROAD NORTH,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T23:46:47.000,15 BROOKLYN,3071230035,BROOKLYN,991593,156612,MOBILE,Unspecified,BROOKLYN,40.59653695951357,-73.97355885679625,"{'latitude': '40.59653695951357', 'longitude': '-73.97355885679625', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LAKE STREET,MCDONALD AVENUE,,LAKE STREET,MCDONALD AVENUE,VILLAGE ROAD NORTH,,,,,,,
