unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,due_date,bridge_highway_name,road_ramp,bridge_highway_segment,bridge_highway_direction
58803769,2023-09-13T15:35:22.000,2023-09-15T12:47:53.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Street,11368,37-53 108 STREET,108 STREET,37 DRIVE,38 AVENUE,37 DRIVE,38 AVENUE,ADDRESS,CORONA,108 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T12:43:05.000,03 QUEENS,4017780076,QUEENS,1023082,213588,PHONE,Unspecified,QUEENS,40.75284098310578,-73.85984310667769,"{'latitude': '40.75284098310578', 'longitude': '-73.85984310667769', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58805999,2023-09-13T15:35:13.000,2023-09-13T15:38:31.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T15:38:35.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58801134,2023-09-13T15:35:10.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Other,10017,450 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST 44 STREET,EAST 45 STREET,EAST   44 STREET,EAST   45 STREET,ADDRESS,NEW YORK,LEXINGTON AVENUE,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-13T19:10:43.000,05 MANHATTAN,1012800090,MANHATTAN,991217,213653,MOBILE,Unspecified,MANHATTAN,40.75310191491942,-73.97485381908072,"{'latitude': '40.75310191491942', 'longitude': '-73.97485381908072', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58808560,2023-09-13T15:35:09.000,2023-09-13T15:38:46.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T15:38:50.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58805419,2023-09-13T15:35:03.000,2023-09-13T16:10:30.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10022,1 EAST   60 STREET,EAST   60 STREET,CENTRAL PARK ENTRANCE E   60 ST,MADISON AVENUE,CENTRAL PARK ENTRANCE E   60 ST,MADISON AVENUE,ADDRESS,NEW YORK,EAST   60 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T16:10:35.000,08 MANHATTAN,1013750001,MANHATTAN,991921,217916,MOBILE,Unspecified,MANHATTAN,40.764802175778925,-73.972307988928,"{'latitude': '40.764802175778925', 'longitude': '-73.972307988928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58807232,2023-09-13T15:35:02.000,2023-09-13T15:39:00.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T15:39:05.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58805295,2023-09-13T15:35:00.000,2023-09-13T20:30:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Odor (SA2),,11219,1324 52 STREET,52 STREET,13 AVE,14 AVE,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,2023-09-13T20:30:00.000,12 BROOKLYN,3056630015,BROOKLYN,986148,169864,PHONE,Unspecified,BROOKLYN,40.63291379861971,-73.99316183513628,"{'latitude': '40.63291379861971', 'longitude': '-73.99316183513628', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58808559,2023-09-13T15:34:58.000,2023-09-13T15:39:12.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T15:39:15.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58810261,2023-09-13T15:34:49.000,2023-09-19T11:30:11.000,DOT,Department of Transportation,Outdoor Dining,Site Setup Condition,Street,10012,222 LAFAYETTE STREET,LAFAYETTE STREET,KENMARE STREET,CLEVELAND PLACE,KENMARE STREET,CLEVELAND PLACE,ADDRESS,NEW YORK,LAFAYETTE STREET,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer.""",2023-09-19T11:30:16.000,02 MANHATTAN,1004820025,MANHATTAN,984974,202325,ONLINE,Unspecified,MANHATTAN,40.72201207391356,-73.99738806634454,"{'latitude': '40.72201207391356', 'longitude': '-73.99738806634454', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58807915,2023-09-13T15:34:38.000,2023-09-13T17:33:57.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11235,2542 EAST   27 STREET,EAST   27 STREET,AVENUE Y,AVENUE Z,AVENUE Y,AVENUE Z,ADDRESS,BROOKLYN,EAST   27 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T17:34:00.000,15 BROOKLYN,3074420071,BROOKLYN,1000105,154385,MOBILE,Unspecified,BROOKLYN,40.590413153349864,-73.94291353611123,"{'latitude': '40.590413153349864', 'longitude': '-73.94291353611123', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
