unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,road_ramp
58806092,2023-09-13T13:44:54.000,2023-09-20T12:10:49.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11233,3 ROCHESTER AVENUE,ROCHESTER AVENUE,FULTON STREET,HERKIMER STREET,FULTON STREET,HERKIMER STREET,ADDRESS,BROOKLYN,ROCHESTER AVENUE,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-20T12:10:54.000,03 BROOKLYN,3017030003,BROOKLYN,1004397,186666,PHONE,Unspecified,BROOKLYN,40.67900888431818,-73.92736367337068,"{'latitude': '40.67900888431818', 'longitude': '-73.92736367337068', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58800333,2023-09-13T13:44:45.000,2023-09-13T17:33:11.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10474,656 BARRETTO STREET,BARRETTO STREET,RANDALL AVENUE,SPOFFORD AVENUE,RANDALL AVENUE,SPOFFORD AVENUE,ADDRESS,BRONX,BARRETTO STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T17:33:15.000,02 BRONX,2027650255,BRONX,1014987,235502,MOBILE,Unspecified,BRONX,40.81302088330598,-73.88896020909223,"{'latitude': '40.81302088330598', 'longitude': '-73.88896020909223', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58805142,2023-09-13T13:44:32.000,2023-09-14T12:54:42.000,DSNY,Department of Sanitation,Missed Collection,Compost,Street,11222,137 CALYER STREET,CALYER STREET,CLIFFORD PLACE,GUERNSEY STREET,CLIFFORD PLACE,GUERNSEY STREET,ADDRESS,BROOKLYN,CALYER STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-14T12:20:26.000,01 BROOKLYN,3025720035,BROOKLYN,996568,204286,ONLINE,Unspecified,BROOKLYN,40.727385996007214,-73.95555746592656,"{'latitude': '40.727385996007214', 'longitude': '-73.95555746592656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58807340,2023-09-13T13:44:32.000,2023-09-27T12:01:56.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Alive - in Poor Condition,Street,11103,35-03 28 AVENUE,28 AVENUE,35 STREET,36 STREET,35 STREET,36 STREET,ADDRESS,ASTORIA,28 AVENUE,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-09-27T12:02:00.000,01 QUEENS,4006330084,QUEENS,1007308,218700,PHONE,Unspecified,QUEENS,40.76692731050217,-73.9167588513525,"{'latitude': '40.76692731050217', 'longitude': '-73.9167588513525', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58804810,2023-09-13T13:44:31.000,2023-09-20T11:35:54.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11233,15 ROCHESTER AVENUE,ROCHESTER AVENUE,FULTON STREET,HERKIMER STREET,FULTON STREET,HERKIMER STREET,ADDRESS,BROOKLYN,ROCHESTER AVENUE,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-20T11:35:59.000,03 BROOKLYN,3017030073,BROOKLYN,1004388,186538,PHONE,Unspecified,BROOKLYN,40.67865757389799,-73.92739650370143,"{'latitude': '40.67865757389799', 'longitude': '-73.92739650370143', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58804703,2023-09-13T13:44:27.000,2023-09-13T13:46:06.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T13:46:10.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58801546,2023-09-13T13:44:25.000,2023-09-13T14:17:34.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10466,666 EAST  224 STREET,EAST  224 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,ADDRESS,BRONX,EAST  224 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T14:17:38.000,12 BRONX,2048250073,BRONX,1022380,262643,PHONE,Unspecified,BRONX,40.887485981886044,-73.8620981086951,"{'latitude': '40.887485981886044', 'longitude': '-73.8620981086951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58807408,2023-09-13T13:44:21.000,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,3+ Family Mixed Use Building,10034,647 WEST  207 STREET,WEST  207 STREET,COOPER STREET,SEAMAN AVENUE,COOPER STREET,SEAMAN AVENUE,ADDRESS,NEW YORK,WEST  207 STREET,In Progress,,,12 MANHATTAN,1022420033,MANHATTAN,1005838,255836,ONLINE,Unspecified,MANHATTAN,40.86885885404517,-73.92194620324679,"{'latitude': '40.86885885404517', 'longitude': '-73.92194620324679', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58806428,2023-09-13T13:43:59.000,2023-09-13T13:43:59.000,DOB,Department of Buildings,Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,,11214,1738 80 STREET,80 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-13T00:00:00.000,11 BROOKLYN,3062847501,BROOKLYN,984176,162002,UNKNOWN,Unspecified,BROOKLYN,40.61133445317227,-74.00026652298523,"{'latitude': '40.61133445317227', 'longitude': '-74.00026652298523', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58800278,2023-09-13T13:43:59.000,2023-09-13T13:43:59.000,DOB,Department of Buildings,General Construction/Plumbing,Debris - Falling Or In Danger Of Falling,,10025,382 CENTRAL PARK WEST,CENTRAL PARK WEST,,,,,ADDRESS,NEW YORK,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-13T00:00:00.000,07 MANHATTAN,1018337501,MANHATTAN,993755,228365,UNKNOWN,Unspecified,MANHATTAN,40.79348013659224,-73.96567253916751,"{'latitude': '40.79348013659224', 'longitude': '-73.96567253916751', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
