unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,facility_type,taxi_pick_up_location,vehicle_type,taxi_company_borough,due_date
58960862,2023-09-29T15:19:29.000,2023-09-29T15:26:13.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10025,750 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST   96 STREET,WEST   97 STREET,WEST   96 STREET,WEST   97 STREET,ADDRESS,NEW YORK,COLUMBUS AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T15:26:16.000,07 MANHATTAN,MANHATTAN,993323,228291,MOBILE,Unspecified,MANHATTAN,40.79327748070041,-73.9672328139575,"{'latitude': '40.79327748070041', 'longitude': '-73.9672328139575', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
59452297,2023-09-29T15:19:24.000,,HPD,Department of Housing Preservation and Development,Plumbing,Water Supply,Building-Wide,11374,66-01 BURNS STREET,BURNS STREET,DEAD END,THORNTON PLACE,DEAD END,THORNTON PLACE,ADDRESS,REGO PARK,BURNS STREET,In Progress,,,06 QUEENS,QUEENS,1023553,203004,PHONE,Unspecified,QUEENS,40.723788482937245,-73.85820495907939,"{'latitude': '40.723788482937245', 'longitude': '-73.85820495907939', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4031550001,,,,,
59435968,2023-09-29T15:19:16.000,,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,11215,847 UNION STREET,UNION STREET,6 AVENUE,7 AVENUE,6 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,UNION STREET,In Progress,,,06 BROOKLYN,BROOKLYN,990936,185068,ONLINE,Unspecified,BROOKLYN,40.674643137377956,-73.97589642925189,"{'latitude': '40.674643137377956', 'longitude': '-73.97589642925189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
59446134,2023-09-29T15:19:07.000,2023-10-16T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,11226,85 CLARKSON AVENUE,CLARKSON AVENUE,FLATBUSH AVENUE,BEDFORD AVENUE,FLATBUSH AVENUE,BEDFORD AVENUE,ADDRESS,BROOKLYN,CLARKSON AVENUE,Closed,,2023-10-16T00:00:00.000,09 BROOKLYN,BROOKLYN,996117,177913,PHONE,Unspecified,BROOKLYN,40.6549988226691,-73.95723110150566,"{'latitude': '40.6549988226691', 'longitude': '-73.95723110150566', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3050550065,,,,,
58956200,2023-09-29T15:19:06.000,2023-09-29T16:13:38.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10461,1539 SEMINOLE STREET,SEMINOLE STREET,EASTCHESTER ROAD,STILLWELL AVENUE,EASTCHESTER ROAD,STILLWELL AVENUE,ADDRESS,BRONX,SEMINOLE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T16:13:42.000,11 BRONX,BRONX,1027814,250640,MOBILE,Unspecified,BRONX,40.85451632170364,-73.8425234511907,"{'latitude': '40.85451632170364', 'longitude': '-73.8425234511907', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2042200032,,,,,
59460000,2023-09-29T15:19:03.000,2023-10-16T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,11206,238 BOERUM STREET,BOERUM STREET,BUSHWICK PLACE,WHITE STREET,BUSHWICK PLACE,WHITE STREET,ADDRESS,BROOKLYN,BOERUM STREET,Closed,,2023-10-16T00:00:00.000,01 BROOKLYN,BROOKLYN,1001448,196628,ONLINE,Unspecified,BROOKLYN,40.706358485468726,-73.93797031699198,"{'latitude': '40.706358485468726', 'longitude': '-73.93797031699198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58959519,2023-09-29T15:18:54.000,2023-09-29T16:12:46.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11361,32-34 204 STREET,204 STREET,32 AVENUE,33 AVENUE,32 AVENUE,33 AVENUE,ADDRESS,BAYSIDE,204 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T16:12:50.000,11 QUEENS,QUEENS,1043673,219899,MOBILE,Unspecified,QUEENS,40.770048601880184,-73.78546817556334,"{'latitude': '40.770048601880184', 'longitude': '-73.78546817556334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
59459460,2023-09-29T15:18:45.000,2023-09-29T15:30:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,10463,3447 IRWIN AVENUE,IRWIN AVENUE,WEST  234 STREET,WEST  236 STREET,WEST  234 STREET,WEST  236 STREET,ADDRESS,BRONX,IRWIN AVENUE,Closed,,2023-09-29T15:30:00.000,08 BRONX,BRONX,1010442,261639,PHONE,Unspecified,BRONX,40.88477382618868,-73.90527725682905,"{'latitude': '40.88477382618868', 'longitude': '-73.90527725682905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
59460046,2023-09-29T15:18:44.000,,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,11230,1362 OCEAN AVENUE,OCEAN AVENUE,LIRR BAY RIDGE LINE,AVENUE I,LIRR BAY RIDGE LINE,AVENUE I,ADDRESS,BROOKLYN,OCEAN AVENUE,In Progress,,,14 BROOKLYN,BROOKLYN,996184,168404,ONLINE,Unspecified,BROOKLYN,40.62889857195088,-73.95700645258574,"{'latitude': '40.62889857195088', 'longitude': '-73.95700645258574', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3067030073,,,,,
59442834,2023-09-29T15:18:37.000,,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,Public Area,11237,465 HARMAN STREET,HARMAN STREET,ST NICHOLAS AVENUE,CYPRESS AVENUE,ST NICHOLAS AVENUE,CYPRESS AVENUE,ADDRESS,BROOKLYN,HARMAN STREET,In Progress,,,04 BROOKLYN,BROOKLYN,1007844,195739,PHONE,Unspecified,BROOKLYN,40.7039036478399,-73.91490437518571,"{'latitude': '40.7039036478399', 'longitude': '-73.91490437518571', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
