unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,resolution_description,resolution_action_updated_date,facility_type,taxi_pick_up_location,due_date
58802203,2023-09-13T12:07:01.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted Less Than 2 Years Ago,Street,10065,348 EAST   66 STREET,EAST   66 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST   66 STREET,In Progress,08 MANHATTAN,1014400031,MANHATTAN,995334,217803,ONLINE,Unspecified,MANHATTAN,40.76448839974849,-73.95998737970973,"{'latitude': '40.76448839974849', 'longitude': '-73.95998737970973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58801716,2023-09-13T12:06:53.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10463,3036 JOHNSON AVENUE,JOHNSON AVENUE,WEST  230 STREET,WEST  231 STREET,WEST  230 STREET,WEST  231 STREET,ADDRESS,BRONX,JOHNSON AVENUE,Closed,08 BRONX,2057380374,BRONX,1008796,260492,ONLINE,Ewen Park,BRONX,40.88163040262322,-73.9112341757852,"{'latitude': '40.88163040262322', 'longitude': '-73.9112341757852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T13:00:29.000,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T13:00:35.000,,,
58805390,2023-09-13T12:06:49.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11358,36-29 192 STREET,192 STREET,CROCHERON AVENUE,37 AVENUE,CROCHERON AVENUE,37 AVENUE,ADDRESS,FLUSHING,192 STREET,Closed,11 QUEENS,4053140003,QUEENS,1042372,217425,PHONE,Unspecified,QUEENS,40.76326678178432,-73.79018648466892,"{'latitude': '40.76326678178432', 'longitude': '-73.79018648466892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T01:10:20.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T01:10:23.000,,,
58810028,2023-09-13T12:06:47.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,10032,859 RIVERSIDE DRIVE,RIVERSIDE DRIVE,EDWARD M MORGAN PLACE,WEST  160 STREET,EDWARD M MORGAN PLACE,WEST  160 STREET,ADDRESS,NEW YORK,RIVERSIDE DRIVE,In Progress,12 MANHATTAN,1021350025,MANHATTAN,998961,244123,PHONE,Unspecified,MANHATTAN,40.836724296643084,-73.94683645063016,"{'latitude': '40.836724296643084', 'longitude': '-73.94683645063016', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58810356,2023-09-13T12:06:46.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,10004,24 BROADWAY,BROADWAY,BEAVER STREET,MORRIS STREET,BEAVER STREET,MORRIS STREET,ADDRESS,NEW YORK,BROADWAY,Closed,01 MANHATTAN,1000220013,MANHATTAN,980558,196351,ONLINE,Unspecified,MANHATTAN,40.70561412884559,-74.01331614223832,"{'latitude': '40.70561412884559', 'longitude': '-74.01331614223832', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T14:02:13.000,N/A,2023-09-13T14:02:18.000,,,
58801142,2023-09-13T12:06:39.000,DSNY,Department of Sanitation,Abandoned Bike,Chained to Public Property,Street,11218,547 EAST    4 STREET,EAST    4 STREET,AVENUE C,CORTELYOU ROAD,AVENUE C,CORTELYOU ROAD,ADDRESS,BROOKLYN,EAST    4 STREET,Closed,12 BROOKLYN,3053730057,BROOKLYN,991018,172075,PHONE,Unspecified,BROOKLYN,40.63898014061793,-73.97561385262514,"{'latitude': '40.63898014061793', 'longitude': '-73.97561385262514', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T08:13:50.000,The Department of Sanitation investigated and found that the bike did not meet the criteria to be classified as derelict.,2023-09-13T04:51:19.000,,,
58809284,2023-09-13T12:06:38.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11231,191 UNION STREET,UNION STREET,HICKS STREET,HENRY STREET,HICKS STREET,HENRY STREET,ADDRESS,BROOKLYN,UNION STREET,Closed,06 BROOKLYN,3003370027,BROOKLYN,984166,188346,ONLINE,Unspecified,BROOKLYN,40.68364302931577,-74.00030286766025,"{'latitude': '40.68364302931577', 'longitude': '-74.00030286766025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T12:20:16.000,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T12:20:21.000,,,
58800891,2023-09-13T12:06:19.000,EDC,Economic Development Corporation,Noise - Helicopter,News Gathering,Above Address,10471,5700 ARLINGTON AVENUE,ARLINGTON AVENUE,WEST  259 STREET,INDEPENDENCE AVENUE,WEST  259 STREET,INDEPENDENCE AVENUE,ADDRESS,BRONX,ARLINGTON AVENUE,In Progress,08 BRONX,2059530038,BRONX,1010005,269611,ONLINE,Unspecified,BRONX,40.90665570023825,-73.90682699003065,"{'latitude': '40.90665570023825', 'longitude': '-73.90682699003065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58809918,2023-09-13T12:06:12.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11207,804 ASHFORD STREET,ASHFORD STREET,,,,,ADDRESS,BROOKLYN,,Closed,05 BROOKLYN,3043550001,BROOKLYN,1017350,180681,UNKNOWN,Unspecified,BROOKLYN,40.662542455791176,-73.88069343426481,"{'latitude': '40.662542455791176', 'longitude': '-73.88069343426481', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-12T00:00:00.000,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-10-12T00:00:00.000,,,
58804152,2023-09-13T12:05:56.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10032,652 WEST  163 STREET,WEST  163 STREET,FORT WASHINGTON AVENUE,RIVERSIDE DRIVE,FORT WASHINGTON AVENUE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  163 STREET,Closed,12 MANHATTAN,1021360225,MANHATTAN,999636,244857,PHONE,Unspecified,MANHATTAN,40.83873776311323,-73.9443954094611,"{'latitude': '40.83873776311323', 'longitude': '-73.9443954094611', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T12:46:44.000,The Police Department reviewed your complaint and provided additional information below.,2023-09-13T12:46:49.000,,,
