unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,landmark,bbl,facility_type,bridge_highway_name,road_ramp,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,due_date,vehicle_type,taxi_company_borough
58808058,2023-09-13T10:48:55.000,2023-09-13T12:08:29.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10301,LAFAYETTE AVENUE,LAFAYETTE AVENUE,LAFAYETTE AVENUE,WEST BUCHANAN STREET,LAFAYETTE AVENUE,WEST BUCHANAN STREET,INTERSECTION,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T12:08:34.000,01 STATEN ISLAND,STATEN ISLAND,957787,173450,PHONE,Unspecified,STATEN ISLAND,40.64271727248354,-74.09535562655223,"{'latitude': '40.64271727248354', 'longitude': '-74.09535562655223', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58806003,2023-09-13T10:48:54.000,2023-09-13T10:53:46.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T10:53:50.000,08 QUEENS,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FRESH MEADOWS,PARSONS BOULEVARD,4068290001,,,,,,,,,
58804627,2023-09-13T10:48:10.000,2023-09-14T11:04:11.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10452,1175 ANDERSON AVENUE,ANDERSON AVENUE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-14T00:00:00.000,04 BRONX,BRONX,1005218,243911,PHONE,Unspecified,BRONX,40.83612977882178,-73.924225177591,"{'latitude': '40.83612977882178', 'longitude': '-73.924225177591', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2025100050,,,,,,,,,
58803194,2023-09-13T10:48:10.000,2023-09-14T11:04:11.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10452,1175 ANDERSON AVENUE,ANDERSON AVENUE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-14T00:00:00.000,04 BRONX,BRONX,1005218,243911,PHONE,Unspecified,BRONX,40.83612977882178,-73.924225177591,"{'latitude': '40.83612977882178', 'longitude': '-73.924225177591', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2025100050,,,,,,,,,
58805918,2023-09-13T10:48:04.000,2023-09-14T19:37:50.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11369,26-49 96 STREET,96 STREET,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-14T00:00:00.000,03 QUEENS,QUEENS,1019411,216828,PHONE,Unspecified,QUEENS,40.76174930651036,-73.87307593572716,"{'latitude': '40.76174930651036', 'longitude': '-73.87307593572716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST ELMHURST,,4013760032,,,,,,,,,
58807176,2023-09-13T10:48:04.000,2023-09-14T19:37:50.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11369,26-49 96 STREET,96 STREET,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-14T00:00:00.000,03 QUEENS,QUEENS,1019411,216828,PHONE,Unspecified,QUEENS,40.76174930651036,-73.87307593572716,"{'latitude': '40.76174930651036', 'longitude': '-73.87307593572716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST ELMHURST,,4013760032,,,,,,,,,
58801915,2023-09-13T10:48:04.000,2023-09-14T19:37:50.000,HPD,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,11369,26-49 96 STREET,96 STREET,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-14T00:00:00.000,03 QUEENS,QUEENS,1019411,216828,PHONE,Unspecified,QUEENS,40.76174930651036,-73.87307593572716,"{'latitude': '40.76174930651036', 'longitude': '-73.87307593572716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST ELMHURST,,4013760032,,,,,,,,,
58804535,2023-09-13T10:48:04.000,2023-09-14T19:37:50.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11369,26-49 96 STREET,96 STREET,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-14T00:00:00.000,03 QUEENS,QUEENS,1019411,216828,PHONE,Unspecified,QUEENS,40.76174930651036,-73.87307593572716,"{'latitude': '40.76174930651036', 'longitude': '-73.87307593572716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST ELMHURST,,4013760032,,,,,,,,,
58800390,2023-09-13T10:48:00.000,2023-11-16T07:59:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11213,,,,,UTICA AVENUE,PARK PLACE,INTERSECTION,Closed,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",2023-11-16T07:59:00.000,08 BROOKLYN,BROOKLYN,1003448,184245,UNKNOWN,Unspecified,BROOKLYN,40.67236589602789,-73.93079201408896,"{'latitude': '40.67236589602789', 'longitude': '-73.93079201408896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,,,,,,,,,
58807623,2023-09-13T10:47:57.000,2023-09-14T05:50:35.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11232,4022 5 AVENUE,5 AVENUE,40 STREET,41 STREET,40 STREET,41 STREET,ADDRESS,Closed,The Department of Sanitation cleaned the location.,2023-09-14T05:24:46.000,07 BROOKLYN,BROOKLYN,982952,176285,MOBILE,Unspecified,BROOKLYN,40.65053817403558,-74.00467770426151,"{'latitude': '40.65053817403558', 'longitude': '-74.00467770426151', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,5 AVENUE,3007140044,,,,,,,,,
