unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,road_ramp,due_date
58807025,2023-09-13T09:09:23.000,2023-09-19T11:12:56.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11385,68-26 64 STREET,64 STREET,ADDRESS,RIDGEWOOD,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,05 QUEENS,4036260046,QUEENS,1013555,196248,PHONE,Unspecified,QUEENS,40.70528366141228,-73.89430452140206,"{'latitude': '40.70528366141228', 'longitude': '-73.89430452140206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58808355,2023-09-13T09:09:23.000,2023-09-19T11:12:56.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11385,68-26 64 STREET,64 STREET,ADDRESS,RIDGEWOOD,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,05 QUEENS,4036260046,QUEENS,1013555,196248,PHONE,Unspecified,QUEENS,40.70528366141228,-73.89430452140206,"{'latitude': '40.70528366141228', 'longitude': '-73.89430452140206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58805778,2023-09-13T09:09:23.000,2023-09-19T11:12:56.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11385,68-26 64 STREET,64 STREET,ADDRESS,RIDGEWOOD,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,05 QUEENS,4036260046,QUEENS,1013555,196248,PHONE,Unspecified,QUEENS,40.70528366141228,-73.89430452140206,"{'latitude': '40.70528366141228', 'longitude': '-73.89430452140206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58800610,2023-09-13T09:09:23.000,2023-09-19T11:21:38.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11385,68-26 64 STREET,64 STREET,ADDRESS,RIDGEWOOD,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,05 QUEENS,4036260046,QUEENS,1013555,196248,PHONE,Unspecified,QUEENS,40.70528366141228,-73.89430452140206,"{'latitude': '40.70528366141228', 'longitude': '-73.89430452140206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58807066,2023-09-13T09:09:22.000,2023-09-18T08:21:01.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10305,25 LANDIS AVENUE,LANDIS AVENUE,ADDRESS,STATEN ISLAND,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-18T00:00:00.000,02 STATEN ISLAND,5030870001,STATEN ISLAND,965112,158255,MOBILE,Unspecified,STATEN ISLAND,40.6010290398076,-74.06891797475676,"{'latitude': '40.6010290398076', 'longitude': '-74.06891797475676', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58805733,2023-09-13T09:09:17.000,2023-09-13T09:27:28.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10038,180 WATER STREET,WATER STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T09:27:30.000,01 MANHATTAN,1000700032,MANHATTAN,982832,196778,ONLINE,Unspecified,MANHATTAN,40.706786799744656,-74.00511446961036,"{'latitude': '40.706786799744656', 'longitude': '-74.00511446961036', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLETCHER STREET,JOHN STREET,FLETCHER STREET,JOHN STREET,WATER STREET,,,,,,,
58809876,2023-09-13T09:09:06.000,2023-09-15T13:15:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11357,146 PLACE,146 PLACE,BLOCKFACE,QUEENS,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-15T13:15:00.000,07 QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,14 AVENUE,15 AVENUE,,,,N/A,,,,,,
58802981,2023-09-13T09:09:00.000,2023-09-13T09:09:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10023,,,INTERSECTION,MANHATTAN,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-12T17:30:00.000,07 MANHATTAN,,MANHATTAN,989197,222103,UNKNOWN,Unspecified,MANHATTAN,40.77629634336559,-73.98213844041697,"{'latitude': '40.77629634336559', 'longitude': '-73.98213844041697', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,BROADWAY,WEST 69 STREET,,,,,,,,
58802501,2023-09-13T09:08:56.000,2023-09-18T11:06:27.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper,Street,11213,202 SCHENECTADY AVENUE,SCHENECTADY AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T09:10:22.000,08 BROOKLYN,3013710040,BROOKLYN,1002674,184232,ONLINE,Unspecified,BROOKLYN,40.67233185858839,-73.93358228611233,"{'latitude': '40.67233185858839', 'longitude': '-73.93358228611233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PARK PLACE,STERLING PLACE,PARK PLACE,STERLING PLACE,SCHENECTADY AVENUE,,,,,,,
58803833,2023-09-13T09:08:54.000,2023-09-13T14:22:30.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10032,AMSTERDAM AVENUE,AMSTERDAM AVENUE,INTERSECTION,,Closed,The Department of Sanitation cleaned the location.,2023-09-13T14:22:35.000,12 MANHATTAN,,MANHATTAN,1001706,245270,PHONE,Unspecified,MANHATTAN,40.8398674785978,-73.93691341258723,"{'latitude': '40.8398674785978', 'longitude': '-73.93691341258723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AMSTERDAM AVENUE,WEST  168 STREET,AMSTERDAM AVENUE,WEST  168 STREET,,,,,,,,
