unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,facility_type,due_date,taxi_pick_up_location
58807668,2023-09-13T07:01:08.000,2023-09-13T08:40:29.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11368,105-30 OTIS AVENUE,OTIS AVENUE,PENROD STREET,WALDRON STREET,PENROD STREET,WALDRON STREET,ADDRESS,CORONA,OTIS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T08:40:34.000,04 QUEENS,4019590003,QUEENS,1024487,208660,MOBILE,Unspecified,QUEENS,40.739308595694304,-73.85480151186329,"{'latitude': '40.739308595694304', 'longitude': '-73.85480151186329', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58805127,2023-09-13T07:01:07.000,2023-09-18T15:29:48.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Street,10018,243 WEST   38 STREET,WEST   38 STREET,7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,ADDRESS,NEW YORK,WEST   38 STREET,Unspecified,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-06T05:56:42.000,05 MANHATTAN,1007880024,MANHATTAN,987004,214001,ONLINE,Unspecified,MANHATTAN,40.75405940246345,-73.99005977079443,"{'latitude': '40.75405940246345', 'longitude': '-73.99005977079443', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58802538,2023-09-13T07:00:55.000,2023-09-13T20:27:06.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10462,GLEBE AVENUE,GLEBE AVENUE,DORIS STREET,GLEBE AVENUE,DORIS STREET,GLEBE AVENUE,INTERSECTION,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T20:27:09.000,10 BRONX,,BRONX,1025557,244075,MOBILE,Unspecified,BRONX,40.83650819947642,-73.85072255258362,"{'latitude': '40.83650819947642', 'longitude': '-73.85072255258362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58800214,2023-09-13T07:00:39.000,2023-09-13T07:21:28.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10075,516 EAST   78 STREET,EAST   78 STREET,YORK AVENUE,CHEROKEE PLACE,YORK AVENUE,CHEROKEE PLACE,ADDRESS,NEW YORK,EAST   78 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T07:21:33.000,08 MANHATTAN,1014890037,MANHATTAN,998109,219919,ONLINE,Unspecified,MANHATTAN,40.77029235547912,-73.94996542371358,"{'latitude': '40.77029235547912', 'longitude': '-73.94996542371358', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58801537,2023-09-13T07:00:33.000,2023-09-13T07:08:04.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11226,1010 OCEAN AVENUE,OCEAN AVENUE,DITMAS AVENUE,NEWKIRK AVENUE,DITMAS AVENUE,NEWKIRK AVENUE,ADDRESS,BROOKLYN,OCEAN AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T07:08:08.000,14 BROOKLYN,3052050031,BROOKLYN,995705,171719,MOBILE,Unspecified,BROOKLYN,40.63799817522305,-73.95872647543699,"{'latitude': '40.63799817522305', 'longitude': '-73.95872647543699', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58807584,2023-09-13T07:00:14.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-13T23:16:16.000,Unspecified BROOKLYN,,BROOKLYN,990410,188535,MOBILE,Unspecified,BROOKLYN,40.684159648097406,-73.97778953260718,"{'latitude': '40.684159648097406', 'longitude': '-73.97778953260718', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,2 3 to Flatbush - New Lots,Platform,,,
58808976,2023-09-13T07:00:13.000,2023-09-14T06:45:06.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,10306,311 AMBER STREET,AMBER STREET,WEST CEDARVIEW AVENUE,CLARKE AVENUE,WEST CEDARVIEW AVENUE,CLARKE AVENUE,ADDRESS,STATEN ISLAND,AMBER STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-14T04:51:33.000,03 STATEN ISLAND,5044210016,STATEN ISLAND,946049,145867,ONLINE,Unspecified,STATEN ISLAND,40.56696481123968,-74.1374957596713,"{'latitude': '40.56696481123968', 'longitude': '-74.1374957596713', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58807333,2023-09-13T07:00:01.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11228,1468 80 STREET,80 STREET,14 AVENUE,15 AVENUE,14 AVENUE,15 AVENUE,ADDRESS,BROOKLYN,80 STREET,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-26T10:18:39.000,11 BROOKLYN,3062810030,BROOKLYN,982379,163430,PHONE,Unspecified,BROOKLYN,40.61525382138,-74.00673910519751,"{'latitude': '40.61525382138', 'longitude': '-74.00673910519751', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58809790,2023-09-13T06:59:42.000,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10314,436 NOME AVENUE,NOME AVENUE,,,,,ADDRESS,STATEN ISLAND,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-13T00:00:00.000,02 STATEN ISLAND,5024020025,STATEN ISLAND,938635,154193,ONLINE,Unspecified,STATEN ISLAND,40.58978295901945,-74.16423688536878,"{'latitude': '40.58978295901945', 'longitude': '-74.16423688536878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58806516,2023-09-13T06:59:40.000,2023-09-13T07:19:01.000,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,11221,1027 PUTNAM AVENUE,PUTNAM AVENUE,HOWARD AVENUE,BROADWAY,HOWARD AVENUE,BROADWAY,ADDRESS,BROOKLYN,PUTNAM AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T07:19:05.000,03 BROOKLYN,3014840033,BROOKLYN,1006411,189755,ONLINE,Unspecified,BROOKLYN,40.68748266888521,-73.92009240908784,"{'latitude': '40.68748266888521', 'longitude': '-73.92009240908784', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58801629,2023-09-13T06:59:31.000,2023-09-13T07:19:19.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11221,744 MADISON STREET,MADISON STREET,MALCOLM X BOULEVARD,PATCHEN AVENUE,MALCOLM X BOULEVARD,PATCHEN AVENUE,ADDRESS,BROOKLYN,MADISON STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-13T07:19:23.000,03 BROOKLYN,3016470029,BROOKLYN,1004153,189680,MOBILE,Unspecified,BROOKLYN,40.68728217675826,-73.9282344678797,"{'latitude': '40.68728217675826', 'longitude': '-73.9282344678797', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58808759,2023-09-13T06:59:14.000,2023-09-18T13:08:57.000,DOT,Department of Transportation,Ferry Complaint,General Complaint,Ferry,,,,,,,,,,,Closed,"The condition has been inspected/investigated, see customer notes for more information.",2023-09-18T13:09:00.000,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,,,,,,
58802685,2023-09-13T06:59:00.000,2023-09-13T10:40:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11235,,,,,BRIGHTON 12 STREET,OCEANVIEW AVENUE,INTERSECTION,BROOKLYN,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-13T10:40:00.000,13 BROOKLYN,,BROOKLYN,996287,150541,ONLINE,Unspecified,BROOKLYN,40.579868145752705,-73.95666721830213,"{'latitude': '40.579868145752705', 'longitude': '-73.95666721830213', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58802833,2023-09-13T06:58:58.000,2023-09-13T07:47:55.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10305,600 HYLAN BOULEVARD,HYLAN BOULEVARD,NARROWS ROAD SOUTH,OLGA PLACE,NARROWS ROAD SOUTH,OLGA PLACE,ADDRESS,STATEN ISLAND,HYLAN BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T07:47:58.000,02 STATEN ISLAND,5030340022,STATEN ISLAND,963095,159650,MOBILE,Unspecified,STATEN ISLAND,40.604853444359435,-74.07618577204322,"{'latitude': '40.604853444359435', 'longitude': '-74.07618577204322', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58805012,2023-09-13T06:58:52.000,2023-09-13T07:21:36.000,NYPD,New York City Police Department,Encampment,N/A,Residential Building/House,10011,177 MACDOUGAL STREET,MACDOUGAL STREET,MAC DOUGAL ALLEY,WEST    8 STREET,MAC DOUGAL ALLEY,WEST    8 STREET,ADDRESS,NEW YORK,MAC DOUGAL STREET,Closed,The Police Department visited the location and no Encampment was found.,2023-09-13T07:21:40.000,02 MANHATTAN,1005530026,MANHATTAN,984765,206249,MOBILE,Unspecified,MANHATTAN,40.73278251252018,-73.99814176346148,"{'latitude': '40.73278251252018', 'longitude': '-73.99814176346148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58802105,2023-09-13T06:58:33.000,2023-09-18T11:25:00.000,DOT,Department of Transportation,Street Condition,Pothole,,10470,EAST  242 STREET,EAST  242 STREET,MURDOCK AVENUE,WILDER AVENUE,,,BLOCKFACE,BRONX,,Closed,The Department of Transportation inspected this complaint and did not find the reported problem.,2023-09-18T11:25:00.000,12 BRONX,,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,,,,N/A,,
58805124,2023-09-13T06:58:24.000,2023-09-13T12:04:03.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10018,273 WEST   38 STREET,WEST   38 STREET,7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,ADDRESS,NEW YORK,WEST   38 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-13T12:04:08.000,05 MANHATTAN,1007880009,MANHATTAN,986835,214094,ONLINE,Unspecified,MANHATTAN,40.754314714864584,-73.99066972005268,"{'latitude': '40.754314714864584', 'longitude': '-73.99066972005268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
