unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,due_date,taxi_company_borough
58801558,2023-09-12T23:48:44.000,2023-10-19T00:00:00.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,10021,195 EAST   76 STREET,EAST   76 STREET,ADDRESS,NEW YORK,N/A,Closed,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,2023-10-19T00:00:00.000,08 MANHATTAN,1014110132,MANHATTAN,995598,220713,UNKNOWN,Unspecified,MANHATTAN,40.7724752580922,-73.9590294412886,"{'latitude': '40.7724752580922', 'longitude': '-73.9590294412886', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58794614,2023-09-12T23:48:28.000,2023-09-13T00:08:16.000,NYPD,New York City Police Department,Blocked Driveway,No Access,10023,251 WEST   62 STREET,WEST   62 STREET,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T00:08:19.000,07 MANHATTAN,,MANHATTAN,987361,221133,MOBILE,Unspecified,MANHATTAN,40.77363478479724,-73.98876792182051,"{'latitude': '40.77363478479724', 'longitude': '-73.98876792182051', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,DEAD END,WEST END AVENUE,DEAD END,WEST END AVENUE,WEST   62 STREET,,,,,,
58799474,2023-09-12T23:48:18.000,2023-09-13T00:48:01.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,11239,516 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ADDRESS,BROOKLYN,,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2023-09-13T00:48:05.000,05 BROOKLYN,3044520423,BROOKLYN,1019422,177846,ONLINE,Unspecified,BROOKLYN,40.65475302381683,-73.87323985668276,"{'latitude': '40.65475302381683', 'longitude': '-73.87323985668276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,ASHFORD STREET,ELTON STREET,ASHFORD STREET,ELTON STREET,SCHROEDERS AVENUE,,,,,,
58797588,2023-09-12T23:48:04.000,2023-09-13T00:37:37.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,11201,585 FULTON MALL,FULTON MALL,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T00:37:45.000,02 BROOKLYN,3001490014,BROOKLYN,989292,190393,MOBILE,Unspecified,BROOKLYN,40.689260139839725,-73.98181919766864,"{'latitude': '40.689260139839725', 'longitude': '-73.98181919766864', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Store/Commercial,HANOVER PLACE,FLATBUSH AVENUE EXTENSION,HANOVER PLACE,FLATBUSH AVENUE EXTENSION,FULTON STREET,,,,,,
58794712,2023-09-12T23:48:00.000,2023-09-13T00:03:13.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,10036,253 WEST   47 STREET,WEST   47 STREET,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T00:03:19.000,05 MANHATTAN,1010190010,MANHATTAN,988050,216134,MOBILE,Unspecified,MANHATTAN,40.75991355561686,-73.98628315507113,"{'latitude': '40.75991355561686', 'longitude': '-73.98628315507113', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Store/Commercial,WEST   47 STREET BIKE PATH,8 AVENUE,WEST   47 STREET BIKE PATH,8 AVENUE,WEST   47 STREET,,,,,,
58790426,2023-09-12T23:47:51.000,2023-09-13T00:31:25.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,10013,13 HUDSON STREET,HUDSON STREET,ADDRESS,NEW YORK,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T00:31:28.000,01 MANHATTAN,1001410001,MANHATTAN,981700,200257,MOBILE,Unspecified,MANHATTAN,40.71633557356023,-74.00919870660515,"{'latitude': '40.71633557356023', 'longitude': '-74.00919870660515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Store/Commercial,READE STREET,DUANE STREET,READE STREET,DUANE STREET,HUDSON STREET,,,,,,
58795976,2023-09-12T23:47:30.000,2023-09-13T00:48:23.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,11239,516 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ADDRESS,BROOKLYN,,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2023-09-13T00:48:30.000,05 BROOKLYN,3044520423,BROOKLYN,1019422,177846,ONLINE,Unspecified,BROOKLYN,40.65475302381683,-73.87323985668276,"{'latitude': '40.65475302381683', 'longitude': '-73.87323985668276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,ASHFORD STREET,ELTON STREET,ASHFORD STREET,ELTON STREET,SCHROEDERS AVENUE,,,,,,
58798925,2023-09-12T23:47:25.000,2023-09-13T02:00:30.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11208,345 LINCOLN AVENUE,LINCOLN AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T02:00:35.000,05 BROOKLYN,3041730021,BROOKLYN,1020672,187599,PHONE,Unspecified,BROOKLYN,40.68151775170402,-73.8686821607564,"{'latitude': '40.68151775170402', 'longitude': '-73.8686821607564', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,BEND,MC KINLEY AVENUE,BEND,MC KINLEY AVENUE,LINCOLN AVENUE,,,,,,
58799503,2023-09-12T23:47:23.000,2023-09-13T03:00:37.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,11421,85-05 94 STREET,94 STREET,ADDRESS,WOODHAVEN,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-13T03:00:41.000,09 QUEENS,4088880049,QUEENS,1025388,193173,PHONE,Unspecified,QUEENS,40.696796416981435,-73.85164483513586,"{'latitude': '40.696796416981435', 'longitude': '-73.85164483513586', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,85 AVENUE,85 ROAD,85 AVENUE,85 ROAD,94 STREET,,,,,,
58793956,2023-09-12T23:47:18.000,2023-09-13T03:17:27.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,11418,86-25 122 STREET,122 STREET,ADDRESS,RICHMOND HILL,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T03:17:34.000,09 QUEENS,,QUEENS,1031769,194924,PHONE,Unspecified,QUEENS,40.70157053123871,-73.82862086025894,"{'latitude': '40.70157053123871', 'longitude': '-73.82862086025894', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,HILLSIDE AVENUE,JAMAICA AVENUE,HILLSIDE AVENUE,JAMAICA AVENUE,122 STREET,,,,,,
