unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,due_date,vehicle_type,taxi_company_borough,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
58788820,2023-09-12T16:47:34.000,2023-09-12T22:04:10.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11218,724 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,AVENUE C,CORTELYOU ROAD,AVENUE C,CORTELYOU ROAD,ADDRESS,BROOKLYN,CONEY ISLAND AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T22:04:15.000,12 BROOKLYN,3053780031,BROOKLYN,992847,172480,ONLINE,Unspecified,BROOKLYN,40.640090192501034,-73.96902316811077,"{'latitude': '40.640090192501034', 'longitude': '-73.96902316811077', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58789550,2023-09-12T16:47:26.000,2023-09-14T11:06:59.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,10306,333 MIDLAND AVENUE,MIDLAND AVENUE,BOUNDARY AVENUE,MASON AVENUE,BOUNDARY AVENUE,MASON AVENUE,ADDRESS,STATEN ISLAND,MIDLAND AVENUE,Closed,"Under NYC Parksâ Tree Risk Management Program, work is prioritized to address the conditions with the highest risk first.  NYC Parks determined that the issue will be addressed in the next pruning cycle through the routine block pruning program.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-14T11:07:03.000,02 STATEN ISLAND,5036960100,STATEN ISLAND,956269,149409,ONLINE,Unspecified,STATEN ISLAND,40.5767250441256,-74.10072590551536,"{'latitude': '40.5767250441256', 'longitude': '-74.10072590551536', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58798002,2023-09-12T16:47:13.000,2023-09-13T00:42:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11238,ST JAMES PLACE,ST JAMES PLACE,ATLANTIC AVENUE,LEFFERTS PLACE,,,BLOCKFACE,BROOKLYN,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-13T00:42:00.000,02 BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,N/A,,,,,,,,
58791536,2023-09-12T16:47:00.000,2023-09-12T19:00:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11225,193 OCEAN AVENUE,OCEAN AVENUE,E LAKE DR,EAST DR,,,ADDRESS,BROOKLYN,,Closed,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",2023-09-12T19:00:00.000,09 BROOKLYN,3050260007,BROOKLYN,994694,178924,PHONE,Unspecified,BROOKLYN,40.65777558855762,-73.96235805472939,"{'latitude': '40.65777558855762', 'longitude': '-73.96235805472939', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58788678,2023-09-12T16:47:00.000,2023-09-12T18:00:00.000,DEP,Department of Environmental Protection,Sewer,Manhole Cover Missing (Emergency) (SA3),,11201,50 FURMAN STREET,FURMAN STREET,DOUGHTY ST,MONTAGUE ST,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection investigated this complaint and resolved the issue with the sewer manhole cover.,2023-09-12T18:00:00.000,02 BROOKLYN,,BROOKLYN,985514,194942,ONLINE,Unspecified,BROOKLYN,40.701747434885995,-73.99544132516753,"{'latitude': '40.701747434885995', 'longitude': '-73.99544132516753', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58797554,2023-09-12T16:47:00.000,2023-09-13T07:45:00.000,DOT,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,,,,,,GRAND CENTRAL PKWY,ASTORIA BLVD,INTERSECTION,,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-13T07:45:00.000,Unspecified QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,N/A,,,,,,,,
58797431,2023-09-12T16:46:58.000,2023-09-12T17:30:33.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10013,125 WORTH STREET,WORTH STREET,LAFAYETTE STREET,CENTRE STREET,LAFAYETTE STREET,CENTRE STREET,ADDRESS,NEW YORK,WORTH STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T17:30:37.000,01 MANHATTAN,1001680032,MANHATTAN,983509,199926,ONLINE,Unspecified,MANHATTAN,40.71542739425466,-74.00267299949302,"{'latitude': '40.71542739425466', 'longitude': '-74.00267299949302', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58790962,2023-09-12T16:46:54.000,2023-09-15T09:31:12.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11215,315 PROSPECT AVENUE,PROSPECT AVENUE,6 AVENUE,WEBSTER PLACE,6 AVENUE,WEBSTER PLACE,ADDRESS,BROOKLYN,PROSPECT AVENUE,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-15T09:31:17.000,07 BROOKLYN,3010540050,BROOKLYN,987597,180669,UNKNOWN,Unspecified,BROOKLYN,40.66257075573477,-73.98793597816515,"{'latitude': '40.66257075573477', 'longitude': '-73.98793597816515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58797462,2023-09-12T16:46:54.000,2023-11-16T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11208,192 GRANT AVENUE,GRANT AVENUE,,,,,ADDRESS,BROOKLYN,,Assigned,The Department of Buildings attempted to investigate this complaint but could not gain access to the location. Please schedule an appointment for a follow up inspection by contacting the appropriate unit at Department of Buildings. You can find contact information at https://www1.nyc.gov/site/buildings/about/contact-us.page.,2023-11-16T00:00:00.000,05 BROOKLYN,3041350042,BROOKLYN,1020894,189255,UNKNOWN,Unspecified,BROOKLYN,40.68606217259379,-73.86787274542398,"{'latitude': '40.68606217259379', 'longitude': '-73.86787274542398', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58798787,2023-09-12T16:46:45.000,2023-09-12T16:53:42.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11231,191 UNION STREET,UNION STREET,HICKS STREET,HENRY STREET,HICKS STREET,HENRY STREET,ADDRESS,BROOKLYN,UNION STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T16:53:46.000,06 BROOKLYN,3003370027,BROOKLYN,984166,188346,ONLINE,Unspecified,BROOKLYN,40.68364302931577,-74.00030286766025,"{'latitude': '40.68364302931577', 'longitude': '-74.00030286766025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
