unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,status,resolution_description,resolution_action_updated_date,community_board,borough,open_data_channel_type,park_facility_name,park_borough,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,incident_zip,incident_address,street_name,address_type,city,bbl,x_coordinate_state_plane,y_coordinate_state_plane,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,facility_type,vehicle_type,due_date,taxi_company_borough
58798398,2023-09-12T15:10:38.000,2023-09-12T15:33:27.000,NYPD,New York City Police Department,Encampment,N/A,Highway,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-12T15:33:34.000,Unspecified MANHATTAN,MANHATTAN,ONLINE,Unspecified,MANHATTAN,FDR Dr,Northbound/Uptown,Ramp,E 20th - E 23 St (Exit 7),,,,,,,,,,,,,,,,,,,,,
58796529,2023-09-12T15:10:25.000,2023-09-18T14:35:14.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,07 QUEENS,QUEENS,PHONE,Unspecified,QUEENS,,,,,11356,114-65 DALIAN COURT,DALIAN COURT,ADDRESS,COLLEGE POINT,4040190216,1025019,226977,40.78958152419487,-73.85277065518743,"{'latitude': '40.78958152419487', 'longitude': '-73.85277065518743', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58796435,2023-09-12T15:10:25.000,2023-09-18T14:35:13.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,07 QUEENS,QUEENS,PHONE,Unspecified,QUEENS,,,,,11356,114-65 DALIAN COURT,DALIAN COURT,ADDRESS,COLLEGE POINT,4040190216,1025019,226977,40.78958152419487,-73.85277065518743,"{'latitude': '40.78958152419487', 'longitude': '-73.85277065518743', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58797905,2023-09-12T15:10:25.000,2023-09-18T14:35:13.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,07 QUEENS,QUEENS,PHONE,Unspecified,QUEENS,,,,,11356,114-65 DALIAN COURT,DALIAN COURT,ADDRESS,COLLEGE POINT,4040190216,1025019,226977,40.78958152419487,-73.85277065518743,"{'latitude': '40.78958152419487', 'longitude': '-73.85277065518743', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58790612,2023-09-12T15:10:25.000,2023-09-18T14:35:14.000,HPD,Department of Housing Preservation and Development,GENERAL,VENTILATION SYSTEM,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,07 QUEENS,QUEENS,PHONE,Unspecified,QUEENS,,,,,11356,114-65 DALIAN COURT,DALIAN COURT,ADDRESS,COLLEGE POINT,4040190216,1025019,226977,40.78958152419487,-73.85277065518743,"{'latitude': '40.78958152419487', 'longitude': '-73.85277065518743', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58797978,2023-09-12T15:10:24.000,2023-09-26T20:20:02.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,12 BRONX,BRONX,PHONE,Unspecified,BRONX,,,,,10467,606 BURKE AVENUE,BURKE AVENUE,ADDRESS,BRONX,2045430074,1020129,256814,40.87149664252903,-73.87027033905886,"{'latitude': '40.87149664252903', 'longitude': '-73.87027033905886', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58795092,2023-09-12T15:10:24.000,2023-09-13T20:44:00.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-13T00:00:00.000,16 BROOKLYN,BROOKLYN,PHONE,Unspecified,BROOKLYN,,,,,11212,159 RIVERDALE AVENUE,RIVERDALE AVENUE,ADDRESS,BROOKLYN,3035870001,1008997,179994,40.660684079864076,-73.9108037181997,"{'latitude': '40.660684079864076', 'longitude': '-73.9108037181997', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58796475,2023-09-12T15:10:24.000,2023-09-26T20:20:02.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,12 BRONX,BRONX,PHONE,Unspecified,BRONX,,,,,10467,606 BURKE AVENUE,BURKE AVENUE,ADDRESS,BRONX,2045430074,1020129,256814,40.87149664252903,-73.87027033905886,"{'latitude': '40.87149664252903', 'longitude': '-73.87027033905886', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58789342,2023-09-12T15:10:24.000,2023-09-18T13:41:05.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-18T00:00:00.000,12 MANHATTAN,MANHATTAN,ONLINE,Unspecified,MANHATTAN,,,,,10033,725 WEST  184 STREET,WEST  184 STREET,ADDRESS,NEW YORK,1021800157,1001985,249838,40.85240473614685,-73.935893015454,"{'latitude': '40.85240473614685', 'longitude': '-73.935893015454', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58791807,2023-09-12T15:10:22.000,2023-09-12T17:33:15.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-12T17:33:21.000,09 QUEENS,QUEENS,MOBILE,Unspecified,QUEENS,,,,,11418,87-61 111 STREET,111 STREET,ADDRESS,RICHMOND HILL,4093010101,1029460,193060,40.69646639306268,-73.83696085202979,"{'latitude': '40.69646639306268', 'longitude': '-73.83696085202979', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JAMAICA AVENUE,91 AVENUE,JAMAICA AVENUE,91 AVENUE,111 STREET,,,,,
