unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_company_borough
58789903,2023-09-12T13:27:03.000,2023-09-13T00:00:00.000,DOB,Department of Buildings,Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,11225,462 MALBONE STREET,MALBONE STREET,ADDRESS,BROOKLYN,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-13T00:00:00.000,09 BROOKLYN,3013097501,BROOKLYN,998461,181354,UNKNOWN,Unspecified,BROOKLYN,40.664440156974926,-73.9487760297978,"{'latitude': '40.664440156974926', 'longitude': '-73.9487760297978', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58798982,2023-09-12T13:27:03.000,2023-09-14T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Site Conditions Endangering Workers,11220,526 62 STREET,62 STREET,ADDRESS,BROOKLYN,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-14T00:00:00.000,07 BROOKLYN,3058010018,BROOKLYN,979638,171677,UNKNOWN,Unspecified,BROOKLYN,40.63788910067827,-74.01661747518457,"{'latitude': '40.63788910067827', 'longitude': '-74.01661747518457', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58792688,2023-09-12T13:26:44.000,2023-10-14T13:14:13.000,DSNY,Department of Sanitation,Abandoned Bike,Chained to Public Property,10003,31 EAST    7 STREET,EAST    7 STREET,ADDRESS,NEW YORK,Closed,The Department of Sanitation investigated and found that the bike did not meet the criteria to be classified as derelict.,2023-09-19T10:38:13.000,03 MANHATTAN,1004630042,MANHATTAN,987323,204625,PHONE,Unspecified,MANHATTAN,40.72832451130795,-73.9889126623535,"{'latitude': '40.72832451130795', 'longitude': '-73.9889126623535', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,TARAS SHEVCHENKO PLACE,2 AVENUE,TARAS SHEVCHENKO PLACE,2 AVENUE,EAST    7 STREET,,,,,,,
58795994,2023-09-12T13:26:43.000,2023-09-12T15:23:18.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,11223,817 AVENUE W,AVENUE W,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T15:23:23.000,15 BROOKLYN,3071590157,BROOKLYN,994830,155556,PHONE,Unspecified,BROOKLYN,40.59363517934286,-73.96190451546788,"{'latitude': '40.59363517934286', 'longitude': '-73.96190451546788', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,EAST    7 STREET,CONEY ISLAND AVENUE,EAST    7 STREET,CONEY ISLAND AVENUE,AVENUE W,,,,,,,
58795688,2023-09-12T13:26:36.000,2023-09-15T13:03:55.000,DSNY,Department of Sanitation,Missed Collection,Trash and Bulky Trash,11416,97-22 81 STREET,81 STREET,ADDRESS,OZONE PARK,Closed,The Department of Sanitation collected the requested items.,2023-09-13T12:47:55.000,09 QUEENS,4090510020,QUEENS,1023523,187731,ONLINE,Unspecified,QUEENS,40.68186787103758,-73.85840225984838,"{'latitude': '40.68186787103758', 'longitude': '-73.85840225984838', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,97 AVENUE,101 AVENUE,97 AVENUE,101 AVENUE,81 STREET,,,,,,,
58793405,2023-09-12T13:26:35.000,2023-09-12T14:12:43.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,10460,932 EAST  173 STREET,EAST  173 STREET,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T14:12:47.000,03 BRONX,2029820027,BRONX,1015192,243694,MOBILE,Unspecified,BRONX,40.835504863783285,-73.88818185441696,"{'latitude': '40.835504863783285', 'longitude': '-73.88818185441696', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,SOUTHERN BOULEVARD,HOE AVENUE,SOUTHERN BOULEVARD,HOE AVENUE,EAST  173 STREET,,,,,,,
58789709,2023-09-12T13:26:31.000,2023-09-14T13:26:46.000,DOT,Department of Transportation,Street Condition,Plate Condition - Shifted,10013,365 CANAL STREET,CANAL STREET,ADDRESS,NEW YORK,Closed,"The Department of Transportation inspected the condition and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If the condition still exists, a summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs.",2023-09-14T13:26:51.000,02 MANHATTAN,1002280005,MANHATTAN,983084,201979,PHONE,Unspecified,MANHATTAN,40.721062340239705,-74.00420645199367,"{'latitude': '40.721062340239705', 'longitude': '-74.00420645199367', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,WOOSTER STREET,WEST BROADWAY,WOOSTER STREET,WEST BROADWAY,CANAL STREET,,,,,,,
58794420,2023-09-12T13:26:02.000,2023-09-12T13:41:50.000,TLC,Taxi and Limousine Commission,Lost Property,Bag/Wallet,11430,JFK,JFK,UNRECOGNIZED,JAMAICA,Closed,See notes for information.,2023-09-12T13:41:51.000,83 QUEENS,4142600001,QUEENS,1043001,175548,UNKNOWN,Unspecified,QUEENS,40.64832048620134,-73.78828125130184,"{'latitude': '40.64832048620134', 'longitude': '-73.78828125130184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Taxi,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,JOHN F KENNEDY AIRPORT,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,,
58792961,2023-09-12T13:26:00.000,2023-09-12T17:30:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11218,15 CHURCH AVENUE,CHURCH AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,2023-09-12T17:30:00.000,12 BROOKLYN,3053120032,BROOKLYN,989045,172971,PHONE,Unspecified,BROOKLYN,40.64144075658958,-73.98272223878851,"{'latitude': '40.64144075658958', 'longitude': '-73.98272223878851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,36 ST,CHESTER AVE,,,,,,,,,,
58791540,2023-09-12T13:26:00.000,2023-09-12T14:49:00.000,DEP,Department of Environmental Protection,Water Conservation,Water Meter Broken/Leaking - Private Residence (CMR),11212,396 EAST   94 STREET,EAST   94 STREET,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection requires contact with the complainant to investigate this complaint. A letter was sent after phone messages received no response.,2023-09-12T14:49:00.000,17 BROOKLYN,3046680028,BROOKLYN,1006534,178664,PHONE,Unspecified,BROOKLYN,40.65704006509185,-73.9196855657058,"{'latitude': '40.65704006509185', 'longitude': '-73.9196855657058', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,LENOX RD,WILLMOHR ST,,,,,,,,,,
