unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,resolution_description,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,due_date
59445315,2023-09-29T14:27:17.000,2023-10-05T00:00:00.000,HPD,Department of Housing Preservation and Development,Plumbing,Water Supply,Apartment,10452,1155 GRAND CONCOURSE,GRAND CONCOURSE,MCCLELLAN STREET,TUDOR PLACE,MCCLELLAN STREET,TUDOR PLACE,ADDRESS,BRONX,GRAND CONCOURSE,Closed,2023-10-05T00:00:00.000,04 BRONX,2024630021,BRONX,1006710,242889,PHONE,Unspecified,BRONX,40.83332101660728,-73.9188367657866,"{'latitude': '40.83332101660728', 'longitude': '-73.9188367657866', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59450216,2023-09-29T14:27:16.000,2023-10-05T00:00:00.000,HPD,Department of Housing Preservation and Development,Flooring/Stairs,Floor,Apartment,10452,1155 GRAND CONCOURSE,GRAND CONCOURSE,MCCLELLAN STREET,TUDOR PLACE,MCCLELLAN STREET,TUDOR PLACE,ADDRESS,BRONX,GRAND CONCOURSE,Closed,2023-10-05T00:00:00.000,04 BRONX,2024630021,BRONX,1006710,242889,PHONE,Unspecified,BRONX,40.83332101660728,-73.9188367657866,"{'latitude': '40.83332101660728', 'longitude': '-73.9188367657866', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59446765,2023-09-29T14:27:15.000,2023-10-05T00:00:00.000,HPD,Department of Housing Preservation and Development,General,Cabinet,Apartment,10452,1155 GRAND CONCOURSE,GRAND CONCOURSE,MCCLELLAN STREET,TUDOR PLACE,MCCLELLAN STREET,TUDOR PLACE,ADDRESS,BRONX,GRAND CONCOURSE,Closed,2023-10-05T00:00:00.000,04 BRONX,2024630021,BRONX,1006710,242889,PHONE,Unspecified,BRONX,40.83332101660728,-73.9188367657866,"{'latitude': '40.83332101660728', 'longitude': '-73.9188367657866', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59434948,2023-09-29T14:27:15.000,2023-10-05T00:00:00.000,HPD,Department of Housing Preservation and Development,Paint/Plaster,Ceiling,Apartment,10452,1155 GRAND CONCOURSE,GRAND CONCOURSE,MCCLELLAN STREET,TUDOR PLACE,MCCLELLAN STREET,TUDOR PLACE,ADDRESS,BRONX,GRAND CONCOURSE,Closed,2023-10-05T00:00:00.000,04 BRONX,2024630021,BRONX,1006710,242889,PHONE,Unspecified,BRONX,40.83332101660728,-73.9188367657866,"{'latitude': '40.83332101660728', 'longitude': '-73.9188367657866', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58960070,2023-09-29T14:27:14.000,2023-11-22T21:23:55.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10456,1011 CARROLL PLACE,CARROLL PLACE,,,,,ADDRESS,BRONX,,Closed,2023-11-22T00:00:00.000,04 BRONX,2024610111,BRONX,1006559,241612,PHONE,Unspecified,BRONX,40.82981640259085,-73.91938667778365,"{'latitude': '40.82981640259085', 'longitude': '-73.91938667778365', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,,,,,,
59452688,2023-09-29T14:27:11.000,2023-10-01T18:20:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,Street,11691,22-29 DIX AVENUE,DIX AVENUE,PINSON STREET,CHANDLER STREET,PINSON STREET,CHANDLER STREET,ADDRESS,FAR ROCKAWAY,DIX AVENUE,Closed,2023-10-01T18:20:00.000,14 QUEENS,4156610055,QUEENS,1052038,160367,PHONE,Unspecified,QUEENS,40.6065874343224,-73.75586758279921,"{'latitude': '40.6065874343224', 'longitude': '-73.75586758279921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59435351,2023-09-29T14:27:10.000,2023-09-30T03:15:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11434,144-29 158 STREET,158 STREET,144 AVENUE,145 ROAD,144 AVENUE,145 ROAD,ADDRESS,JAMAICA,158 STREET,Closed,2023-09-30T03:15:00.000,13 QUEENS,,QUEENS,1045435,181676,PHONE,Unspecified,QUEENS,40.665123967848,-73.77945437482701,"{'latitude': '40.665123967848', 'longitude': '-73.77945437482701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59435830,2023-09-29T14:27:09.000,2023-10-05T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,10452,1155 GRAND CONCOURSE,GRAND CONCOURSE,MCCLELLAN STREET,TUDOR PLACE,MCCLELLAN STREET,TUDOR PLACE,ADDRESS,BRONX,GRAND CONCOURSE,Closed,2023-10-05T00:00:00.000,04 BRONX,2024630021,BRONX,1006710,242889,PHONE,Unspecified,BRONX,40.83332101660728,-73.9188367657866,"{'latitude': '40.83332101660728', 'longitude': '-73.9188367657866', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58960412,2023-09-29T14:27:02.000,2023-10-03T14:22:56.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,"Bodega, Deli, or Convenience Store",Business,10044,579 MAIN STREET,MAIN STREET,UNNAMED STREET,UNNAMED STREET,UNNAMED STREET,UNNAMED STREET,ADDRESS,NEW YORK,MAIN STREET,Closed,2023-10-03T14:23:00.000,08 MANHATTAN,1013737505,MANHATTAN,998270,217116,ONLINE,Unspecified,MANHATTAN,40.76259859361622,-73.94939001883147,"{'latitude': '40.76259859361622', 'longitude': '-73.94939001883147', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Human Resources Administration (HRA). NYC311 can help you file a complaint or contact the agency for further assistance.,,,,,,,
58960874,2023-09-29T14:26:55.000,2023-10-06T00:00:00.000,DOB,Department of Buildings,Boilers,Boiler - Defective/Inoperative/No Permit,,10312,144 SCRANTON AVENUE,SCRANTON AVENUE,,,,,ADDRESS,STATEN ISLAND,,Closed,2023-10-06T00:00:00.000,03 STATEN ISLAND,5056390300,STATEN ISLAND,936034,140702,UNKNOWN,Unspecified,STATEN ISLAND,40.55273910430789,-74.17350555438254,"{'latitude': '40.55273910430789', 'longitude': '-74.17350555438254', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Buildings reviewed this complaint and referred it to the New York Police Department for further action.,N/A,,,,,,
