unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,vehicle_type,taxi_company_borough
58792634,2023-09-12T12:00:00.000,2023-09-13T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10466,4469 MURDOCK AVENUE,MURDOCK AVENUE,NEREID AVENUE,EAST 241 STREET,ADDRESS,BRONX,Closed,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,2023-09-13T12:00:00.000,12 BRONX,2050960037,BRONX,1027327,267658,PHONE,Unspecified,BRONX,40.901227778982154,-73.84417443867918,"{'latitude': '40.901227778982154', 'longitude': '-73.84417443867918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58791171,2023-09-12T12:00:00.000,2023-09-13T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10453,1861 LORING PLACE SOUTH,LORING PLACE SOUTH,MONTGOMERY AVENUE,WEST BURNSIDE AVENUE,ADDRESS,BRONX,Closed,"The Department of Sanitation (DSNY) tagged the vehicle to confirm it was abandoned. When DSNY returned, the vehicle wasn't in the same exact location. This indicated that the vehicle wasn't abandoned. DSNY closed your Service Request. No further action will be taken.",2023-09-13T12:00:00.000,05 BRONX,2028790198,BRONX,1007646,250092,PHONE,Unspecified,BRONX,40.85308870438502,-73.91542923412452,"{'latitude': '40.85308870438502', 'longitude': '-73.91542923412452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DSNY Garage,,,,,,,,,,,
58792615,2023-09-12T12:00:00.000,2023-09-12T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11105,19-22 45 STREET,45 STREET,19 AVENUE,20 AVENUE,ADDRESS,ASTORIA,Closed,The Department of Sanitation does NOT have jurisdiction over vehicles (abandoned or otherwise) that have license plates affixed to them. Your request will be referred to the NYPD for further action.,2023-09-12T12:00:00.000,01 QUEENS,4007880028,QUEENS,1012707,221899,PHONE,Unspecified,QUEENS,40.77569199427473,-73.89725451766162,"{'latitude': '40.77569199427473', 'longitude': '-73.89725451766162', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DSNY Garage,,,,,,,,,,,
58796890,2023-09-12T12:00:00.000,2023-09-12T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11226,249 EAST   26 STREET,EAST   26 STREET,CORTELYOU ROAD,CLARENDON ROAD,ADDRESS,BROOKLYN,Closed,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,2023-09-12T12:00:00.000,17 BROOKLYN,3051700050,BROOKLYN,997378,173832,PHONE,Unspecified,BROOKLYN,40.64379558488515,-73.95269437669907,"{'latitude': '40.64379558488515', 'longitude': '-73.95269437669907', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58791174,2023-09-12T12:00:00.000,2023-09-13T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,,,,,,INTERSECTION,,Closed,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,2023-09-13T12:00:00.000,06 QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,62 AVENUE,62 AVENUE,,,,,,,,,
58795453,2023-09-12T12:00:00.000,2023-09-18T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11213,1528 PRESIDENT STREET,PRESIDENT STREET,ALBANY AVENUE,TROY AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,2023-09-18T12:00:00.000,09 BROOKLYN,,BROOKLYN,1001481,182422,PHONE,Unspecified,BROOKLYN,40.66736621666506,-73.93788762406896,"{'latitude': '40.66736621666506', 'longitude': '-73.93788762406896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DSNY Garage,,,,,,,,,,,
58799755,2023-09-12T12:00:00.000,2023-09-15T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,,,,,,INTERSECTION,,Closed,The vehicle you reported has been removed by the Department of Sanitation.,2023-09-15T12:00:00.000,04 QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,BARNWELL AVENUE,BARNWELL AVENUE,,,,,,,,,
58799754,2023-09-12T12:00:00.000,2023-09-13T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10453,1863 LORING PLACE SOUTH,LORING PLACE SOUTH,MONTGOMERY AVENUE,WEST BURNSIDE AVENUE,ADDRESS,BRONX,Closed,"The Department of Sanitation (DSNY) tagged the vehicle to confirm it was abandoned. When DSNY returned, the vehicle wasn't in the same exact location. This indicated that the vehicle wasn't abandoned. DSNY closed your Service Request. No further action will be taken.",2023-09-13T12:00:00.000,05 BRONX,2028790197,BRONX,1007653,250102,PHONE,Unspecified,BRONX,40.85311613284676,-73.91540389595875,"{'latitude': '40.85311613284676', 'longitude': '-73.91540389595875', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DSNY Garage,,,,,,,,,,,
58794059,2023-09-12T12:00:00.000,2023-09-12T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,,,,,,INTERSECTION,,Closed,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,2023-09-12T12:00:00.000,03 QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,31 AVENUE,31 AVENUE,,,,,,,,,
58792626,2023-09-12T12:00:00.000,2023-09-13T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11106,11-11 36 AVENUE,36 AVENUE,11 STREET,12 STREET,ADDRESS,ASTORIA,Closed,The Department of Sanitation does NOT have jurisdiction over vehicles (abandoned or otherwise) that have license plates affixed to them. Your request will be referred to the NYPD for further action.,2023-09-13T12:00:00.000,01 QUEENS,4003310050,QUEENS,1000930,216551,PHONE,Unspecified,QUEENS,40.76104319582901,-73.93978924450177,"{'latitude': '40.76104319582901', 'longitude': '-73.93978924450177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DSNY Garage,,,,,,,,,,,
