unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,intersection_street_1,intersection_street_2,cross_street_1,cross_street_2,landmark,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,taxi_pick_up_location,taxi_company_borough,due_date,vehicle_type
58788731,2023-09-12T10:44:53.000,2023-10-04T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,10465,737 REVERE AVENUE,REVERE AVENUE,ADDRESS,BRONX,N/A,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-04T00:00:00.000,10 BRONX,2055440099,BRONX,1032946,240498,UNKNOWN,Unspecified,BRONX,40.82665272958478,-73.8240458208844,"{'latitude': '40.82665272958478', 'longitude': '-73.8240458208844', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58796367,2023-09-12T10:44:49.000,2023-09-20T16:32:59.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,10031,3501 BROADWAY,BROADWAY,ADDRESS,NEW YORK,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-20T00:00:00.000,09 MANHATTAN,1020900029,MANHATTAN,997718,239936,ONLINE,Unspecified,MANHATTAN,40.82523416798685,-73.95133688818218,"{'latitude': '40.82523416798685', 'longitude': '-73.95133688818218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,
58789258,2023-09-12T10:44:49.000,2023-09-16T02:03:25.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10031,3501 BROADWAY,BROADWAY,ADDRESS,NEW YORK,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-16T00:00:00.000,09 MANHATTAN,1020900029,MANHATTAN,997718,239936,ONLINE,Unspecified,MANHATTAN,40.82523416798685,-73.95133688818218,"{'latitude': '40.82523416798685', 'longitude': '-73.95133688818218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,
58796567,2023-09-12T10:44:47.000,2023-09-14T08:55:00.000,DOT,Department of Transportation,Street Condition,Pothole,11416,,,INTERSECTION,QUEENS,N/A,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-14T08:55:00.000,09 QUEENS,,QUEENS,1023755,187124,UNKNOWN,Unspecified,QUEENS,40.68020076373245,-73.85756935006083,"{'latitude': '40.68020076373245', 'longitude': '-73.85756935006083', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,81 STREET,102 AVENUE,,,,,,,,,,,
58796683,2023-09-12T10:44:45.000,2023-09-13T10:22:55.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,11365,56-28 184 STREET,184 STREET,ADDRESS,FRESH MEADOWS,,Closed,"The Service Request submitted did not have sufficient location or complaint information for NYC Parks to respond.  Please submit a new Service Request with adequate site details, including a full street address and descriptive location information.",2023-09-13T10:22:59.000,11 QUEENS,4056697501,QUEENS,1041965,210018,PHONE,Unspecified,QUEENS,40.74293916873729,-73.79171927675127,"{'latitude': '40.74293916873729', 'longitude': '-73.79171927675127', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,56 AVENUE,58 AVENUE,56 AVENUE,58 AVENUE,184 STREET,,,,,,,,
58797939,2023-09-12T10:44:38.000,2023-09-24T17:19:37.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,10460,610 MEAD STREET,MEAD STREET,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-24T00:00:00.000,11 BRONX,2040260005,BRONX,1021055,246153,PHONE,Unspecified,BRONX,40.842231608440066,-73.86698069104936,"{'latitude': '40.842231608440066', 'longitude': '-73.86698069104936', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,
58793460,2023-09-12T10:44:38.000,2023-09-24T17:19:37.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,10460,610 MEAD STREET,MEAD STREET,ADDRESS,BRONX,,Closed,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-24T00:00:00.000,11 BRONX,2040260005,BRONX,1021055,246153,PHONE,Unspecified,BRONX,40.842231608440066,-73.86698069104936,"{'latitude': '40.842231608440066', 'longitude': '-73.86698069104936', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,
58791812,2023-09-12T10:44:38.000,2023-09-12T11:38:59.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,10314,77 REGIS DRIVE,REGIS DRIVE,ADDRESS,STATEN ISLAND,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-12T11:39:02.000,01 STATEN ISLAND,5016570073,STATEN ISLAND,940553,165041,PHONE,Unspecified,STATEN ISLAND,40.61956812181467,-74.15740132100416,"{'latitude': '40.61956812181467', 'longitude': '-74.15740132100416', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,LENORE COURT,ARLENE COURT,LENORE COURT,ARLENE COURT,REGIS DRIVE,,,,,,,,
58796339,2023-09-12T10:44:38.000,2023-09-24T17:19:37.000,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,10460,610 MEAD STREET,MEAD STREET,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-24T00:00:00.000,11 BRONX,2040260005,BRONX,1021055,246153,PHONE,Unspecified,BRONX,40.842231608440066,-73.86698069104936,"{'latitude': '40.842231608440066', 'longitude': '-73.86698069104936', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,
58796127,2023-09-12T10:44:37.000,2023-09-12T11:31:21.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,11235,1209 Z AVENUE,Z AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-12T11:31:26.000,15 BROOKLYN,3074330145,BROOKLYN,996044,153366,PHONE,Unspecified,BROOKLYN,40.587622536073155,-73.95753707984069,"{'latitude': '40.587622536073155', 'longitude': '-73.95753707984069', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,EAST   12 STREET,HOMECREST AVENUE,EAST   12 STREET,HOMECREST AVENUE,AVENUE Z,,,,,,,,
58796171,2023-09-12T10:44:33.000,2023-09-12T11:07:24.000,NYPD,New York City Police Department,Panhandling,N/A,10001,19 WEST   34 STREET,WEST   34 STREET,ADDRESS,NEW YORK,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-12T11:07:28.000,05 MANHATTAN,1008360020,MANHATTAN,988172,212154,MOBILE,Unspecified,MANHATTAN,40.7489894137433,-73.98584509367129,"{'latitude': '40.7489894137433', 'longitude': '-73.98584509367129', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,WEST   34 STREET,,,,,,,,
58796463,2023-09-12T10:44:27.000,2023-09-19T12:13:52.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,10459,1030 FAILE STREET,FAILE STREET,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,02 BRONX,2027487501,BRONX,1014819,239532,PHONE,Unspecified,BRONX,40.82408267386471,-73.88954876442712,"{'latitude': '40.82408267386471', 'longitude': '-73.88954876442712', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,
