unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,due_date,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_company_borough
58796516,2023-09-12T09:24:16.000,2023-09-25T07:44:44.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11372,34-52 84 STREET,84 STREET,ADDRESS,JACKSON HEIGHTS,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-25T00:00:00.000,03 QUEENS,4014440030,QUEENS,1016683,213481,PHONE,Unspecified,QUEENS,40.75257308212854,-73.88293959483661,"{'latitude': '40.75257308212854', 'longitude': '-73.88293959483661', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58796785,2023-09-12T09:24:13.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,10019,101 WEST   55 STREET,WEST   55 STREET,ADDRESS,NEW YORK,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-13T09:44:31.000,05 MANHATTAN,1010080029,MANHATTAN,990234,217311,ONLINE,Unspecified,MANHATTAN,40.76314290969974,-73.97839853148697,"{'latitude': '40.76314290969974', 'longitude': '-73.97839853148697', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE OF THE AMERICAS,6 1/2 AVENUE,AVENUE OF THE AMERICAS,6 1/2 AVENUE,WEST   55 STREET,,,,,,,,
58789850,2023-09-12T09:24:02.000,2023-09-15T12:55:08.000,DSNY,Department of Sanitation,Missed Collection,Bulky Recycling,Street,10312,22 STAR COURT,STAR COURT,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation collected the requested items.,2023-09-14T12:37:33.000,03 STATEN ISLAND,5055200205,STATEN ISLAND,937747,140411,ONLINE,Unspecified,STATEN ISLAND,40.55194951389787,-74.16733932884044,"{'latitude': '40.55194951389787', 'longitude': '-74.16733932884044', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RICHMOND AVENUE,DEAD END,RICHMOND AVENUE,DEAD END,STAR COURT,,,,,,,,
58794577,2023-09-12T09:23:57.000,2023-09-12T13:52:49.000,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,10308,109 ARMSTRONG AVENUE,ARMSTRONG AVENUE,ADDRESS,STATEN ISLAND,Closed,This request required re-assignment to a new DOT unit.,2023-09-12T13:52:56.000,03 STATEN ISLAND,5053120062,STATEN ISLAND,942851,134994,PHONE,Unspecified,STATEN ISLAND,40.53710618825211,-74.1489396675638,"{'latitude': '40.53710618825211', 'longitude': '-74.1489396675638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HIGHLAND LANE,HYLAN BOULEVARD,HIGHLAND LANE,HYLAN BOULEVARD,ARMSTRONG AVENUE,,,,,,,,
58789707,2023-09-12T09:23:55.000,2023-09-18T15:02:50.000,DOT,Department of Transportation,Street Condition,Line/Marking - Faded,Vehicle Lane,10128,EAST   96 STREET,EAST   96 STREET,INTERSECTION,,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-09-18T15:02:55.000,08 MANHATTAN,,MANHATTAN,997389,225841,PHONE,Unspecified,MANHATTAN,40.78654777999216,-73.95255322912092,"{'latitude': '40.78654777999216', 'longitude': '-73.95255322912092', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   96 STREET,PARK AVENUE,EAST   96 STREET,PARK AVENUE,,,,,,,,,
58793862,2023-09-12T09:23:46.000,2023-09-26T12:13:23.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,11436,144-01 119 AVENUE,119 AVENUE,ADDRESS,JAMAICA,Closed,"Under NYC Parksâ Tree Risk Management Program, work is prioritized to address the conditions with the highest risk first.  NYC Parks determined that the issue will be addressed in the next pruning cycle through the routine block pruning program.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-26T08:13:14.000,12 QUEENS,4120180034,QUEENS,1040696,186372,ONLINE,Unspecified,QUEENS,40.678044882105404,-73.79649704446771,"{'latitude': '40.678044882105404', 'longitude': '-73.79649704446771', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",144 STREET,145 STREET,144 STREET,145 STREET,119 AVENUE,,,,,,,,
58790985,2023-09-12T09:23:28.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,11236,529 EAST   78 STREET,EAST   78 STREET,ADDRESS,BROOKLYN,In Progress,,,18 BROOKLYN,3079570006,BROOKLYN,1006735,171851,ONLINE,Unspecified,BROOKLYN,40.638339354336,-73.91898384612296,"{'latitude': '40.638339354336', 'longitude': '-73.91898384612296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RALPH AVENUE,FARRAGUT ROAD,RALPH AVENUE,FARRAGUT ROAD,EAST   78 STREET,,,,,,,,
58791616,2023-09-12T09:23:14.000,2023-09-12T09:51:26.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11236,41 PAERDEGAT    3 STREET,PAERDEGAT    3 STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-12T09:51:29.000,18 BROOKLYN,3080300051,BROOKLYN,1008993,169579,ONLINE,Unspecified,BROOKLYN,40.63209718069794,-73.91085633726198,"{'latitude': '40.63209718069794', 'longitude': '-73.91085633726198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PAERDEGAT AVENUE NORTH,EAST   80 STREET,PAERDEGAT AVENUE NORTH,EAST   80 STREET,PAERDEGAT    3 STREET,,,,,,,,
58794738,2023-09-12T09:23:05.000,2023-09-12T09:58:43.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11693,50 WEST   14 ROAD,WEST   14 ROAD,ADDRESS,FAR ROCKAWAY,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T09:58:49.000,14 QUEENS,4153190005,QUEENS,1033827,159070,ONLINE,Unspecified,QUEENS,40.603148037693835,-73.82146217533648,"{'latitude': '40.603148037693835', 'longitude': '-73.82146217533648', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CROSS BAY BOULEVARD,DEAD END,CROSS BAY BOULEVARD,DEAD END,WEST   14 ROAD,,,,,,,,
58792951,2023-09-12T09:23:00.000,2023-09-12T12:20:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Search (SC2),,11432,168-25 HILLSIDE AVENUE,HILLSIDE AVENUE,ADDRESS,JAMAICA,Closed,The Department of Environmental Protection (DEP) investigated this request and completed a search of the catch basin.,2023-09-12T12:20:00.000,08 QUEENS,4098400052,QUEENS,1041341,198121,PHONE,Unspecified,QUEENS,40.71028893980158,-73.79407207734761,"{'latitude': '40.71028893980158', 'longitude': '-73.79407207734761', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",168 ST,168 PL,,,,,,,,,,,
