unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_segment,due_date,taxi_pick_up_location,bridge_highway_direction
58796572,2023-09-12T02:08:00.000,2023-09-12T02:08:00.000,HPD,Department of Housing Preservation and Development,GENERAL,SIGNAGE MISSING,RESIDENTIAL BUILDING,10028,1571 YORK AVENUE,YORK AVENUE,ADDRESS,NEW YORK,Closed,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-12T00:00:00.000,08 MANHATTAN,1015630025,MANHATTAN,998547,221352,PHONE,Unspecified,MANHATTAN,40.77422486783118,-73.94838108211508,"{'latitude': '40.77422486783118', 'longitude': '-73.94838108211508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58796368,2023-09-12T02:08:00.000,2023-09-18T20:19:35.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,10028,1571 YORK AVENUE,YORK AVENUE,ADDRESS,NEW YORK,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-18T00:00:00.000,08 MANHATTAN,1015630025,MANHATTAN,998547,221352,PHONE,Unspecified,MANHATTAN,40.77422486783118,-73.94838108211508,"{'latitude': '40.77422486783118', 'longitude': '-73.94838108211508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58789249,2023-09-12T02:08:00.000,2023-10-09T10:40:39.000,HPD,Department of Housing Preservation and Development,GENERAL,JANITOR/SUPER,RESIDENTIAL BUILDING,10028,1571 YORK AVENUE,YORK AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-09T00:00:00.000,08 MANHATTAN,1015630025,MANHATTAN,998547,221352,PHONE,Unspecified,MANHATTAN,40.77422486783118,-73.94838108211508,"{'latitude': '40.77422486783118', 'longitude': '-73.94838108211508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58786891,2023-09-12T02:07:51.000,2023-09-12T02:12:51.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10456,1385 WASHINGTON AVENUE,WASHINGTON AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T02:12:59.000,03 BRONX,2029010001,BRONX,1010561,243449,ONLINE,Unspecified,BRONX,40.8348474210791,-73.90491830085918,"{'latitude': '40.8348474210791', 'longitude': '-73.90491830085918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  169 STREET,EAST  170 STREET,EAST  169 STREET,EAST  170 STREET,WASHINGTON AVENUE,,,,,,
58785419,2023-09-12T02:07:27.000,2023-09-12T03:16:16.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10465,4212 THROGS NECK EXPRESSWAY,THROGS NECK EXPRESSWAY,ADDRESS,BRONX,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-12T03:16:20.000,10 BRONX,2055200094,BRONX,1037393,237343,PHONE,Unspecified,BRONX,40.81796753136129,-73.80800242765497,"{'latitude': '40.81796753136129', 'longitude': '-73.80800242765497', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LAWTON AVENUE,CROSS BRONX EXPWY ET    9 WB,LAWTON AVENUE,CROSS BRONX EXPWY ET    9 WB,THROGS NECK EXPRESSWAY SVC RD,,,,,,
58786895,2023-09-12T02:06:09.000,2023-09-12T02:40:05.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10029,333 EAST  115 STREET,EAST  115 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T02:40:14.000,11 MANHATTAN,1016870017,MANHATTAN,1001716,229193,ONLINE,Unspecified,MANHATTAN,40.7957406230492,-73.93691911350425,"{'latitude': '40.7957406230492', 'longitude': '-73.93691911350425', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,EAST  115 STREET,,,,,,
58785554,2023-09-12T02:06:07.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10169,230 PARK AVENUE,PARK AVENUE,ADDRESS,NEW YORK,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-12T02:14:47.000,05 MANHATTAN,1013000001,MANHATTAN,990913,214165,MOBILE,Unspecified,MANHATTAN,40.75450745921105,-73.97595054706579,"{'latitude': '40.75450745921105', 'longitude': '-73.97595054706579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST 45 STREET,EAST 46 STREET,EAST   45 STREET,EAST   46 STREET,PARK AVENUE,,,,,,
58794850,2023-09-12T02:04:59.000,2023-09-18T14:22:40.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10028,1571 YORK AVENUE,YORK AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-18T00:00:00.000,08 MANHATTAN,1015630025,MANHATTAN,998547,221352,PHONE,Unspecified,MANHATTAN,40.77422486783118,-73.94838108211508,"{'latitude': '40.77422486783118', 'longitude': '-73.94838108211508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58789398,2023-09-12T02:04:59.000,2023-09-17T10:38:58.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11233,2160 DEAN STREET,DEAN STREET,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-17T00:00:00.000,16 BROOKLYN,3014470013,BROOKLYN,1007586,185212,ONLINE,Unspecified,BROOKLYN,40.67501015190807,-73.9158713578057,"{'latitude': '40.67501015190807', 'longitude': '-73.9158713578057', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58792028,2023-09-12T02:04:59.000,2023-09-18T14:22:39.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10028,1571 YORK AVENUE,YORK AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-18T00:00:00.000,08 MANHATTAN,1015630025,MANHATTAN,998547,221352,PHONE,Unspecified,MANHATTAN,40.77422486783118,-73.94838108211508,"{'latitude': '40.77422486783118', 'longitude': '-73.94838108211508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58778436,2023-09-12T02:04:06.000,2023-09-12T02:14:57.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11224,2930 WEST   30 STREET,WEST   30 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T02:15:01.000,13 BROOKLYN,3070500001,BROOKLYN,985326,148262,MOBILE,Unspecified,BROOKLYN,40.57362084545696,-73.9961267998414,"{'latitude': '40.57362084545696', 'longitude': '-73.9961267998414', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MERMAID AVENUE,SURF AVENUE,MERMAID AVENUE,SURF AVENUE,WEST   30 STREET,,,,,,
