unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,due_date,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,vehicle_type,taxi_company_borough
58783364,2023-09-11T22:06:00.000,2023-09-11T22:30:18.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,134 ELDRIDGE STREET,ELDRIDGE STREET,BROOME STREET,DELANCEY STREET,BROOME STREET,DELANCEY STREET,ADDRESS,NEW YORK,ELDRIDGE STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-11T22:30:22.000,03 MANHATTAN,1004140001,MANHATTAN,986588,201196,ONLINE,Unspecified,MANHATTAN,40.7189129617464,-73.99156572246149,"{'latitude': '40.7189129617464', 'longitude': '-73.99156572246149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58785413,2023-09-11T22:05:57.000,2023-09-12T12:55:11.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11385,79-33 COOPER AVENUE,COOPER AVENUE,69 DRIVE,BIKE PATH,69 DRIVE,BIKE PATH,ADDRESS,RIDGEWOOD,COOPER AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-12T12:55:14.000,05 QUEENS,4038010060,QUEENS,1019698,197370,MOBILE,Unspecified,QUEENS,40.70834080617719,-73.87214244742266,"{'latitude': '40.70834080617719', 'longitude': '-73.87214244742266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58779841,2023-09-11T22:05:37.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10003,41 UNIVERSITY PLACE,UNIVERSITY PLACE,EAST    9 STREET,EAST   10 STREET,EAST    9 STREET,EAST   10 STREET,ADDRESS,NEW YORK,UNIVERSITY PLACE,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-11-27T11:04:35.000,02 MANHATTAN,1005610001,MANHATTAN,985862,206068,ONLINE,Unspecified,MANHATTAN,40.732285580067376,-73.99418358259561,"{'latitude': '40.732285580067376', 'longitude': '-73.99418358259561', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","41 UNIVERSITY PLACE, MANHATTAN (NEW YORK), NY, 10003",,,,,,,,
58780592,2023-09-11T22:05:36.000,2023-09-11T22:22:53.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10002,143 ESSEX STREET,ESSEX STREET,RIVINGTON STREET,STANTON STREET,RIVINGTON STREET,STANTON STREET,ADDRESS,NEW YORK,ESSEX STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-11T22:22:57.000,03 MANHATTAN,1004110061,MANHATTAN,987778,201730,ONLINE,Unspecified,MANHATTAN,40.720378268643664,-73.98727254686321,"{'latitude': '40.720378268643664', 'longitude': '-73.98727254686321', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58783855,2023-09-11T22:05:28.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11206,612 WILLOUGHBY AVENUE,WILLOUGHBY AVENUE,TOMPKINS AVENUE,THROOP AVENUE,TOMPKINS AVENUE,THROOP AVENUE,ADDRESS,BROOKLYN,WILLOUGHBY AVENUE,In Progress,,,03 BROOKLYN,3017680022,BROOKLYN,999551,192258,ONLINE,Unspecified,BROOKLYN,40.694367343299135,-73.94482233600102,"{'latitude': '40.694367343299135', 'longitude': '-73.94482233600102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58780554,2023-09-11T22:05:14.000,2023-09-11T22:13:05.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11356,13-24 123 STREET,123 STREET,13 AVENUE,14 AVENUE,13 AVENUE,14 AVENUE,ADDRESS,COLLEGE POINT,123 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-11T22:13:09.000,07 QUEENS,4039970034,QUEENS,1027237,225754,PHONE,Unspecified,QUEENS,40.786214211593766,-73.84476862095968,"{'latitude': '40.786214211593766', 'longitude': '-73.84476862095968', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58781536,2023-09-11T22:05:00.000,2023-09-12T10:18:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10038,84 WILLIAM STREET,WILLIAM STREET,MAIDEN LN,PLATT ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-12T10:18:00.000,01 MANHATTAN,1000680016,MANHATTAN,982049,197230,ONLINE,Unspecified,MANHATTAN,40.70802727280567,-74.00793875677199,"{'latitude': '40.70802727280567', 'longitude': '-74.00793875677199', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,,
58781303,2023-09-11T22:04:55.000,2023-11-03T16:29:05.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10011,40 WEST    9 STREET,WEST    9 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST    9 STREET,Closed,The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,2023-11-03T16:29:07.000,02 MANHATTAN,1005720017,MANHATTAN,984925,206521,ONLINE,Unspecified,MANHATTAN,40.7335290748977,-73.9975644199674,"{'latitude': '40.7335290748977', 'longitude': '-73.9975644199674', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","40 WEST    9 STREET, MANHATTAN (NEW YORK), NY, 10011",,,,,,,,
58779702,2023-09-11T22:04:40.000,2023-09-12T13:51:34.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11385,60-47 PUTNAM AVENUE,PUTNAM AVENUE,60 PLACE,60 LANE,60 PLACE,60 LANE,ADDRESS,RIDGEWOOD,PUTNAM AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-12T13:51:37.000,05 QUEENS,4035300089,QUEENS,1012194,196494,MOBILE,Unspecified,QUEENS,40.70596327575486,-73.89921226751953,"{'latitude': '40.70596327575486', 'longitude': '-73.89921226751953', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58786607,2023-09-11T22:04:21.000,2023-09-11T22:37:18.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10011,40 WEST    9 STREET,WEST    9 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST    9 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-11T22:37:22.000,02 MANHATTAN,1005720017,MANHATTAN,984925,206521,ONLINE,Unspecified,MANHATTAN,40.7335290748977,-73.9975644199674,"{'latitude': '40.7335290748977', 'longitude': '-73.9975644199674', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
