unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_segment,due_date,bridge_highway_direction,road_ramp,taxi_pick_up_location
58779354,2023-09-11T19:18:49.000,2023-09-15T11:30:03.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11226,2223 CORTELYOU ROAD,CORTELYOU ROAD,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-15T00:00:00.000,14 BROOKLYN,3051660011,BROOKLYN,996382,173947,PHONE,Unspecified,BROOKLYN,40.64411265544077,-73.95628316994018,"{'latitude': '40.64411265544077', 'longitude': '-73.95628316994018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58779393,2023-09-11T19:18:43.000,2023-09-15T14:09:45.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10009,250 EAST HOUSTON STREET,EAST HOUSTON STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-15T00:00:00.000,03 MANHATTAN,1003977503,MANHATTAN,988319,202298,ONLINE,Unspecified,MANHATTAN,40.721937059265606,-73.98532051639553,"{'latitude': '40.721937059265606', 'longitude': '-73.98532051639553', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58782115,2023-09-11T19:18:42.000,2023-09-22T13:14:15.000,HPD,Department of Housing Preservation and Development,GENERAL,VENTILATION SYSTEM,RESIDENTIAL BUILDING,10010,10 WATERSIDE PLAZA,WATERSIDE PLAZA,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,06 MANHATTAN,1009910060,MANHATTAN,991387,207842,PHONE,Unspecified,MANHATTAN,40.7371520402173,-73.97424639983292,"{'latitude': '40.7371520402173', 'longitude': '-73.97424639983292', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58787723,2023-09-11T19:18:35.000,2023-09-27T19:10:40.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10472,1337 BEACH AVENUE,BEACH AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,09 BRONX,2038760058,BRONX,1021123,243214,PHONE,Unspecified,BRONX,40.834164632291376,-73.86675108600352,"{'latitude': '40.834164632291376', 'longitude': '-73.86675108600352', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58780594,2023-09-11T19:18:31.000,2023-09-11T21:32:31.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Residential Building/House,11368,102-17 LEWIS AVENUE,LEWIS AVENUE,ADDRESS,CORONA,Closed,The Police Department issued a summons in response to the complaint.,2023-09-11T21:32:36.000,04 QUEENS,4019400134,QUEENS,1023458,209262,ONLINE,Unspecified,QUEENS,40.74096555564719,-73.8585112266933,"{'latitude': '40.74096555564719', 'longitude': '-73.8585112266933', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",102 STREET,103 STREET,102 STREET,103 STREET,LEWIS AVENUE,,,,,,,
58780384,2023-09-11T19:18:24.000,2023-09-11T20:30:55.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,34-35 99 STREET,99 STREET,ADDRESS,CORONA,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-11T20:31:00.000,03 QUEENS,4017330036,QUEENS,1020530,214296,PHONE,Unspecified,QUEENS,40.754795100401296,-73.86905024251855,"{'latitude': '40.754795100401296', 'longitude': '-73.86905024251855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34 AVENUE,35 AVENUE,34 AVENUE,35 AVENUE,99 STREET,,,,,,,
58778366,2023-09-11T19:18:20.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,11249,80 NORTH    6 STREET,NORTH    6 STREET,ADDRESS,BROOKLYN,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-13T09:44:30.000,01 BROOKLYN,3023330019,BROOKLYN,994984,201271,MOBILE,Unspecified,BROOKLYN,40.7191126156879,-73.9612772416117,"{'latitude': '40.7191126156879', 'longitude': '-73.9612772416117', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",KENT AVENUE,WYTHE AVENUE,KENT AVENUE,WYTHE AVENUE,NORTH    6 STREET,,,,,,,
58777397,2023-09-11T19:18:00.000,2023-09-11T19:31:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10305,11 HOPE AVENUE,HOPE AVENUE,ADDRESS,STATEN ISLAND,Closed,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-09-11T19:31:00.000,01 STATEN ISLAND,5028620113,STATEN ISLAND,966415,161698,ONLINE,Unspecified,STATEN ISLAND,40.61048208727978,-74.0642348266958,"{'latitude': '40.61048208727978', 'longitude': '-74.0642348266958', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BAY ST,HOME AVE,,,,,,,,,,
58784773,2023-09-11T19:18:00.000,2023-09-12T00:45:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,,INTERSECTION,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-12T00:45:00.000,0 Unspecified,,Unspecified,,,UNKNOWN,Unspecified,Unspecified,,,,,,RICHMOND RD,MORLEY AVE,,N/A,,,,,,
58779553,2023-09-11T19:17:16.000,2023-09-12T02:27:15.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11105,18-01 45 STREET,45 STREET,ADDRESS,ASTORIA,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T02:27:19.000,80 QUEENS,4007770001,QUEENS,1013448,222691,MOBILE,Unspecified,QUEENS,40.77786340764995,-73.89457565956351,"{'latitude': '40.77786340764995', 'longitude': '-73.89457565956351', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BERRIAN BOULEVARD,19 AVENUE,BERRIAN BOULEVARD,19 AVENUE,45 STREET,,,,,,,
