unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,resolution_description,facility_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
59442010,2023-09-29T13:30:37.000,2023-09-29T14:30:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11206,3 TOMPKINS AVENUE,TOMPKINS AVENUE,FLUSHING AVENUE,HOPKINS STREET,FLUSHING AVENUE,HOPKINS STREET,ADDRESS,BROOKLYN,TOMPKINS AVENUE,Closed,2023-09-29T14:30:00.000,03 BROOKLYN,3017220178,BROOKLYN,998889,194285,ONLINE,Unspecified,BROOKLYN,40.699932105456696,-73.94720519957451,"{'latitude': '40.699932105456696', 'longitude': '-73.94720519957451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58966134,2023-09-29T13:30:26.000,2023-10-12T06:57:45.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11234,2046 EAST   56 STREET,EAST   56 STREET,,,,,ADDRESS,BROOKLYN,,Closed,2023-10-12T00:00:00.000,18 BROOKLYN,3085470062,BROOKLYN,1006502,162571,PHONE,Unspecified,BROOKLYN,40.61286830039422,-73.91985396535001,"{'latitude': '40.61286830039422', 'longitude': '-73.91985396535001', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",,,,,,,
58959776,2023-09-29T13:30:25.000,2023-10-14T15:49:18.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WINDOW/FRAME,RESIDENTIAL BUILDING,11225,268 EASTERN PARKWAY,EASTERN PARKWAY,,,,,ADDRESS,BROOKLYN,,Closed,2023-10-14T00:00:00.000,09 BROOKLYN,3011850021,BROOKLYN,995292,183783,ONLINE,Unspecified,BROOKLYN,40.671111739499274,-73.9601948037589,"{'latitude': '40.671111739499274', 'longitude': '-73.9601948037589', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,,,,,,,
58961633,2023-09-29T13:30:25.000,2023-10-14T15:49:18.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CABINET,RESIDENTIAL BUILDING,11225,268 EASTERN PARKWAY,EASTERN PARKWAY,,,,,ADDRESS,BROOKLYN,,Closed,2023-10-14T00:00:00.000,09 BROOKLYN,3011850021,BROOKLYN,995292,183783,ONLINE,Unspecified,BROOKLYN,40.671111739499274,-73.9601948037589,"{'latitude': '40.671111739499274', 'longitude': '-73.9601948037589', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,,,,,,,
58961177,2023-09-29T13:30:25.000,2023-10-14T15:49:18.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW PANE,RESIDENTIAL BUILDING,11225,268 EASTERN PARKWAY,EASTERN PARKWAY,,,,,ADDRESS,BROOKLYN,,Closed,2023-10-14T00:00:00.000,09 BROOKLYN,3011850021,BROOKLYN,995292,183783,ONLINE,Unspecified,BROOKLYN,40.671111739499274,-73.9601948037589,"{'latitude': '40.671111739499274', 'longitude': '-73.9601948037589', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,,,,,,
58959852,2023-09-29T13:30:25.000,2023-10-14T15:49:18.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11225,268 EASTERN PARKWAY,EASTERN PARKWAY,,,,,ADDRESS,BROOKLYN,,Closed,2023-10-14T00:00:00.000,09 BROOKLYN,3011850021,BROOKLYN,995292,183783,ONLINE,Unspecified,BROOKLYN,40.671111739499274,-73.9601948037589,"{'latitude': '40.671111739499274', 'longitude': '-73.9601948037589', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,,,,,,,
58961657,2023-09-29T13:30:23.000,2023-10-16T07:59:43.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,SEWAGE,RESIDENTIAL BUILDING,10471,244 FIELDSTON TERRACE,FIELDSTON TERRACE,,,,,ADDRESS,BRONX,,Closed,2023-10-16T00:00:00.000,08 BRONX,2058271620,BRONX,1012399,265610,PHONE,Unspecified,BRONX,40.895666934715955,-73.89818312692441,"{'latitude': '40.895666934715955', 'longitude': '-73.89818312692441', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",,,,,,,
58958431,2023-09-29T13:30:23.000,2023-10-12T06:57:45.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11219,1537 59 STREET,59 STREET,,,,,ADDRESS,BROOKLYN,,Closed,2023-10-12T00:00:00.000,12 BROOKLYN,3055020062,BROOKLYN,986288,167434,PHONE,Unspecified,BROOKLYN,40.626243930127515,-73.99265817319207,"{'latitude': '40.626243930127515', 'longitude': '-73.99265817319207', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",,,,,,,
58956820,2023-09-29T13:30:22.000,2023-11-06T02:02:28.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10035,402 EAST  118 STREET,EAST  118 STREET,,,,,ADDRESS,NEW YORK,,Closed,2023-11-06T00:00:00.000,11 MANHATTAN,1017110044,MANHATTAN,1002499,229705,PHONE,Unspecified,MANHATTAN,40.79714434131313,-73.93408980987411,"{'latitude': '40.79714434131313', 'longitude': '-73.93408980987411', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,,,,,,,
58966198,2023-09-29T13:30:21.000,,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10036,410 WEST   45 STREET,WEST   45 STREET,,,,,ADDRESS,NEW YORK,,Open,2023-09-29T00:00:00.000,04 MANHATTAN,1010540039,MANHATTAN,986512,216384,PHONE,Unspecified,MANHATTAN,40.760600268772365,-73.9918347834104,"{'latitude': '40.760600268772365', 'longitude': '-73.9918347834104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 212 234 - 7485 (MANHATTAN).",,,,,,,
