unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,resolution_description,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
59453613,2023-09-30T22:34:58.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Electric,Power Outage,Building-Wide,11224,2980 WEST   28 STREET,WEST   28 STREET,MERMAID AVENUE,SURF AVENUE,MERMAID AVENUE,SURF AVENUE,ADDRESS,BROOKLYN,WEST   28 STREET,Closed,2023-10-01T00:00:00.000,13 BROOKLYN,3070520034,BROOKLYN,985931,148251,ONLINE,Unspecified,BROOKLYN,40.57359055854324,-73.99394902740013,"{'latitude': '40.57359055854324', 'longitude': '-73.99394902740013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58971720,2023-09-30T22:34:52.000,2023-10-01T08:31:48.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11106,12-35 35 AVENUE,35 AVENUE,12 STREET,21 STREET,12 STREET,21 STREET,ADDRESS,ASTORIA,35 AVENUE,Closed,2023-10-01T08:31:52.000,01 QUEENS,4005230002,QUEENS,1001512,217039,ONLINE,Unspecified,QUEENS,40.76238151290782,-73.93768711322095,"{'latitude': '40.76238151290782', 'longitude': '-73.93768711322095', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,
59457397,2023-09-30T22:34:47.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Building-Wide,10032,76 ST NICHOLAS PLACE,ST NICHOLAS PLACE,WEST  153 STREET,EDGECOMBE AVENUE,WEST  153 STREET,EDGECOMBE AVENUE,ADDRESS,NEW YORK,ST NICHOLAS PLACE,Closed,2023-10-02T00:00:00.000,09 MANHATTAN,1020540079,MANHATTAN,1000634,241478,MOBILE,Unspecified,MANHATTAN,40.829461589531974,-73.94079691863257,"{'latitude': '40.829461589531974', 'longitude': '-73.94079691863257', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58975248,2023-09-30T22:34:46.000,2023-09-30T23:06:48.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11233,194 SARATOGA AVENUE,SARATOGA AVENUE,MAC DOUGAL STREET,HULL STREET,MAC DOUGAL STREET,HULL STREET,ADDRESS,BROOKLYN,SARATOGA AVENUE,Closed,2023-09-30T23:06:51.000,03 BROOKLYN,3015310030,BROOKLYN,1007402,186858,MOBILE,Unspecified,BROOKLYN,40.67952853118116,-73.91652904155434,"{'latitude': '40.67952853118116', 'longitude': '-73.91652904155434', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58975047,2023-09-30T22:34:34.000,2023-10-01T21:09:37.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11413,223-04 147 AVENUE,147 AVENUE,,,,,ADDRESS,SPRINGFIELD GARDENS,,Closed,2023-10-01T00:00:00.000,13 QUEENS,4134360047,QUEENS,1051323,179547,PHONE,Unspecified,QUEENS,40.65923770814719,-73.75825194754059,"{'latitude': '40.65923770814719', 'longitude': '-73.75825194754059', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,,,,,,
58974743,2023-09-30T22:34:28.000,2023-09-30T22:37:24.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11694,98-14 SHORE FRONT PARKWAY,SHORE FRONT PARKWAY,BEACH   98 STREET,BEACH   99 STREET,BEACH   98 STREET,BEACH   99 STREET,ADDRESS,FAR ROCKAWAY,SHORE FRONT PARKWAY,Closed,2023-09-30T22:37:29.000,14 QUEENS,4161710071,QUEENS,1034592,151696,MOBILE,Unspecified,QUEENS,40.58290361890478,-73.81876219048888,"{'latitude': '40.58290361890478', 'longitude': '-73.81876219048888', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58971120,2023-09-30T22:34:26.000,2023-09-30T22:53:48.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10039,230 WEST  147 STREET,WEST  147 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,WEST  147 STREET,Closed,2023-09-30T22:53:50.000,10 MANHATTAN,1020320055,MANHATTAN,1000905,239357,ONLINE,Unspecified,MANHATTAN,40.82363954333619,-73.93982293383968,"{'latitude': '40.82363954333619', 'longitude': '-73.93982293383968', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,
58977647,2023-09-30T22:34:15.000,2023-09-30T23:11:15.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11216,17 HERKIMER STREET,HERKIMER STREET,BEDFORD AVENUE,NOSTRAND AVENUE,BEDFORD AVENUE,NOSTRAND AVENUE,ADDRESS,BROOKLYN,HERKIMER STREET,Closed,2023-09-30T23:11:21.000,03 BROOKLYN,3018600095,BROOKLYN,997482,186946,PHONE,Unspecified,BROOKLYN,40.67979045828156,-73.95229388615941,"{'latitude': '40.67979045828156', 'longitude': '-73.95229388615941', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and determined that police action was not necessary.,,,,,,
58971193,2023-09-30T22:34:05.000,2023-09-30T22:39:09.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11238,466 PROSPECT PLACE,PROSPECT PLACE,GRAND AVENUE,CLASSON AVENUE,GRAND AVENUE,CLASSON AVENUE,ADDRESS,BROOKLYN,PROSPECT PLACE,Closed,2023-09-30T22:39:12.000,08 BROOKLYN,3011620037,BROOKLYN,995044,185573,ONLINE,Unspecified,BROOKLYN,40.676025192726364,-73.96108594981892,"{'latitude': '40.676025192726364', 'longitude': '-73.96108594981892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58968710,2023-09-30T22:33:56.000,2023-09-30T23:10:25.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10032,551 WEST  170 STREET,WEST  170 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  170 STREET,Closed,2023-09-30T23:10:28.000,12 MANHATTAN,1021270022,MANHATTAN,1001454,245984,ONLINE,Unspecified,MANHATTAN,40.84182769447864,-73.9378223173734,"{'latitude': '40.84182769447864', 'longitude': '-73.9378223173734', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,
