unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,vehicle_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment
58956489,2023-09-29T12:45:58.000,2023-09-29T12:57:58.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10454,400 BROOK AVENUE,BROOK AVENUE,EAST  143 STREET,EAST  144 STREET,EAST  143 STREET,EAST  144 STREET,ADDRESS,BRONX,BROOK AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-29T12:57:26.000,01 BRONX,2022690100,BRONX,1007256,234955,ONLINE,Unspecified,BRONX,40.81154303671623,-73.91689090006788,"{'latitude': '40.81154303671623', 'longitude': '-73.91689090006788', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58959998,2023-09-29T12:45:56.000,2023-10-13T06:38:36.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11373,92-01 LAMONT AVENUE,LAMONT AVENUE,,,,,ADDRESS,ELMHURST,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-13T00:00:00.000,04 QUEENS,4015670040,QUEENS,1019245,210596,PHONE,Unspecified,QUEENS,40.7446447233121,-73.87370759487806,"{'latitude': '40.7446447233121', 'longitude': '-73.87370759487806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
59445461,2023-09-29T12:45:54.000,2023-09-29T13:00:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11102,24-50 28 STREET,28 STREET,24 AVENUE,HOYT AVENUE NORTH,24 AVENUE,HOYT AVENUE NORTH,ADDRESS,ASTORIA,28 STREET,Closed,,2023-09-29T13:00:00.000,01 QUEENS,,QUEENS,1006960,220812,PHONE,Unspecified,QUEENS,40.77272509904424,-73.9180080207086,"{'latitude': '40.77272509904424', 'longitude': '-73.9180080207086', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58963427,2023-09-29T12:45:51.000,2023-11-01T04:03:05.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Home Improvement Contractor,Business,10453,1816 ANDREWS AVENUE,ANDREWS AVENUE,WEST TREMONT AVENUE,WEST BURNSIDE AVENUE,WEST TREMONT AVENUE,WEST BURNSIDE AVENUE,ADDRESS,BRONX,ANDREWS AVENUE,Closed,The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.,2023-11-01T04:03:08.000,05 BRONX,2028790002,BRONX,1007678,249689,PHONE,Unspecified,BRONX,40.85198250477435,-73.91531497040923,"{'latitude': '40.85198250477435', 'longitude': '-73.91531497040923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
59456724,2023-09-29T12:45:51.000,2023-09-29T13:15:00.000,DEP,Department of Environmental Protection,Water Maintenance,Water in Basement,N/A,11214,166 BAY   41 STREET,BAY   41 STREET,BENSON AVENUE,BATH AVENUE,BENSON AVENUE,BATH AVENUE,ADDRESS,BROOKLYN,BAY   41 STREET,Closed,,2023-09-29T13:15:00.000,11 BROOKLYN,,BROOKLYN,987294,155644,PHONE,Unspecified,BROOKLYN,40.593882513589485,-73.98903940632417,"{'latitude': '40.593882513589485', 'longitude': '-73.98903940632417', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
59452901,2023-09-29T12:45:45.000,2023-10-05T00:00:00.000,HPD,Department of Housing Preservation and Development,Unsanitary Condition,Mold,Public Area,10473,170 SOUNDVIEW AVENUE,SOUNDVIEW AVENUE,STEPHENS AVENUE,NEWMAN AVENUE,STEPHENS AVENUE,NEWMAN AVENUE,ADDRESS,BRONX,SOUNDVIEW AVENUE,Closed,,2023-10-05T00:00:00.000,09 BRONX,,BRONX,1024705,233867,PHONE,Unspecified,BRONX,40.80849411231082,-73.85386309324623,"{'latitude': '40.80849411231082', 'longitude': '-73.85386309324623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58967503,2023-09-29T12:45:44.000,2023-10-02T20:33:52.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11373,87-01 51 AVENUE,51 AVENUE,,,,,ADDRESS,ELMHURST,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-02T00:00:00.000,04 QUEENS,4018350095,QUEENS,1018578,208538,PHONE,Unspecified,QUEENS,40.73899864597547,-73.87612521080872,"{'latitude': '40.73899864597547', 'longitude': '-73.87612521080872', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58956927,2023-09-29T12:45:44.000,2023-10-02T20:33:52.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11373,87-01 51 AVENUE,51 AVENUE,,,,,ADDRESS,ELMHURST,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-02T00:00:00.000,04 QUEENS,4018350095,QUEENS,1018578,208538,PHONE,Unspecified,QUEENS,40.73899864597547,-73.87612521080872,"{'latitude': '40.73899864597547', 'longitude': '-73.87612521080872', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58967935,2023-09-29T12:45:44.000,2023-09-29T13:04:25.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10019,31 WEST   52 STREET,WEST   52 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST   52 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T13:04:29.000,05 MANHATTAN,1012687501,MANHATTAN,990362,216345,MOBILE,Unspecified,MANHATTAN,40.76049140051342,-73.97793734629516,"{'latitude': '40.76049140051342', 'longitude': '-73.97793734629516', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58956216,2023-09-29T12:45:43.000,2023-09-29T16:40:22.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11239,516 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ASHFORD STREET,ELTON STREET,ASHFORD STREET,ELTON STREET,ADDRESS,BROOKLYN,SCHROEDERS AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-29T16:40:19.000,05 BROOKLYN,3044520423,BROOKLYN,1019422,177846,ONLINE,Unspecified,BROOKLYN,40.65475302381683,-73.87323985668276,"{'latitude': '40.65475302381683', 'longitude': '-73.87323985668276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58958112,2023-09-29T12:45:38.000,,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11203,1250 NEW YORK AVENUE,NEW YORK AVENUE,,,,,ADDRESS,BROOKLYN,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-29T00:00:00.000,17 BROOKLYN,3049490025,BROOKLYN,999299,173332,PHONE,Unspecified,BROOKLYN,40.64242013684622,-73.94577333476862,"{'latitude': '40.64242013684622', 'longitude': '-73.94577333476862', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58963122,2023-09-29T12:45:37.000,2023-10-06T14:27:20.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,STAIRS,RESIDENTIAL BUILDING,11211,268 UNION AVENUE,UNION AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,01 BROOKLYN,3030310004,BROOKLYN,997919,197394,ONLINE,Unspecified,BROOKLYN,40.7084671294694,-73.9506971431431,"{'latitude': '40.7084671294694', 'longitude': '-73.9506971431431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58967831,2023-09-29T12:45:37.000,2023-09-30T19:37:51.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11208,82 GRANT AVENUE,GRANT AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-30T00:00:00.000,05 BROOKLYN,3041110084,BROOKLYN,1020688,190395,PHONE,Unspecified,BROOKLYN,40.68919205803995,-73.86860935291789,"{'latitude': '40.68919205803995', 'longitude': '-73.86860935291789', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58956681,2023-09-29T12:45:37.000,2023-10-01T12:19:09.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11208,82 GRANT AVENUE,GRANT AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-01T00:00:00.000,05 BROOKLYN,3041110084,BROOKLYN,1020688,190395,PHONE,Unspecified,BROOKLYN,40.68919205803995,-73.86860935291789,"{'latitude': '40.68919205803995', 'longitude': '-73.86860935291789', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58960094,2023-09-29T12:45:37.000,2023-10-06T14:27:19.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,STAIRS,RESIDENTIAL BUILDING,11211,268 UNION AVENUE,UNION AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,01 BROOKLYN,3030310004,BROOKLYN,997919,197394,ONLINE,Unspecified,BROOKLYN,40.7084671294694,-73.9506971431431,"{'latitude': '40.7084671294694', 'longitude': '-73.9506971431431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
