unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,resolution_description,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location,due_date
59436145,2023-09-29T12:00:37.000,2023-11-05T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,Public Area,10460,1547 COMMONWEALTH AVENUE,COMMONWEALTH AVENUE,MANSION STREET,BRONX RIVER AVENUE,MANSION STREET,BRONX RIVER AVENUE,ADDRESS,BRONX,COMMONWEALTH AVENUE,Closed,2023-11-05T00:00:00.000,09 BRONX,2039170028,BRONX,1020447,244888,PHONE,Unspecified,BRONX,40.83876206907432,-73.86918492707444,"{'latitude': '40.83876206907432', 'longitude': '-73.86918492707444', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59456740,2023-09-29T12:00:37.000,2023-10-01T13:00:00.000,DEP,Department of Environmental Protection,Water Maintenance,Water in Basement,N/A,10466,3633 MAROLLA PLACE,MAROLLA PLACE,HARPER AVENUE,PRATT AVENUE,HARPER AVENUE,PRATT AVENUE,ADDRESS,BRONX,MAROLLA PLACE,Closed,2023-10-01T13:00:00.000,12 BRONX,2049220072,BRONX,1029751,261565,PHONE,Unspecified,BRONX,40.884492287524886,-73.83544735110779,"{'latitude': '40.884492287524886', 'longitude': '-73.83544735110779', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58965529,2023-09-29T12:00:33.000,2023-10-05T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,10453,86 WEST  179 STREET,WEST  179 STREET,,,,,ADDRESS,BRONX,,Closed,2023-10-05T00:00:00.000,05 BRONX,2032160060,BRONX,1008703,250763,UNKNOWN,Unspecified,BRONX,40.8549275344407,-73.91160599496871,"{'latitude': '40.8549275344407', 'longitude': '-73.91160599496871', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,,,,,,
59438436,2023-09-29T12:00:19.000,,HPD,Department of Housing Preservation and Development,Plumbing,Basin/Sink,Apartment,10033,521 WEST  180 STREET,WEST  180 STREET,AMSTERDAM AVENUE,AUDUBON AVENUE,AMSTERDAM AVENUE,AUDUBON AVENUE,ADDRESS,NEW YORK,WEST  180 STREET,In Progress,,12 MANHATTAN,1021520091,MANHATTAN,1002996,248159,ONLINE,Unspecified,MANHATTAN,40.84779429072318,-73.93224323368354,"{'latitude': '40.84779429072318', 'longitude': '-73.93224323368354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59438213,2023-09-29T12:00:18.000,,HPD,Department of Housing Preservation and Development,Paint/Plaster,Wall,Apartment,10033,521 WEST  180 STREET,WEST  180 STREET,AMSTERDAM AVENUE,AUDUBON AVENUE,AMSTERDAM AVENUE,AUDUBON AVENUE,ADDRESS,NEW YORK,WEST  180 STREET,In Progress,,12 MANHATTAN,1021520091,MANHATTAN,1002996,248159,ONLINE,Unspecified,MANHATTAN,40.84779429072318,-73.93224323368354,"{'latitude': '40.84779429072318', 'longitude': '-73.93224323368354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59446613,2023-09-29T12:00:17.000,2023-10-04T00:00:00.000,HPD,Department of Housing Preservation and Development,Door/Window,Door Frame,Apartment,10033,521 WEST  180 STREET,WEST  180 STREET,AMSTERDAM AVENUE,AUDUBON AVENUE,AMSTERDAM AVENUE,AUDUBON AVENUE,ADDRESS,NEW YORK,WEST  180 STREET,Closed,2023-10-04T00:00:00.000,12 MANHATTAN,1021520091,MANHATTAN,1002996,248159,ONLINE,Unspecified,MANHATTAN,40.84779429072318,-73.93224323368354,"{'latitude': '40.84779429072318', 'longitude': '-73.93224323368354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59453585,2023-09-29T12:00:16.000,,HPD,Department of Housing Preservation and Development,Door/Window,Window Frame,Apartment,10033,521 WEST  180 STREET,WEST  180 STREET,AMSTERDAM AVENUE,AUDUBON AVENUE,AMSTERDAM AVENUE,AUDUBON AVENUE,ADDRESS,NEW YORK,WEST  180 STREET,In Progress,,12 MANHATTAN,1021520091,MANHATTAN,1002996,248159,ONLINE,Unspecified,MANHATTAN,40.84779429072318,-73.93224323368354,"{'latitude': '40.84779429072318', 'longitude': '-73.93224323368354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59452172,2023-09-29T12:00:09.000,2023-10-10T00:00:00.000,HPD,Department of Housing Preservation and Development,Paint/Plaster,Wall,Apartment,11209,160 88 STREET,88 STREET,COLONIAL ROAD,RIDGE BOULEVARD,COLONIAL ROAD,RIDGE BOULEVARD,ADDRESS,BROOKLYN,88 STREET,Closed,2023-10-10T00:00:00.000,10 BROOKLYN,,BROOKLYN,974433,166225,ONLINE,Unspecified,BROOKLYN,40.62292027374422,-74.0353636538817,"{'latitude': '40.62292027374422', 'longitude': '-74.0353636538817', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59436108,2023-09-29T12:00:08.000,2023-10-10T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,Apartment,11209,160 88 STREET,88 STREET,COLONIAL ROAD,RIDGE BOULEVARD,COLONIAL ROAD,RIDGE BOULEVARD,ADDRESS,BROOKLYN,88 STREET,Closed,2023-10-10T00:00:00.000,10 BROOKLYN,,BROOKLYN,974433,166225,ONLINE,Unspecified,BROOKLYN,40.62292027374422,-74.0353636538817,"{'latitude': '40.62292027374422', 'longitude': '-74.0353636538817', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59455899,2023-09-29T12:00:04.000,2023-09-29T19:25:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11217,636 WARREN STREET,WARREN STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,WARREN STREET,Closed,2023-09-29T19:25:00.000,06 BROOKLYN,3009377501,BROOKLYN,989844,187372,ONLINE,Unspecified,BROOKLYN,40.680967853756286,-73.97983126498666,"{'latitude': '40.680967853756286', 'longitude': '-73.97983126498666', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
