unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,due_date,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location
58956677,2023-09-29T11:22:24.000,2023-11-19T07:52:23.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11230,1530 EAST   18 STREET,EAST   18 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-11-19T00:00:00.000,14 BROOKLYN,3067640012,BROOKLYN,996433,162491,PHONE,Unspecified,BROOKLYN,40.6126682823142,-73.95612007374018,"{'latitude': '40.6126682823142', 'longitude': '-73.95612007374018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
59449079,2023-09-29T11:22:20.000,2023-09-30T05:30:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11230,1070 EAST    8 STREET,EAST    8 STREET,ADDRESS,BROOKLYN,Closed,,2023-09-30T05:30:00.000,12 BROOKLYN,3065280029,BROOKLYN,993191,166314,PHONE,Unspecified,BROOKLYN,40.62316548750349,-73.96779183156532,"{'latitude': '40.62316548750349', 'longitude': '-73.96779183156532', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE J,AVENUE K,AVENUE J,AVENUE K,EAST    8 STREET,,,,,,,
58962966,2023-09-29T11:22:17.000,2023-10-02T11:41:49.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10019,448 WEST   58 STREET,WEST   58 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-02T00:00:00.000,04 MANHATTAN,1010670052,MANHATTAN,987955,219509,PHONE,Unspecified,MANHATTAN,40.76917709960796,-73.98662421593052,"{'latitude': '40.76917709960796', 'longitude': '-73.98662421593052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58965436,2023-09-29T11:22:15.000,,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11206,97 SEIGEL STREET,SEIGEL STREET,ADDRESS,BROOKLYN,Open,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",2023-11-09T08:07:00.000,01 BROOKLYN,3030880023,BROOKLYN,1000021,195930,UNKNOWN,Unspecified,BROOKLYN,40.70444529880786,-73.94311884858344,"{'latitude': '40.70444529880786', 'longitude': '-73.94311884858344', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,N/A,2023-11-14T08:07:00.000,,,,,
59442076,2023-09-29T11:22:12.000,2023-09-29T18:50:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11422,147-65 249 STREET,249 STREET,ADDRESS,ROSEDALE,Closed,,2023-09-29T18:50:00.000,13 QUEENS,,QUEENS,1056726,178311,PHONE,Unspecified,QUEENS,40.655802598621875,-73.73879156446094,"{'latitude': '40.655802598621875', 'longitude': '-73.73879156446094', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",147 DRIVE,148 AVENUE,147 DRIVE,148 AVENUE,249 STREET,,,,,,,
58961547,2023-09-29T11:22:11.000,2023-10-02T18:55:16.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10457,1661 TOPPING AVENUE,TOPPING AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,04 BRONX,2027910018,BRONX,1010281,246467,PHONE,Unspecified,BRONX,40.8431317787954,-73.90591843984855,"{'latitude': '40.8431317787954', 'longitude': '-73.90591843984855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
59456135,2023-09-29T11:22:10.000,2023-09-29T14:07:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,Street,11101,45-57 DAVIS STREET,DAVIS STREET,ADDRESS,LONG ISLAND CITY,Closed,,2023-09-29T14:07:00.000,02 QUEENS,,QUEENS,999597,210435,ONLINE,Unspecified,QUEENS,40.74425874322234,-73.94461500871317,"{'latitude': '40.74425874322234', 'longitude': '-73.94461500871317', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLUSHING LINE,DEAD END,FLUSHING LINE,DEAD END,DAVIS STREET,,,,,,,
59438274,2023-09-29T11:22:09.000,,HPD,Department of Housing Preservation and Development,Paint/Plaster,Ceiling,Apartment,11230,1530 EAST   18 STREET,EAST   18 STREET,ADDRESS,BROOKLYN,In Progress,,,14 BROOKLYN,3067640012,BROOKLYN,996433,162491,PHONE,Unspecified,BROOKLYN,40.6126682823142,-73.95612007374018,"{'latitude': '40.6126682823142', 'longitude': '-73.95612007374018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE O,AVENUE P,AVENUE O,AVENUE P,EAST   18 STREET,,,,,,,
58967775,2023-09-29T11:22:07.000,2023-10-11T08:46:48.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10456,600 EAST  167 STREET,EAST  167 STREET,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-11T00:00:00.000,03 BRONX,2026130024,BRONX,1010752,241112,PHONE,Unspecified,BRONX,40.82843246012741,-73.90423730541498,"{'latitude': '40.82843246012741', 'longitude': '-73.90423730541498', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
59446196,2023-09-29T11:22:06.000,,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,11230,1530 EAST   18 STREET,EAST   18 STREET,ADDRESS,BROOKLYN,In Progress,,,14 BROOKLYN,3067640012,BROOKLYN,996433,162491,PHONE,Unspecified,BROOKLYN,40.6126682823142,-73.95612007374018,"{'latitude': '40.6126682823142', 'longitude': '-73.95612007374018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE O,AVENUE P,AVENUE O,AVENUE P,EAST   18 STREET,,,,,,,
