unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,road_ramp,facility_type
58967864,2023-09-29T10:13:58.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11232,456 41 STREET,41 STREET,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-29T00:00:00.000,07 BROOKLYN,3007190031,BROOKLYN,982566,176357,ONLINE,Unspecified,BROOKLYN,40.65073573340007,-74.0060687806661,"{'latitude': '40.65073573340007', 'longitude': '-74.0060687806661', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
59460040,2023-09-29T10:13:58.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,,,,,,In Progress,,,0 Unspecified,,Unspecified,1013022,252620,PHONE,Unspecified,Unspecified,40.86001142115081,-73.89598548674444,"{'latitude': '40.86001142115081', 'longitude': '-73.89598548674444', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
59453339,2023-09-29T10:13:57.000,DEP,Department of Environmental Protection,Water Maintenance,Leak,N/A,11223,2483 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,ADDRESS,BROOKLYN,Closed,,2023-09-29T10:50:00.000,15 BROOKLYN,3073430046,BROOKLYN,995068,156621,PHONE,Unspecified,BROOKLYN,40.5965581023571,-73.96104584191274,"{'latitude': '40.5965581023571', 'longitude': '-73.96104584191274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T10:50:00.000,AVENUE U,AVENUE V,AVENUE U,AVENUE V,CONEY ISLAND AVENUE,,,,,,
58958483,2023-09-29T10:13:57.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11232,4112 5 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-02T00:00:00.000,07 BROOKLYN,3007190045,BROOKLYN,982801,176095,PHONE,Unspecified,BROOKLYN,40.650016641883425,-74.00522183396956,"{'latitude': '40.650016641883425', 'longitude': '-74.00522183396956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-02T18:35:30.000,,,,,,,,,,,
59452681,2023-09-29T10:13:56.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,Street,11104,39-24 QUEENS BOULEVARD,QUEENS BOULEVARD,ADDRESS,SUNNYSIDE,Closed,,2023-09-29T18:20:00.000,02 QUEENS,,QUEENS,1005019,210306,ONLINE,Unspecified,QUEENS,40.74389359900914,-73.92504824113284,"{'latitude': '40.74389359900914', 'longitude': '-73.92504824113284', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T18:20:00.000,39 PLACE,40 STREET,39 PLACE,40 STREET,QUEENS BOULEVARD,,,,,,
59438651,2023-09-29T10:13:52.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11234,5523 AVENUE L,AVENUE L,ADDRESS,BROOKLYN,Closed,,2023-09-29T14:25:00.000,18 BROOKLYN,,BROOKLYN,1005828,166584,ONLINE,Unspecified,BROOKLYN,40.623884814513104,-73.92226871444468,"{'latitude': '40.623884814513104', 'longitude': '-73.92226871444468', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T14:25:00.000,EAST   55 STREET,EAST   56 STREET,EAST   55 STREET,EAST   56 STREET,AVENUE L,,,,,,
58960221,2023-09-29T10:13:51.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Vacant Lot,11360,209-40 23 AVENUE,23 AVENUE,ADDRESS,BAYSIDE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-29T11:20:05.000,07 QUEENS,4058937501,QUEENS,1044573,223159,ONLINE,Unspecified,QUEENS,40.77899032369357,-73.78218970022974,"{'latitude': '40.77899032369357', 'longitude': '-73.78218970022974', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T11:21:11.000,CORPORAL KENNEDY STREET,211 STREET,CORPORAL KENNEDY STREET,211 STREET,23 AVENUE,,,,,,
58958200,2023-09-29T10:13:47.000,HPD,Department of Housing Preservation and Development,GENERAL,VENTILATION SYSTEM,RESIDENTIAL BUILDING,10025,120 WEST   97 STREET,WEST   97 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,07 MANHATTAN,1018510008,MANHATTAN,993141,228521,PHONE,Unspecified,MANHATTAN,40.793908953480674,-73.96788980334472,"{'latitude': '40.793908953480674', 'longitude': '-73.96788980334472', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-04T17:49:35.000,,,,,,,,,,,
58959836,2023-09-29T10:13:47.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10025,120 WEST   97 STREET,WEST   97 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,07 MANHATTAN,1018510008,MANHATTAN,993141,228521,PHONE,Unspecified,MANHATTAN,40.793908953480674,-73.96788980334472,"{'latitude': '40.793908953480674', 'longitude': '-73.96788980334472', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-04T17:49:35.000,,,,,,,,,,,
58958165,2023-09-29T10:13:47.000,HPD,Department of Housing Preservation and Development,ELECTRIC,WIRING,RESIDENTIAL BUILDING,10025,120 WEST   97 STREET,WEST   97 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-04T00:00:00.000,07 MANHATTAN,1018510008,MANHATTAN,993141,228521,PHONE,Unspecified,MANHATTAN,40.793908953480674,-73.96788980334472,"{'latitude': '40.793908953480674', 'longitude': '-73.96788980334472', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-04T17:49:36.000,,,,,,,,,,,
58962806,2023-09-29T10:13:47.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10025,120 WEST   97 STREET,WEST   97 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-11T00:00:00.000,07 MANHATTAN,1018510008,MANHATTAN,993141,228521,PHONE,Unspecified,MANHATTAN,40.793908953480674,-73.96788980334472,"{'latitude': '40.793908953480674', 'longitude': '-73.96788980334472', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-11T17:49:56.000,,,,,,,,,,,
58964201,2023-09-29T10:13:47.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10025,120 WEST   97 STREET,WEST   97 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-04T00:00:00.000,07 MANHATTAN,1018510008,MANHATTAN,993141,228521,PHONE,Unspecified,MANHATTAN,40.793908953480674,-73.96788980334472,"{'latitude': '40.793908953480674', 'longitude': '-73.96788980334472', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-04T17:49:36.000,,,,,,,,,,,
