unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,due_date
58959176,2023-09-29T09:44:00.000,2023-09-29T18:05:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11206,482 MARCY AVENUE,MARCY AVENUE,HOPKINS ST,ELLERY ST,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,2023-09-29T18:05:00.000,03 BROOKLYN,3017190001,BROOKLYN,998167,193712,PHONE,Unspecified,BROOKLYN,40.698360519365316,-73.94981023886807,"{'latitude': '40.698360519365316', 'longitude': '-73.94981023886807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58960751,2023-09-29T09:44:00.000,2023-09-29T11:30:00.000,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),10004,7 HANOVER SQUARE,HANOVER SQUARE,PEARL ST,OLD SLIP,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.,2023-09-29T11:30:00.000,01 MANHATTAN,1000307501,MANHATTAN,981642,195934,PHONE,Unspecified,MANHATTAN,40.704469947934896,-74.00940625753638,"{'latitude': '40.704469947934896', 'longitude': '-74.00940625753638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58965263,2023-09-29T09:44:00.000,2023-09-29T17:15:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11222,4 NORTH HENRY STREET,NORTH HENRY STREET,RICHARDSON ST,HERBERT ST,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T17:15:00.000,01 BROOKLYN,3028320027,BROOKLYN,1000189,201329,PHONE,Unspecified,BROOKLYN,40.7192639651061,-73.94250014237409,"{'latitude': '40.7192639651061', 'longitude': '-73.94250014237409', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58962012,2023-09-29T09:44:00.000,2023-09-29T22:30:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),11362,51-60 MARATHON PARKWAY,MARATHON PARKWAY,51 AVE,52 AVE,ADDRESS,LITTLE NECK,Closed,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-09-29T22:30:00.000,11 QUEENS,4082210012,QUEENS,1058022,217264,PHONE,Unspecified,QUEENS,40.76270814215484,-73.73369392188694,"{'latitude': '40.76270814215484', 'longitude': '-73.73369392188694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58959720,2023-09-29T09:43:59.000,,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,11212,127 EAST   96 STREET,EAST   96 STREET,,,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-29T00:00:00.000,17 BROOKLYN,3046150059,BROOKLYN,1005433,180858,PHONE,Unspecified,BROOKLYN,40.66306481183593,-73.92364681839004,"{'latitude': '40.66306481183593', 'longitude': '-73.92364681839004', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,
58964498,2023-09-29T09:43:59.000,2023-10-06T08:45:18.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,11432,84-49 168 STREET,168 STREET,,,ADDRESS,JAMAICA,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,08 QUEENS,4098590088,QUEENS,1040515,199718,PHONE,Unspecified,QUEENS,40.714677603961206,-73.79703811176712,"{'latitude': '40.714677603961206', 'longitude': '-73.79703811176712', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,
58961499,2023-09-29T09:43:57.000,2023-10-18T17:23:37.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,10459,1131 WEST FARMS ROAD,WEST FARMS ROAD,,,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-18T00:00:00.000,02 BRONX,2027440063,BRONX,1014608,240387,PHONE,Unspecified,BRONX,40.826430131640755,-73.89030727566595,"{'latitude': '40.826430131640755', 'longitude': '-73.89030727566595', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,
58967654,2023-09-29T09:43:57.000,2023-10-12T06:57:44.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,11217,267 FLATBUSH AVENUE,FLATBUSH AVENUE,,,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,08 BROOKLYN,3011430001,BROOKLYN,991354,186968,PHONE,Unspecified,BROOKLYN,40.67985788242006,-73.97438750276265,"{'latitude': '40.67985788242006', 'longitude': '-73.97438750276265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,
58964544,2023-09-29T09:43:57.000,2023-10-12T06:57:44.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,11217,267 FLATBUSH AVENUE,FLATBUSH AVENUE,,,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,08 BROOKLYN,3011430001,BROOKLYN,991354,186968,PHONE,Unspecified,BROOKLYN,40.67985788242006,-73.97438750276265,"{'latitude': '40.67985788242006', 'longitude': '-73.97438750276265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,
58966128,2023-09-29T09:43:56.000,2023-10-10T17:00:05.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,10456,1410 GRAND CONCOURSE,GRAND CONCOURSE,,,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-10T00:00:00.000,04 BRONX,2028320004,BRONX,1008176,244997,PHONE,Unspecified,BRONX,40.83910301391248,-73.91353159598717,"{'latitude': '40.83910301391248', 'longitude': '-73.91353159598717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,
