unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,intersection_street_1,intersection_street_2,location_type,landmark,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,due_date,road_ramp
58963515,2023-09-29T09:14:00.000,2023-10-01T09:50:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),11210,876 EAST   21 STREET,EAST   21 STREET,GLENWOOD RD,CAMPUS RD,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,2023-10-01T09:50:00.000,14 BROOKLYN,3075480059,BROOKLYN,996304,169594,ONLINE,Unspecified,BROOKLYN,40.63216470772415,-73.95657201404576,"{'latitude': '40.63216470772415', 'longitude': '-73.95657201404576', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58962021,2023-09-29T09:14:00.000,2023-10-01T12:40:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),11218,178 OCEAN PARKWAY,OCEAN PARKWAY,CATON AVE,ALBEMARLE RD,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,2023-10-01T12:40:00.000,12 BROOKLYN,3053280037,BROOKLYN,991229,174535,PHONE,Unspecified,BROOKLYN,40.645732148289255,-73.97485104237367,"{'latitude': '40.645732148289255', 'longitude': '-73.97485104237367', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58956087,2023-09-29T09:14:00.000,2023-09-30T12:30:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10014,,,,,INTERSECTION,MANHATTAN,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-30T12:30:00.000,02 MANHATTAN,,MANHATTAN,981504,203804,PHONE,Unspecified,MANHATTAN,40.726071173841206,-74.00990719157174,"{'latitude': '40.726071173841206', 'longitude': '-74.00990719157174', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WASHINGTON STREET,SPRING STREET,,,,,,,,,
58966745,2023-09-29T09:14:00.000,2023-09-29T14:25:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11222,746 HUMBOLT STREET,HUMBOLT STREET,,NORMAN AVE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T14:25:00.000,01 BROOKLYN,3026540069,BROOKLYN,999298,204244,PHONE,Unspecified,BROOKLYN,40.72726649331031,-73.94570790164084,"{'latitude': '40.72726649331031', 'longitude': '-73.94570790164084', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58960485,2023-09-29T09:14:00.000,2023-09-29T11:45:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),11357,164-20 CRYDERS LANE,CRYDERS LANE,164 ST,165 ST,ADDRESS,WHITESTONE,Closed,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-09-29T11:45:00.000,07 QUEENS,4045990066,QUEENS,1040138,226615,ONLINE,Unspecified,QUEENS,40.78850525410544,-73.7981744949928,"{'latitude': '40.78850525410544', 'longitude': '-73.7981744949928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58960617,2023-09-29T09:14:00.000,2023-09-29T13:55:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11235,2472 BRIGHAM STREET,BRIGHAM STREET,AVENUE X,AVENUE Y,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T13:55:00.000,15 BROOKLYN,3074280034,BROOKLYN,1002652,155349,PHONE,Unspecified,BROOKLYN,40.593054217448504,-73.93374035425683,"{'latitude': '40.593054217448504', 'longitude': '-73.93374035425683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
59435586,2023-09-29T09:13:59.000,2023-09-30T11:00:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,10310,CARY AVENUE,CARY AVENUE,CARY AVENUE,NORTH BURGHER AVENUE,INTERSECTION,,Closed,,2023-09-30T11:00:00.000,01 STATEN ISLAND,,STATEN ISLAND,952566,169913,PHONE,Unspecified,STATEN ISLAND,40.63299183188691,-74.11415212327942,"{'latitude': '40.63299183188691', 'longitude': '-74.11415212327942', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CARY AVENUE,NORTH BURGHER AVENUE,Street,,,,,,,,
59446139,2023-09-29T09:13:56.000,2023-10-13T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11216,817 MARCY AVENUE,MARCY AVENUE,MONROE STREET,MADISON STREET,ADDRESS,BROOKLYN,Closed,,2023-10-13T00:00:00.000,03 BROOKLYN,3018190008,BROOKLYN,998878,189072,PHONE,Unspecified,BROOKLYN,40.68562364626377,-73.94725619055396,"{'latitude': '40.68562364626377', 'longitude': '-73.94725619055396', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MONROE STREET,MADISON STREET,Apartment,MARCY AVENUE,,,,,,,
59438913,2023-09-29T09:13:56.000,2023-09-29T19:40:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,11221,530 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON AVENUE,HANCOCK STREET,ADDRESS,BROOKLYN,Closed,,2023-09-29T19:40:00.000,04 BROOKLYN,,BROOKLYN,1008482,191017,ONLINE,Unspecified,BROOKLYN,40.6909411392893,-73.91262031357755,"{'latitude': '40.6909411392893', 'longitude': '-73.91262031357755', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JEFFERSON AVENUE,HANCOCK STREET,Street,CENTRAL AVENUE,,,,,,,
59006671,2023-09-29T09:13:55.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,11223,383 QUENTIN ROAD,QUENTIN ROAD,MCDONALD AVENUE,EAST    2 STREET,ADDRESS,BROOKLYN,In Progress,,,15 BROOKLYN,3066330040,BROOKLYN,992084,160340,PHONE,Unspecified,BROOKLYN,40.6067691415247,-73.97178650913229,"{'latitude': '40.6067691415247', 'longitude': '-73.97178650913229', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MCDONALD AVENUE,EAST    2 STREET,Street,QUENTIN ROAD,,,,,,,
