unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,resolution_description,resolution_action_updated_date,bbl,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,facility_type,due_date,taxi_pick_up_location
59453234,2023-09-29T08:41:42.000,HPD,Department of Housing Preservation and Development,Water Leak,Damp Spot,Apartment,11102,19-19 24 AVENUE,24 AVENUE,19 STREET,21 STREET,19 STREET,21 STREET,ADDRESS,ASTORIA,24 AVENUE,In Progress,01 QUEENS,QUEENS,1005725,222477,ONLINE,Unspecified,QUEENS,40.77729817187707,-73.92246153015647,"{'latitude': '40.77729817187707', 'longitude': '-73.92246153015647', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
59446240,2023-09-29T08:41:41.000,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,Apartment,11102,19-19 24 AVENUE,24 AVENUE,19 STREET,21 STREET,19 STREET,21 STREET,ADDRESS,ASTORIA,24 AVENUE,In Progress,01 QUEENS,QUEENS,1005725,222477,ONLINE,Unspecified,QUEENS,40.77729817187707,-73.92246153015647,"{'latitude': '40.77729817187707', 'longitude': '-73.92246153015647', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
59009142,2023-09-29T08:41:40.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11229,1780 EAST   13 STREET,EAST   13 STREET,KINGS HIGHWAY,AVENUE R,KINGS HIGHWAY,AVENUE R,ADDRESS,BROOKLYN,EAST   13 STREET,Closed,15 BROOKLYN,BROOKLYN,995436,160162,ONLINE,Unspecified,BROOKLYN,40.60627697065257,-73.95971485984956,"{'latitude': '40.60627697065257', 'longitude': '-73.95971485984956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T09:00:14.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T09:00:25.000,,,,,,,,
59452559,2023-09-29T08:41:40.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11214,153 BAY   26 STREET,BAY   26 STREET,BENSON AVENUE,BATH AVENUE,BENSON AVENUE,BATH AVENUE,ADDRESS,BROOKLYN,BAY   26 STREET,Closed,11 BROOKLYN,BROOKLYN,984299,158166,ONLINE,Unspecified,BROOKLYN,40.60080541694496,-73.99982354639438,"{'latitude': '40.60080541694496', 'longitude': '-73.99982354639438', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T09:30:00.000,,2023-09-29T09:30:00.000,,,,,,,,
59452653,2023-09-29T08:41:35.000,DEP,Department of Environmental Protection,Sewer Maintenance,Catch Basin Clogged,Sewer,11367,75 AVENUE,75 AVENUE,75 AVENUE,VLEIGH PLACE,75 AVENUE,VLEIGH PLACE,INTERSECTION,,,Closed,08 QUEENS,QUEENS,1033963,203065,PHONE,Unspecified,QUEENS,40.72390353619076,-73.8206480196056,"{'latitude': '40.72390353619076', 'longitude': '-73.8206480196056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T14:35:00.000,,2023-09-29T14:35:00.000,,,,,,,,
59445633,2023-09-29T08:41:31.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11207,84 SCHAEFER STREET,SCHAEFER STREET,BUSHWICK AVENUE,EVERGREEN AVENUE,BUSHWICK AVENUE,EVERGREEN AVENUE,ADDRESS,BROOKLYN,SCHAEFER STREET,Closed,04 BROOKLYN,BROOKLYN,1009018,189489,ONLINE,Unspecified,BROOKLYN,40.68674564882287,-73.91069313637917,"{'latitude': '40.68674564882287', 'longitude': '-73.91069313637917', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T10:10:00.000,,2023-09-29T10:10:00.000,3034270011,,,,,,,
59453325,2023-09-29T08:41:29.000,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,Apartment,11238,1040 DEAN STREET,DEAN STREET,FRANKLIN AVENUE SHUTTLE LINE,FRANKLIN AVENUE,FRANKLIN AVENUE SHUTTLE LINE,FRANKLIN AVENUE,ADDRESS,BROOKLYN,DEAN STREET,Closed,08 BROOKLYN,BROOKLYN,996503,186162,ONLINE,Unspecified,BROOKLYN,40.67763996532104,-73.95582495770822,"{'latitude': '40.67763996532104', 'longitude': '-73.95582495770822', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-16T00:00:00.000,,2023-10-16T00:00:00.000,,,,,,,,
59006747,2023-09-29T08:41:25.000,DOT,Department of Transportation,Highway Condition,High Grass,Highway,,,,,,,,,,,Closed,Unspecified QUEENS,QUEENS,,,PHONE,Unspecified,QUEENS,,,,2023-10-12T08:41:54.000,The Department of Transportation has completed the request or corrected the condition.,2023-10-12T08:42:02.000,,Long Island Expwy,East/Long Island Bound,Ramp,East Hampton Blvd Douglaston Pkwy (Exit 30),,,
59456166,2023-09-29T08:41:24.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,Street,11223,2377 WEST   12 STREET,WEST   12 STREET,AVENUE W,AVENUE X,AVENUE W,AVENUE X,ADDRESS,BROOKLYN,WEST   12 STREET,Closed,13 BROOKLYN,BROOKLYN,989251,154198,ONLINE,Unspecified,BROOKLYN,40.589912645387365,-73.98199386641703,"{'latitude': '40.589912645387365', 'longitude': '-73.98199386641703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T12:25:00.000,,2023-09-30T12:25:00.000,3071620044,,,,,,,
59449273,2023-09-29T08:41:21.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,Street,11226,CHURCH AVENUE,CHURCH AVENUE,CHURCH AVENUE,ARGYLE ROAD,CHURCH AVENUE,ARGYLE ROAD,INTERSECTION,,,Closed,14 BROOKLYN,BROOKLYN,993256,175246,PHONE,Unspecified,BROOKLYN,40.647681860232865,-73.9675457611391,"{'latitude': '40.647681860232865', 'longitude': '-73.9675457611391', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T10:00:00.000,,2023-09-30T10:00:00.000,,,,,,,,
59008058,2023-09-29T08:41:17.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,08 QUEENS,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T08:46:55.000,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-29T08:46:49.000,,,,,,,,
58961706,2023-09-29T08:41:12.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11223,517 LAKE STREET,LAKE STREET,AVENUE W,86 STREET,AVENUE W,86 STREET,ADDRESS,BROOKLYN,LAKE STREET,Closed,15 BROOKLYN,BROOKLYN,991183,154685,MOBILE,Unspecified,BROOKLYN,40.591248062260455,-73.97503718827618,"{'latitude': '40.591248062260455', 'longitude': '-73.97503718827618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T11:29:41.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T11:29:44.000,,,,,,,,
58966317,2023-09-29T08:41:12.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,08 QUEENS,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T08:49:16.000,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-29T08:49:21.000,4068290001,,,,,,,
58958568,2023-09-29T08:41:10.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11233,779 MAC DONOUGH STREET,MAC DONOUGH STREET,,,,,ADDRESS,BROOKLYN,,Open,16 BROOKLYN,BROOKLYN,1007718,188588,PHONE,Unspecified,BROOKLYN,40.6842761533697,-73.9153837280975,"{'latitude': '40.6842761533697', 'longitude': '-73.9153837280975', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-29T00:00:00.000,3014980049,,,,,,,
58958609,2023-09-29T08:41:09.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11204,2101 BAY RIDGE PARKWAY,BAY RIDGE PARKWAY,,,,,ADDRESS,BROOKLYN,,Closed,11 BROOKLYN,BROOKLYN,987242,161268,ONLINE,Unspecified,BROOKLYN,40.609319269148564,-73.98922415266975,"{'latitude': '40.609319269148564', 'longitude': '-73.98922415266975', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-20T06:57:57.000,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-20T00:00:00.000,3062190001,,,,,,,
