unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,facility_type,due_date,bbl,landmark,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,taxi_pick_up_location,taxi_company_borough
58966447,2023-09-29T07:43:55.000,2023-09-29T08:41:25.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11211,LEONARD STREET,LEONARD STREET,LEONARD STREET,METROPOLITAN AVENUE,LEONARD STREET,METROPOLITAN AVENUE,INTERSECTION,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T08:41:30.000,01 BROOKLYN,BROOKLYN,998743,199489,PHONE,Unspecified,BROOKLYN,40.714216094096855,-73.94772053991497,"{'latitude': '40.714216094096855', 'longitude': '-73.94772053991497', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58957757,2023-09-29T07:43:51.000,2023-10-23T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10473,849 CASTLE HILL AVENUE,CASTLE HILL AVENUE,,,,,ADDRESS,Closed,The City has removed the graffiti from this property.,2023-10-25T07:05:26.000,09 BRONX,BRONX,1025957,239681,UNKNOWN,Unspecified,BRONX,40.82444606717595,-73.84930433148956,"{'latitude': '40.82444606717595', 'longitude': '-73.84930433148956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,N/A,2023-10-29T07:43:51.000,2036850040,,,,,,,
59453584,2023-09-29T07:43:46.000,,HPD,Department of Housing Preservation and Development,Door/Window,Window Frame,Apartment,10452,30 EAST CLARKE PLACE,EAST CLARKE PLACE,JEROME AVENUE,WALTON AVENUE,JEROME AVENUE,WALTON AVENUE,ADDRESS,In Progress,,,04 BRONX,BRONX,1006985,244562,PHONE,Unspecified,BRONX,40.83791221229114,-73.9178373339864,"{'latitude': '40.83791221229114', 'longitude': '-73.9178373339864', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,,,EAST CLARKE PLACE,,,,,,
59435599,2023-09-29T07:43:42.000,2023-09-30T18:05:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,Street,11214,506 BAY   44 STREET,BAY   44 STREET,HUNTER AVENUE,DEAD END,HUNTER AVENUE,DEAD END,ADDRESS,Closed,,2023-09-30T18:05:00.000,13 BROOKLYN,BROOKLYN,985410,153002,PHONE,Unspecified,BROOKLYN,40.586631198929936,-73.99582361757808,"{'latitude': '40.586631198929936', 'longitude': '-73.99582361757808', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3069440327,BAY   44 STREET,,,,,,
59438156,2023-09-29T07:43:26.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,Paint/Plaster,Ceiling,Apartment,11369,32-41 106 STREET,106 STREET,32 AVENUE,NORTHERN BOULEVARD,32 AVENUE,NORTHERN BOULEVARD,ADDRESS,Closed,,2023-10-02T00:00:00.000,03 QUEENS,QUEENS,1022203,215794,PHONE,Unspecified,QUEENS,40.75889970050338,-73.86300323641815,"{'latitude': '40.75889970050338', 'longitude': '-73.86300323641815', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST ELMHURST,,,4017010090,106 STREET,,,,,,
59446073,2023-09-29T07:43:25.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,11369,32-41 106 STREET,106 STREET,32 AVENUE,NORTHERN BOULEVARD,32 AVENUE,NORTHERN BOULEVARD,ADDRESS,Closed,,2023-10-02T00:00:00.000,03 QUEENS,QUEENS,1022203,215794,PHONE,Unspecified,QUEENS,40.75889970050338,-73.86300323641815,"{'latitude': '40.75889970050338', 'longitude': '-73.86300323641815', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST ELMHURST,,,4017010090,106 STREET,,,,,,
59449202,2023-09-29T07:43:23.000,2023-09-29T09:45:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Catch Basin Clogged,Sewer,10310,129 SENECA STREET,SENECA STREET,BROADWAY,DEAD END,BROADWAY,DEAD END,ADDRESS,Closed,,2023-09-29T09:45:00.000,01 STATEN ISLAND,STATEN ISLAND,951520,169414,ONLINE,Unspecified,STATEN ISLAND,40.63161838063056,-74.11791826077044,"{'latitude': '40.63161838063056', 'longitude': '-74.11791826077044', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,,,5002160073,SENECA STREET,,,,,,
59452872,2023-09-29T07:43:21.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,Unsanitary Condition,Mold,Apartment,11369,32-41 106 STREET,106 STREET,32 AVENUE,NORTHERN BOULEVARD,32 AVENUE,NORTHERN BOULEVARD,ADDRESS,Closed,,2023-10-02T00:00:00.000,03 QUEENS,QUEENS,1022203,215794,PHONE,Unspecified,QUEENS,40.75889970050338,-73.86300323641815,"{'latitude': '40.75889970050338', 'longitude': '-73.86300323641815', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST ELMHURST,,,4017010090,106 STREET,,,,,,
58956490,2023-09-29T07:43:15.000,2023-09-29T08:31:44.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11238,459 ST MARKS AVENUE,ST MARKS AVENUE,CLASSON AVENUE,FRANKLIN AVENUE SHUTTLE LINE,CLASSON AVENUE,FRANKLIN AVENUE SHUTTLE LINE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T08:31:46.000,08 BROOKLYN,BROOKLYN,995656,185756,ONLINE,Unspecified,BROOKLYN,40.67652671900751,-73.95887928516821,"{'latitude': '40.67652671900751', 'longitude': '-73.95887928516821', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3011490095,ST MARKS AVENUE,,,,,,
59460176,2023-09-29T07:43:14.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,Apartment,11354,147-15 NORTHERN BOULEVARD,NORTHERN BOULEVARD,147 STREET,149 STREET,147 STREET,149 STREET,ADDRESS,Closed,,2023-10-01T00:00:00.000,07 QUEENS,QUEENS,1034360,218105,PHONE,Unspecified,QUEENS,40.765182244615715,-73.81910369486208,"{'latitude': '40.765182244615715', 'longitude': '-73.81910369486208', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLUSHING,,,4050050064,NORTHERN BOULEVARD,,,,,,
