unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,facility_type,taxi_pick_up_location
58952946,2023-09-29T01:48:46.000,2023-09-29T05:39:39.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11420,132-14 116 AVENUE,116 AVENUE,LINCOLN STREET,133 STREET,LINCOLN STREET,133 STREET,ADDRESS,SOUTH OZONE PARK,116 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-29T05:39:46.000,10 QUEENS,4116880006,QUEENS,1037618,186502,ONLINE,Unspecified,QUEENS,40.67842079376388,-73.8075929930785,"{'latitude': '40.67842079376388', 'longitude': '-73.8075929930785', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58946843,2023-09-29T01:48:24.000,2023-09-29T02:17:10.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10128,LEXINGTON AVENUE,LEXINGTON AVENUE,EAST   88 STREET,EAST   89 STREET,EAST   88 STREET,EAST   89 STREET,BLOCKFACE,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T02:17:13.000,Unspecified MANHATTAN,,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,,,,,,
58955475,2023-09-29T01:48:12.000,2023-09-29T11:03:07.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10470,660 EAST  242 STREET,EAST  242 STREET,OSGOOD STREET,RICHARDSON AVENUE,OSGOOD STREET,RICHARDSON AVENUE,ADDRESS,BRONX,EAST  242 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T11:03:05.000,12 BRONX,2051060051,BRONX,1025621,269386,PHONE,Unspecified,BRONX,40.90597873905552,-73.85033498426777,"{'latitude': '40.90597873905552', 'longitude': '-73.85033498426777', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58948844,2023-09-29T01:47:21.000,2023-09-29T01:49:45.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10016,344 EAST   28 STREET,EAST   28 STREET,MOUNT CARMEL PLACE,1 AVENUE,MOUNT CARMEL PLACE,1 AVENUE,ADDRESS,NEW YORK,EAST   28 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-29T01:49:49.000,06 MANHATTAN,,MANHATTAN,990637,208987,ONLINE,Unspecified,MANHATTAN,40.740295354643706,-73.97695165980414,"{'latitude': '40.740295354643706', 'longitude': '-73.97695165980414', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58952483,2023-09-29T01:46:38.000,2023-09-29T02:03:15.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10031,514 WEST  136 STREET,WEST  136 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,WEST  136 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-29T02:03:20.000,09 MANHATTAN,,MANHATTAN,997300,238040,ONLINE,Unspecified,MANHATTAN,40.82003081301524,-73.952850909447,"{'latitude': '40.82003081301524', 'longitude': '-73.952850909447', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58962930,2023-09-29T01:46:31.000,2023-10-12T06:57:46.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,SEWAGE,RESIDENTIAL BUILDING,11416,94-11 93 STREET,93 STREET,,,,,ADDRESS,OZONE PARK,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,09 QUEENS,4090330038,QUEENS,1025983,189814,PHONE,Unspecified,QUEENS,40.687573965449914,-73.84951991177694,"{'latitude': '40.687573965449914', 'longitude': '-73.84951991177694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58946272,2023-09-29T01:45:59.000,2023-09-29T01:58:10.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11372,74-12 35 AVENUE,35 AVENUE,74 STREET,75 STREET,74 STREET,75 STREET,ADDRESS,JACKSON HEIGHTS,35 AVENUE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-29T01:58:15.000,03 QUEENS,4012740001,QUEENS,1014201,212911,PHONE,Unspecified,QUEENS,40.751017333021714,-73.89190040511717,"{'latitude': '40.751017333021714', 'longitude': '-73.89190040511717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58955332,2023-09-29T01:45:53.000,2023-09-29T02:35:45.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10454,360 JACKSON AVENUE,JACKSON AVENUE,EAST  142 STREET,ST MARYS STREET,EAST  142 STREET,ST MARYS STREET,ADDRESS,BRONX,JACKSON AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-29T02:35:48.000,01 BRONX,2025730041,BRONX,1008915,233808,MOBILE,Unspecified,BRONX,40.80839036560573,-73.91090198649833,"{'latitude': '40.80839036560573', 'longitude': '-73.91090198649833', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58950536,2023-09-29T01:45:50.000,2023-09-29T02:21:22.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10455,576 SOUTHERN BOULEVARD,SOUTHERN BOULEVARD,EAST  149 STREET,AVENUE ST JOHN,EAST  149 STREET,AVENUE ST JOHN,ADDRESS,BRONX,SOUTHERN BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T02:21:25.000,02 BRONX,,BRONX,1011126,235299,ONLINE,Unspecified,BRONX,40.81247629491569,-73.90290917094163,"{'latitude': '40.81247629491569', 'longitude': '-73.90290917094163', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58954250,2023-09-29T01:45:35.000,2023-09-29T04:29:10.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10461,3063 BUHRE AVENUE,BUHRE AVENUE,HOBART AVENUE,JARVIS AVENUE,HOBART AVENUE,JARVIS AVENUE,ADDRESS,BRONX,BUHRE AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-29T04:29:17.000,10 BRONX,,BRONX,1031092,248129,ONLINE,Unspecified,BRONX,40.84760760081556,-73.83069160355709,"{'latitude': '40.84760760081556', 'longitude': '-73.83069160355709', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58946833,2023-09-29T01:45:11.000,2023-09-29T02:38:37.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11101,43-01 QUEENS STREET,QUEENS STREET,JACKSON AVENUE,DEAD END,JACKSON AVENUE,DEAD END,ADDRESS,LONG ISLAND CITY,QUEENS STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T02:38:42.000,02 QUEENS,,QUEENS,1001114,211469,MOBILE,Unspecified,QUEENS,40.747094050646346,-73.93913779521303,"{'latitude': '40.747094050646346', 'longitude': '-73.93913779521303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58952948,2023-09-29T01:44:20.000,2023-09-29T03:44:16.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11207,61 DE SALES PLACE,DE SALES PLACE,BUSHWICK AVENUE,DEAD END,BUSHWICK AVENUE,DEAD END,ADDRESS,BROOKLYN,DE SALES PLACE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-29T03:44:24.000,04 BROOKLYN,,BROOKLYN,1010722,187867,ONLINE,Unspecified,BROOKLYN,40.68228869940004,-73.90455533977023,"{'latitude': '40.68228869940004', 'longitude': '-73.90455533977023', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58950524,2023-09-29T01:44:14.000,2023-09-29T02:24:50.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11373,53-08 90 STREET,90 STREET,53 AVENUE,54 AVENUE,53 AVENUE,54 AVENUE,ADDRESS,ELMHURST,90 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T02:24:53.000,04 QUEENS,4018397501,QUEENS,1019300,208166,ONLINE,Unspecified,QUEENS,40.73797476734915,-73.87352176931351,"{'latitude': '40.73797476734915', 'longitude': '-73.87352176931351', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58946847,2023-09-29T01:43:10.000,2023-09-29T02:18:59.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10031,514 WEST  136 STREET,WEST  136 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,WEST  136 STREET,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-29T02:19:05.000,09 MANHATTAN,,MANHATTAN,997300,238040,ONLINE,Unspecified,MANHATTAN,40.82003081301524,-73.952850909447,"{'latitude': '40.82003081301524', 'longitude': '-73.952850909447', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58954643,2023-09-29T01:42:52.000,2023-09-29T01:50:54.000,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Roadway Tunnel,,,,,,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T01:50:57.000,Unspecified MANHATTAN,,MANHATTAN,,,ONLINE,Unspecified,MANHATTAN,,,,West Street,South Bound,N/A,N/A,,
58962478,2023-09-29T01:42:00.000,2023-09-29T02:50:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11206,,,,,BROADWAY,MYRTLE AVENUE,INTERSECTION,BROOKLYN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-29T02:50:00.000,04 BROOKLYN,,BROOKLYN,1002212,193214,UNKNOWN,Unspecified,BROOKLYN,40.69698633989122,-73.93522383122014,"{'latitude': '40.69698633989122', 'longitude': '-73.93522383122014', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,N/A,
58965104,2023-09-29T01:41:00.000,2023-09-29T14:42:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11101,43-25 HUNTER STREET,HUNTER STREET,44 RD,CRESCENT ST,,,ADDRESS,LONG ISLAND CITY,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-29T14:42:00.000,02 QUEENS,4004337501,QUEENS,1000235,211796,ONLINE,Unspecified,QUEENS,40.74799321586039,-73.94230932954018,"{'latitude': '40.74799321586039', 'longitude': '-73.94230932954018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,N/A,
58951331,2023-09-29T01:40:04.000,2023-09-29T01:52:37.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11249,194 BEDFORD AVENUE,BEDFORD AVENUE,NORTH    7 STREET,NORTH    6 STREET,NORTH    7 STREET,NORTH    6 STREET,ADDRESS,BROOKLYN,BEDFORD AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T01:52:42.000,01 BROOKLYN,3023270028,BROOKLYN,995856,200672,ONLINE,Unspecified,BROOKLYN,40.71746740378385,-73.9581325467865,"{'latitude': '40.71746740378385', 'longitude': '-73.9581325467865', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58951307,2023-09-29T01:39:56.000,2023-09-29T02:07:24.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10022,419 EAST   57 STREET,EAST   57 STREET,1 AVENUE,SUTTON PLACE,1 AVENUE,SUTTON PLACE,ADDRESS,NEW YORK,EAST   57 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-29T02:07:28.000,06 MANHATTAN,1013690007,MANHATTAN,994696,215458,MOBILE,Unspecified,MANHATTAN,40.75805275443852,-73.96229416760384,"{'latitude': '40.75805275443852', 'longitude': '-73.96229416760384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
