unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_company_borough,road_ramp,due_date
58977175,2023-09-30T20:45:43.000,2023-09-30T21:21:04.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11226,6 RALEIGH PLACE,RALEIGH PLACE,MARTENSE STREET,CHURCH AVENUE,MARTENSE STREET,CHURCH AVENUE,ADDRESS,BROOKLYN,RALEIGH PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T21:21:09.000,17 BROOKLYN,3048690043,BROOKLYN,998754,176661,MOBILE,Unspecified,BROOKLYN,40.65155842982757,-73.94772999682444,"{'latitude': '40.65155842982757', 'longitude': '-73.94772999682444', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59445435,2023-09-30T20:45:37.000,2023-10-01T00:30:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11234,5721 AVENUE O,AVENUE O,EAST   57 STREET,EAST   58 STREET,EAST   57 STREET,EAST   58 STREET,ADDRESS,BROOKLYN,AVENUE O,Closed,,2023-10-01T00:30:00.000,18 BROOKLYN,3079020001,BROOKLYN,1006569,164097,ONLINE,Unspecified,BROOKLYN,40.617056684633226,-73.91960760435902,"{'latitude': '40.617056684633226', 'longitude': '-73.91960760435902', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58973812,2023-09-30T20:45:35.000,2023-10-01T09:41:42.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11105,21-47 33 STREET,33 STREET,,,,,ADDRESS,ASTORIA,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-10-01T00:00:00.000,01 QUEENS,4008307501,QUEENS,1009608,222123,ONLINE,Unspecified,QUEENS,40.776316248692595,-73.90844276478124,"{'latitude': '40.776316248692595', 'longitude': '-73.90844276478124', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58977746,2023-09-30T20:45:24.000,2023-10-01T09:49:52.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10457,1940 CLINTON AVENUE,CLINTON AVENUE,FAIRMOUNT PLACE,EAST TREMONT AVENUE,FAIRMOUNT PLACE,EAST TREMONT AVENUE,ADDRESS,BRONX,CLINTON AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-10-01T09:49:58.000,06 BRONX,2029510041,BRONX,1014569,246973,ONLINE,Unspecified,BRONX,40.84450691785016,-73.89041842480547,"{'latitude': '40.84450691785016', 'longitude': '-73.89041842480547', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58968966,2023-09-30T20:45:19.000,2023-10-01T13:49:03.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10031,420 WEST  146 STREET,WEST  146 STREET,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-01T00:00:00.000,09 MANHATTAN,1020600044,MANHATTAN,999463,239858,ONLINE,Unspecified,MANHATTAN,40.825017247091196,-73.94503196337824,"{'latitude': '40.825017247091196', 'longitude': '-73.94503196337824', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58976257,2023-09-30T20:45:18.000,2023-10-01T10:34:52.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10304,185 PARK HILL AVENUE,PARK HILL AVENUE,,,,,ADDRESS,STATEN ISLAND,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-01T00:00:00.000,01 STATEN ISLAND,5029220150,STATEN ISLAND,961374,163026,PHONE,Unspecified,STATEN ISLAND,40.61411559192989,-74.08239506383015,"{'latitude': '40.61411559192989', 'longitude': '-74.08239506383015', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58972770,2023-09-30T20:45:17.000,2023-10-11T09:49:33.000,HPD,Department of Housing Preservation and Development,SAFETY,FIRE ESCAPE,RESIDENTIAL BUILDING,10024,40 WEST   86 STREET,WEST   86 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-11T00:00:00.000,07 MANHATTAN,1011990055,MANHATTAN,992296,225624,PHONE,Unspecified,MANHATTAN,40.78595827715962,-73.97094502421947,"{'latitude': '40.78595827715962', 'longitude': '-73.97094502421947', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58977450,2023-09-30T20:45:17.000,2023-10-02T11:07:58.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11237,268 HIMROD STREET,HIMROD STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-02T00:00:00.000,04 BROOKLYN,3032790020,BROOKLYN,1006615,194537,MOBILE,Unspecified,BROOKLYN,40.70060763270241,-73.91934095421162,"{'latitude': '40.70060763270241', 'longitude': '-73.91934095421162', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58975983,2023-09-30T20:45:09.000,2023-09-30T23:22:14.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10472,1015 BOYNTON AVENUE,BOYNTON AVENUE,BRUCKNER BOULEVARD,WATSON AVENUE,BRUCKNER BOULEVARD,WATSON AVENUE,ADDRESS,BRONX,BOYNTON AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T23:22:17.000,09 BRONX,2037140001,BRONX,1018221,239658,ONLINE,Unspecified,BRONX,40.82441607894933,-73.87725611053246,"{'latitude': '40.82441607894933', 'longitude': '-73.87725611053246', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58973108,2023-09-30T20:45:09.000,2023-10-02T15:40:22.000,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,11368,109-11 54 AVENUE,54 AVENUE,CORONA AVENUE,OTIS AVENUE,CORONA AVENUE,OTIS AVENUE,ADDRESS,CORONA,54 AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-10-02T03:11:47.000,04 QUEENS,4020090069,QUEENS,1024872,209714,ONLINE,Unspecified,QUEENS,40.74219979951673,-73.85340584555458,"{'latitude': '40.74219979951673', 'longitude': '-73.85340584555458', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
