unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,vehicle_type,taxi_company_borough,due_date
58953870,2023-09-28T22:26:12.000,2023-10-01T11:10:43.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11372,35-08 95 STREET,95 STREET,ADDRESS,JACKSON HEIGHTS,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-10-01T00:00:00.000,03 QUEENS,4014680001,QUEENS,1019556,213574,ONLINE,Unspecified,QUEENS,40.75281733857281,-73.87256960359474,"{'latitude': '40.75281733857281', 'longitude': '-73.87256960359474', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58952152,2023-09-28T22:26:08.000,2023-09-29T00:12:09.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10309,31 MORENO COURT,MORENO COURT,ADDRESS,STATEN ISLAND,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T00:12:14.000,03 STATEN ISLAND,5069790110,STATEN ISLAND,924983,134391,PHONE,Unspecified,STATEN ISLAND,40.53534968662539,-74.21321722133641,"{'latitude': '40.53534968662539', 'longitude': '-74.21321722133641', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EL CAMINO LOOP,DEAD END,EL CAMINO LOOP,DEAD END,MORENO COURT,,,,,,,,,
58950949,2023-09-28T22:26:08.000,2023-09-28T22:53:11.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10462,1937 HUNT AVENUE,HUNT AVENUE,ADDRESS,BRONX,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T22:53:16.000,11 BRONX,2042580050,BRONX,1021312,248564,PHONE,Unspecified,BRONX,40.84884801256049,-73.86603852649364,"{'latitude': '40.84884801256049', 'longitude': '-73.86603852649364', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SAGAMORE STREET,HOLLAND AVENUE,SAGAMORE STREET,HOLLAND AVENUE,HUNT AVENUE,,,,,,,,,
58949654,2023-09-28T22:26:00.000,2023-09-28T23:20:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11203,82 EAST   42 STREET,EAST   42 STREET,ADDRESS,BROOKLYN,Closed,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",2023-09-28T23:20:00.000,17 BROOKLYN,3048620020,BROOKLYN,1001349,177558,PHONE,Unspecified,BROOKLYN,40.65401586830134,-73.93837577722384,"{'latitude': '40.65401586830134', 'longitude': '-73.93837577722384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LENOX RD,LINDEN BLVD,,,,,,,,,,,,
58951148,2023-09-28T22:25:59.000,2023-09-29T02:07:06.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11221,1148 DEKALB AVENUE,DEKALB AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-29T02:07:13.000,04 BROOKLYN,3032410010,BROOKLYN,1003927,192325,ONLINE,Unspecified,BROOKLYN,40.69454259500431,-73.92904164464339,"{'latitude': '40.69454259500431', 'longitude': '-73.92904164464339', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROADWAY,BUSHWICK AVENUE,BROADWAY,BUSHWICK AVENUE,DEKALB AVENUE,,,,,,,,,
58950102,2023-09-28T22:25:53.000,,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,11212,204 EAST   96 STREET,EAST   96 STREET,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-28T00:00:00.000,17 BROOKLYN,3046310022,BROOKLYN,1005899,180301,PHONE,Unspecified,BROOKLYN,40.66153484338518,-73.92196893141944,"{'latitude': '40.66153484338518', 'longitude': '-73.92196893141944', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58951078,2023-09-28T22:25:42.000,2023-09-28T22:27:19.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10016,705 SECOND AVENUE,SECOND AVENUE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T22:27:23.000,06 MANHATTAN,,MANHATTAN,991420,211505,MOBILE,Unspecified,MANHATTAN,40.74720603501462,-73.97412341596943,"{'latitude': '40.74720603501462', 'longitude': '-73.97412341596943', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   37 STREET,EAST   38 STREET,EAST   37 STREET,EAST   38 STREET,2 AVENUE,,,,,,,,,
58952875,2023-09-28T22:25:37.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11218,45 ARGYLE ROAD,ARGYLE ROAD,ADDRESS,BROOKLYN,In Progress,,,14 BROOKLYN,3050747501,BROOKLYN,993216,175542,UNKNOWN,Unspecified,BROOKLYN,40.64849435667597,-73.9676895126457,"{'latitude': '40.64849435667597', 'longitude': '-73.9676895126457', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CATON AVENUE,CHURCH AVENUE,CATON AVENUE,CHURCH AVENUE,ARGYLE ROAD,,,,,,,,,
58960872,2023-09-28T22:25:37.000,2023-09-28T22:25:37.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,,10029,80 EAST  116 STREET,EAST  116 STREET,ADDRESS,NEW YORK,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2023-09-28T00:00:00.000,11 MANHATTAN,1016210036,MANHATTAN,999777,230593,UNKNOWN,Unspecified,MANHATTAN,40.79958686119228,-73.94391884234065,"{'latitude': '40.79958686119228', 'longitude': '-73.94391884234065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,N/A,,,,,,,,
58954808,2023-09-28T22:25:33.000,2023-09-28T22:53:48.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11356,120-15 20 AVENUE,20 AVENUE,ADDRESS,COLLEGE POINT,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T22:53:51.000,07 QUEENS,4040820043,QUEENS,1026474,224105,PHONE,Unspecified,QUEENS,40.781691830627885,-73.84753426721537,"{'latitude': '40.781691830627885', 'longitude': '-73.84753426721537', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",120 STREET,121 STREET,120 STREET,121 STREET,20 AVENUE,,,,,,,,,
58946099,2023-09-28T22:25:22.000,2023-09-28T22:38:54.000,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,11375,100-11 67 ROAD,67 ROAD,ADDRESS,FOREST HILLS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T22:38:57.000,06 QUEENS,4031700001,QUEENS,1024889,203663,ONLINE,Unspecified,QUEENS,40.72559123880885,-73.85338104665698,"{'latitude': '40.72559123880885', 'longitude': '-73.85338104665698', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BOOTH STREET,QUEENS BOULEVARD,BOOTH STREET,QUEENS BOULEVARD,67 ROAD,,,,,,,,,
59435437,2023-09-28T22:25:18.000,2023-09-28T23:20:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11203,82 EAST   42 STREET,EAST   42 STREET,ADDRESS,BROOKLYN,Closed,,2023-09-28T23:20:00.000,17 BROOKLYN,3048620020,BROOKLYN,1001349,177558,PHONE,Unspecified,BROOKLYN,40.65401586830134,-73.93837577722384,"{'latitude': '40.65401586830134', 'longitude': '-73.93837577722384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LENOX ROAD,LINDEN BOULEVARD,LENOX ROAD,LINDEN BOULEVARD,EAST   42 STREET,,,,,,,,,
58949724,2023-09-28T22:25:16.000,2023-09-28T23:02:32.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10467,3277 DECATUR AVENUE,DECATUR AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T23:02:35.000,07 BRONX,2033510046,BRONX,1019062,258378,MOBILE,Unspecified,BRONX,40.87579361001514,-73.87412021742101,"{'latitude': '40.87579361001514', 'longitude': '-73.87412021742101', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  207 STREET,EAST  209 STREET,EAST  207 STREET,EAST  209 STREET,DECATUR AVENUE,,,,,,,,,
59443498,2023-09-28T22:25:12.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Building-Wide,11372,35-08 95 STREET,95 STREET,ADDRESS,JACKSON HEIGHTS,Closed,,2023-10-01T00:00:00.000,03 QUEENS,,QUEENS,1019556,213574,ONLINE,Unspecified,QUEENS,40.75281733857281,-73.87256960359474,"{'latitude': '40.75281733857281', 'longitude': '-73.87256960359474', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",35 AVENUE,37 AVENUE,35 AVENUE,37 AVENUE,95 STREET,,,,,,,,,
58947627,2023-09-28T22:24:54.000,2023-09-28T22:38:00.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,11375,67-25 AUSTIN STREET,AUSTIN STREET,ADDRESS,FOREST HILLS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T22:38:03.000,06 QUEENS,4031680001,QUEENS,1024525,203007,ONLINE,Unspecified,QUEENS,40.723792345220026,-73.85469822331824,"{'latitude': '40.723792345220026', 'longitude': '-73.85469822331824', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",67 AVENUE,67 ROAD,67 AVENUE,67 ROAD,AUSTIN STREET,,,,,,,,,
58947286,2023-09-28T22:24:38.000,2023-09-28T22:55:02.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11230,952 EAST   13 STREET,EAST   13 STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T22:55:00.000,14 BROOKLYN,3067050029,BROOKLYN,994385,167419,PHONE,Unspecified,BROOKLYN,40.626197195262584,-73.96348902617176,"{'latitude': '40.626197195262584', 'longitude': '-73.96348902617176', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE I,AVENUE J,AVENUE I,AVENUE J,EAST   13 STREET,,,,,,,,,
58954865,2023-09-28T22:24:37.000,2023-09-29T01:28:51.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11368,97-10 44 AVENUE,44 AVENUE,ADDRESS,CORONA,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T01:28:57.000,04 QUEENS,,QUEENS,1021442,210932,PHONE,Unspecified,QUEENS,40.7455579911918,-73.86577706156126,"{'latitude': '40.7455579911918', 'longitude': '-73.86577706156126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",97 PLACE,NATIONAL STREET,97 PLACE,NATIONAL STREET,44 AVENUE,,,,,,,,,
