unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,taxi_pick_up_location,latitude,longitude,location,bbl,facility_type,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,due_date
58949320,2023-09-28T19:49:01.000,2023-10-02T10:09:55.000,TLC,Taxi and Limousine Commission,Lost Property,Electronics/Phones,Taxi,10024,2245 BROADWAY,BROADWAY,WEST   80 STREET,WEST   81 STREET,WEST   80 STREET,WEST   81 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,See notes for information.,2023-10-02T10:09:59.000,07 MANHATTAN,MANHATTAN,989972,225172,PHONE,Unspecified,MANHATTAN,"2245 BROADWAY, MANHATTAN (NEW YORK), NY, 10024",40.784719467971776,-73.97933762407881,"{'latitude': '40.784719467971776', 'longitude': '-73.97933762407881', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58946884,2023-09-28T19:48:46.000,2023-11-09T14:23:25.000,DOT,Department of Transportation,Outdoor Dining,Sidewalk Zone Blocked,Sidewalk,11230,1776 OCEAN AVENUE,OCEAN AVENUE,AVENUE L,AVENUE M,AVENUE L,AVENUE M,ADDRESS,BROOKLYN,OCEAN AVENUE,Closed,The Department of Transportation inspected the condition and determined that it is in compliance with its standards.,2023-11-09T14:23:29.000,14 BROOKLYN,BROOKLYN,996707,164793,ONLINE,Unspecified,BROOKLYN,,40.61898641403538,-73.95512895167104,"{'latitude': '40.61898641403538', 'longitude': '-73.95512895167104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58946360,2023-09-28T19:48:44.000,2023-09-28T20:00:35.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10023,151 WEST   75 STREET,WEST   75 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST   75 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T20:00:41.000,07 MANHATTAN,MANHATTAN,990035,223492,MOBILE,Unspecified,MANHATTAN,,40.78010827317161,-73.97911157514031,"{'latitude': '40.78010827317161', 'longitude': '-73.97911157514031', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58949559,2023-09-28T19:48:37.000,2023-09-30T12:58:55.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Sidewalk,10463,2201 JOHNSON AVENUE,JOHNSON AVENUE,EDSALL AVENUE,BEND,EDSALL AVENUE,BEND,ADDRESS,BRONX,JOHNSON AVENUE,Closed,The Department of Sanitation investigated this complaint and no DSNY related conditions/violations were observed. Location will be referred to the appropriate agency for further action.,2023-09-30T12:58:55.000,08 BRONX,BRONX,1006475,259385,MOBILE,Unspecified,BRONX,,40.87859818297194,-73.91963128779386,"{'latitude': '40.87859818297194', 'longitude': '-73.91963128779386', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58947917,2023-09-28T19:47:51.000,2023-09-28T20:33:15.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10468,2269 HAMPDEN PLACE,HAMPDEN PLACE,WEST  182 STREET,WEST FORDHAM ROAD,WEST  182 STREET,WEST FORDHAM ROAD,ADDRESS,BRONX,HAMPDEN PLACE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T20:33:18.000,07 BRONX,BRONX,1008758,253027,ONLINE,Unspecified,BRONX,,40.86114138015293,-73.9113989003645,"{'latitude': '40.86114138015293', 'longitude': '-73.9113989003645', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58947998,2023-09-28T19:47:43.000,2023-09-29T07:03:44.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,Street,10314,75 LONGDALE STREET,LONGDALE STREET,GAULDY AVENUE,LAMBERTS LANE,GAULDY AVENUE,LAMBERTS LANE,ADDRESS,STATEN ISLAND,LONGDALE STREET,Closed,"The Service Request submitted did not have sufficient location or complaint information for NYC Parks to respond.  Please submit a new Service Request with adequate site details, including a full street address and descriptive location information.",2023-09-29T07:03:48.000,02 STATEN ISLAND,STATEN ISLAND,938610,164027,ONLINE,Unspecified,STATEN ISLAND,,40.61677511124763,-74.1643933464138,"{'latitude': '40.61677511124763', 'longitude': '-74.1643933464138', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58953701,2023-09-28T19:47:35.000,2023-09-28T19:52:09.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11201,234 SANDS STREET,SANDS STREET,BIKE PATH,NAVY STREET,BIKE PATH,NAVY STREET,ADDRESS,BROOKLYN,SANDS STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T19:52:13.000,02 BROOKLYN,BROOKLYN,989518,194201,ONLINE,Unspecified,BROOKLYN,,40.699712085471425,-73.9810012927035,"{'latitude': '40.699712085471425', 'longitude': '-73.9810012927035', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58953515,2023-09-28T19:47:24.000,2023-09-28T19:55:45.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10002,3 NORFOLK STREET,NORFOLK STREET,GRAND STREET,BROOME STREET,GRAND STREET,BROOME STREET,ADDRESS,NEW YORK,NORFOLK STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T19:55:51.000,03 MANHATTAN,MANHATTAN,987492,200350,ONLINE,Unspecified,MANHATTAN,,40.71659060975751,-73.9883049721723,"{'latitude': '40.71659060975751', 'longitude': '-73.9883049721723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58949779,2023-09-28T19:47:05.000,2023-09-28T20:02:24.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11373,84-03 52 AVENUE,52 AVENUE,DEAD END,HASPEL STREET,DEAD END,HASPEL STREET,ADDRESS,ELMHURST,52 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T20:02:29.000,04 QUEENS,QUEENS,1016861,206618,MOBILE,Unspecified,QUEENS,,40.73373522283308,-73.88233041474633,"{'latitude': '40.73373522283308', 'longitude': '-73.88233041474633', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4028910045,,,,,,
58948457,2023-09-28T19:47:00.000,2023-09-28T20:05:00.000,DEP,Department of Environmental Protection,Water Conservation,Water Meter Broken/Leaking - Private Residence (CMR),,10314,39 FIELD STREET,FIELD STREET,FOREST HILL RD,COLONIAL AVE,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Environmental Protection scheduled an inspection.,2023-09-28T20:05:00.000,02 STATEN ISLAND,STATEN ISLAND,944690,155716,PHONE,Unspecified,STATEN ISLAND,,40.5939923755659,-74.14244480590382,"{'latitude': '40.5939923755659', 'longitude': '-74.14244480590382', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5019650166,,,,,,
