unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,taxi_pick_up_location,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,vehicle_type,due_date
58952459,2023-09-28T17:09:08.000,2023-09-28T18:19:38.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11223,1755 OCEAN PARKWAY,OCEAN PARKWAY,QUENTIN ROAD,KINGS HIGHWAY,QUENTIN ROAD,KINGS HIGHWAY,ADDRESS,BROOKLYN,OCEAN PARKWAY,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T18:19:42.000,15 BROOKLYN,BROOKLYN,993414,160028,ONLINE,Unspecified,BROOKLYN,40.60591148974752,-73.96699704996605,"{'latitude': '40.60591148974752', 'longitude': '-73.96699704996605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58947919,2023-09-28T17:08:46.000,2023-09-28T19:28:10.000,NYPD,New York City Police Department,Animal-Abuse,Tortured,Residential Building/House,10466,4350 FURMAN AVENUE,FURMAN AVENUE,EAST  236 STREET,EAST  237 STREET,EAST  236 STREET,EAST  237 STREET,ADDRESS,BRONX,FURMAN AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T19:28:15.000,12 BRONX,BRONX,1024475,265993,PHONE,Unspecified,BRONX,40.89667135733733,-73.85450116986455,"{'latitude': '40.89667135733733', 'longitude': '-73.85450116986455', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2050440030,,,,,,,,
59000700,2023-09-28T17:08:19.000,2023-11-21T09:10:00.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,,10028,1116 MADISON AVENUE,MADISON AVENUE,EAST   83 STREET,EAST   84 STREET,EAST   83 STREET,EAST   84 STREET,ADDRESS,NEW YORK,MADISON AVENUE,Closed,A hearing was scheduled at the OATH/Taxi and Limousine Tribunal.,2023-11-21T09:10:08.000,08 MANHATTAN,MANHATTAN,995292,223115,MOBILE,Unspecified,MANHATTAN,40.77906850382085,-73.96013026940683,"{'latitude': '40.77906850382085', 'longitude': '-73.96013026940683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"1116 MADISON AVENUE, MANHATTAN (NEW YORK), NY, 10028",,,,,,,
58946744,2023-09-28T17:08:14.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,11203,161 EAST   56 STREET,EAST   56 STREET,LINDEN BOULEVARD,CHURCH AVENUE,LINDEN BOULEVARD,CHURCH AVENUE,ADDRESS,BROOKLYN,EAST   56 STREET,In Progress,,,17 BROOKLYN,BROOKLYN,1005144,177241,PHONE,Unspecified,BROOKLYN,40.65313763169163,-73.92469971265108,"{'latitude': '40.65313763169163', 'longitude': '-73.92469971265108', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58954694,2023-09-28T17:08:11.000,2023-09-28T23:07:14.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11230,1750 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,AVENUE N,AVENUE O,AVENUE N,AVENUE O,ADDRESS,BROOKLYN,CONEY ISLAND AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T23:07:19.000,12 BROOKLYN,BROOKLYN,994457,163154,PHONE,Unspecified,BROOKLYN,40.614490576902774,-73.96323609715509,"{'latitude': '40.614490576902774', 'longitude': '-73.96323609715509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58948453,2023-09-28T17:08:00.000,2023-09-28T19:05:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11417,105-25 75 STREET,75 STREET,FULTON STREET LINE,GLENMORE AVE,,,ADDRESS,OZONE PARK,,Closed,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,2023-09-28T19:05:00.000,10 QUEENS,QUEENS,1022475,186530,PHONE,Unspecified,QUEENS,40.678575990340725,-73.86218760164753,"{'latitude': '40.678575990340725', 'longitude': '-73.86218760164753', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4091230072,,,,,,,,
58948435,2023-09-28T17:08:00.000,2023-10-04T10:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,10036,300 WEST   46 STREET,WEST   46 STREET,8 AVE,9 AVE,,,ADDRESS,NEW YORK,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-04T10:00:00.000,04 MANHATTAN,MANHATTAN,987476,216152,ONLINE,Unspecified,MANHATTAN,40.759963189075535,-73.98835511193052,"{'latitude': '40.759963189075535', 'longitude': '-73.98835511193052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1010360036,,N/A,,,,,,
58948464,2023-09-28T17:08:00.000,2023-09-29T07:41:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,10467,3520 TRYON AVENUE,TRYON AVENUE,E GUN HILL RD,E 211 ST,,,ADDRESS,BRONX,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-29T07:41:00.000,07 BRONX,BRONX,1018369,260171,ONLINE,Unspecified,BRONX,40.880717540974025,-73.87661696179265,"{'latitude': '40.880717540974025', 'longitude': '-73.87661696179265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2033440086,,,,,,,,
58950230,2023-09-28T17:07:41.000,2023-10-08T08:28:19.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11215,138 16 STREET,16 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-08T00:00:00.000,07 BROOKLYN,BROOKLYN,986671,181795,ONLINE,Unspecified,BROOKLYN,40.66566167784829,-73.99127327450196,"{'latitude': '40.66566167784829', 'longitude': '-73.99127327450196', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3010520023,,,,,,,,
58952600,2023-09-28T17:07:38.000,2023-10-24T09:56:22.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,10457,1750 GRAND CONCOURSE,GRAND CONCOURSE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-24T00:00:00.000,05 BRONX,BRONX,1009070,247425,PHONE,Unspecified,BRONX,40.84576469334086,-73.91029170194108,"{'latitude': '40.84576469334086', 'longitude': '-73.91029170194108', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2028250010,,,,,,,,
