unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
58946546,2023-09-28T15:06:38.000,2023-09-30T17:18:44.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11367,150-46 72 DRIVE,72 DRIVE,ADDRESS,FLUSHING,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-30T00:00:00.000,08 QUEENS,4067020001,QUEENS,1035123,204086,ONLINE,Unspecified,QUEENS,40.72669933208892,-73.81645532579833,"{'latitude': '40.72669933208892', 'longitude': '-73.81645532579833', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58950618,2023-09-28T15:06:36.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10010,88 WEST   21 STREET,WEST   21 STREET,ADDRESS,NEW YORK,In Progress,"The Taxi and Limousine Commission has issued a notice to the driver, asking the driver to plead guilty to an appropriate charge. If a hearing is needed, you will be notified by mail or email of your hearing date.",2023-11-20T11:26:44.000,05 MANHATTAN,,MANHATTAN,986184,209357,ONLINE,Unspecified,MANHATTAN,40.74131300746206,-73.99302079688083,"{'latitude': '40.74131300746206', 'longitude': '-73.99302079688083', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,WEST   21 STREET,"88 WEST   21 STREET, MANHATTAN (NEW YORK), NY, 10010",,,,,,
58947795,2023-09-28T15:06:36.000,2023-10-08T08:25:24.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10034,120 SHERMAN AVENUE,SHERMAN AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-08T00:00:00.000,12 MANHATTAN,1022240036,MANHATTAN,1005074,254087,ONLINE,Unspecified,MANHATTAN,40.8640602176717,-73.92471396313509,"{'latitude': '40.8640602176717', 'longitude': '-73.92471396313509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58953457,2023-09-28T15:06:27.000,2023-09-28T15:49:05.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10065,349 EAST   61 STREET,EAST   61 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T15:49:10.000,08 MANHATTAN,,MANHATTAN,994809,216610,MOBILE,Unspecified,MANHATTAN,40.76121456482337,-73.96188447403766,"{'latitude': '40.76121456482337', 'longitude': '-73.96188447403766', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PEDESTRIAN AND BIKE PATH LINK,1 AVENUE,PEDESTRIAN AND BIKE PATH LINK,1 AVENUE,EAST   61 STREET,,,,,,,
58951179,2023-09-28T15:06:23.000,2023-09-28T15:06:23.000,DOT,Department of Transportation,Street Condition,Pothole,,10470,707 EAST  242 STREET,EAST  242 STREET,ADDRESS,BRONX,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-28T15:06:23.000,12 BRONX,2051150024,BRONX,1025983,269265,UNKNOWN,Unspecified,BRONX,40.905644928726716,-73.84902615882892,"{'latitude': '40.905644928726716', 'longitude': '-73.84902615882892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BARNES AVENUE,WHITE PLAINS ROAD,,,,,N/A,,,,,
59011564,2023-09-28T15:06:23.000,2023-10-14T13:01:54.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,10002,99 SUFFOLK STREET,SUFFOLK STREET,ADDRESS,NEW YORK,Unspecified,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-13T06:00:15.000,03 MANHATTAN,,MANHATTAN,988068,201129,MOBILE,Unspecified,MANHATTAN,40.718728547929224,-73.9862266969104,"{'latitude': '40.718728547929224', 'longitude': '-73.9862266969104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DELANCEY STREET,RIVINGTON STREET,DELANCEY STREET,RIVINGTON STREET,SUFFOLK STREET,,,,,,,
58947904,2023-09-28T15:06:13.000,2023-09-28T19:40:13.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11207,2817 ATLANTIC AVENUE,ATLANTIC AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-28T19:40:15.000,05 BROOKLYN,3039480043,BROOKLYN,1014709,185814,MOBILE,Unspecified,BROOKLYN,40.676640862363996,-73.8901895249189,"{'latitude': '40.676640862363996', 'longitude': '-73.8901895249189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HENDRIX STREET,SCHENCK AVENUE,HENDRIX STREET,SCHENCK AVENUE,ATLANTIC AVENUE,,,,,,,
58952895,2023-09-28T15:06:11.000,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11217,69A 7 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,In Progress,,,06 BROOKLYN,3010610003,BROOKLYN,991221,185313,PHONE,Unspecified,BROOKLYN,40.67531538735805,-73.97486872785781,"{'latitude': '40.67531538735805', 'longitude': '-73.97486872785781', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LINCOLN PLACE,BERKELEY PLACE,LINCOLN PLACE,BERKELEY PLACE,7 AVENUE,,,,,,,
58953428,2023-09-28T15:06:08.000,2023-09-28T15:16:04.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11205,298 CLASSON AVENUE,CLASSON AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T15:16:07.000,02 BROOKLYN,3019330121,BROOKLYN,995261,190775,ONLINE,Unspecified,BROOKLYN,40.690303228634036,-73.96029513058312,"{'latitude': '40.690303228634036', 'longitude': '-73.96029513058312', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DEKALB AVENUE,LAFAYETTE AVENUE,DEKALB AVENUE,LAFAYETTE AVENUE,CLASSON AVENUE,,,,,,,
58954340,2023-09-28T15:05:56.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10011,615 AVENUE OF THE AMERICAS,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,In Progress,"The Taxi and Limousine Commission has issued a notice to the driver, asking the driver to plead guilty to an appropriate charge. If a hearing is needed, you will be notified by mail or email of your hearing date.",2023-11-20T11:25:56.000,04 MANHATTAN,,MANHATTAN,985646,208861,ONLINE,Unspecified,MANHATTAN,40.7399517120916,-73.99496237410222,"{'latitude': '40.7399517120916', 'longitude': '-73.99496237410222', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST   18 STREET,WEST   19 STREET,WEST   18 STREET,WEST   19 STREET,AVENUE OF THE AMERICAS,"615 AVENUE OF THE AMERICAS, MANHATTAN (NEW YORK), NY, 10011",,,,,,
