unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,facility_type,due_date,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
58949561,2023-09-28T13:12:36.000,2023-10-05T08:11:41.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Sidewalk,11433,92-34 172 STREET,172 STREET,TIFF COURT,PAIGE COURT,TIFF COURT,PAIGE COURT,ADDRESS,JAMAICA,172 STREET,Closed,The Department of Sanitation cleaned the location.,2023-10-04T10:19:05.000,12 QUEENS,QUEENS,1043136,196745,ONLINE,Unspecified,QUEENS,40.70650039219238,-73.7876095497736,"{'latitude': '40.70650039219238', 'longitude': '-73.7876095497736', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58952154,2023-09-28T13:12:34.000,2023-09-28T13:31:23.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10002,151 STANTON STREET,STANTON STREET,SUFFOLK STREET,CLINTON STREET,SUFFOLK STREET,CLINTON STREET,ADDRESS,NEW YORK,STANTON STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T13:31:28.000,03 MANHATTAN,MANHATTAN,988353,201754,MOBILE,Unspecified,MANHATTAN,40.72044389486117,-73.98519818829196,"{'latitude': '40.72044389486117', 'longitude': '-73.98519818829196', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1003497501,,,,,,,,,
58946779,2023-09-28T13:12:25.000,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11367,137-87 75 ROAD,75 ROAD,137 STREET,141 PLACE,137 STREET,141 PLACE,ADDRESS,FLUSHING,75 ROAD,In Progress,,,08 QUEENS,QUEENS,1033607,202650,ONLINE,Unspecified,QUEENS,40.72276645750147,-73.82193541785479,"{'latitude': '40.72276645750147', 'longitude': '-73.82193541785479', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58946046,2023-09-28T13:12:18.000,2023-09-28T19:24:56.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11230,35 WALDORF COURT,WALDORF COURT,RUGBY ROAD,DEAD END,RUGBY ROAD,DEAD END,ADDRESS,BROOKLYN,WALDORF COURT,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T19:25:00.000,14 BROOKLYN,BROOKLYN,994634,169373,MOBILE,Unspecified,BROOKLYN,40.63156022462976,-73.96258900640915,"{'latitude': '40.63156022462976', 'longitude': '-73.96258900640915', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58950461,2023-09-28T13:12:11.000,2023-09-28T13:12:11.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11105,20-33 STEINWAY STREET,STEINWAY STREET,20 AVENUE,20 ROAD,20 AVENUE,20 ROAD,ADDRESS,ASTORIA,STEINWAY STREET,Closed,The Department of Health and Mental Hygiene closed this complaint and referred it to another agency because it was not within its jurisdiction.,2023-09-28T13:12:11.000,01 QUEENS,QUEENS,1011243,221909,ONLINE,Unspecified,QUEENS,40.77572403357447,-73.9025403213483,"{'latitude': '40.77572403357447', 'longitude': '-73.9025403213483', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4007990019,,,,,,,,,
58955700,2023-09-28T13:12:07.000,2023-10-06T13:03:07.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Street Not Swept,Street,11220,650 59 STREET,59 STREET,6 AVENUE,7 AVENUE,6 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,59 STREET,Closed,The Department of Sanitation cleaned the location.,2023-10-06T10:08:18.000,07 BROOKLYN,BROOKLYN,980851,171737,ONLINE,Unspecified,BROOKLYN,40.638054336414704,-74.01224695096684,"{'latitude': '40.638054336414704', 'longitude': '-74.01224695096684', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58954646,2023-09-28T13:12:05.000,,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11211,329 GRAHAM AVENUE,GRAHAM AVENUE,,,,,ADDRESS,BROOKLYN,,Open,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",2023-11-09T08:07:00.000,01 BROOKLYN,BROOKLYN,999679,199483,UNKNOWN,Unspecified,BROOKLYN,40.7141980427422,-73.94434419529534,"{'latitude': '40.7141980427422', 'longitude': '-73.94434419529534', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3027640025,N/A,2023-11-14T08:07:00.000,,,,,,,
58950374,2023-09-28T13:12:02.000,2023-09-28T13:22:32.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10304,7 FAIRWAY AVENUE,FAIRWAY AVENUE,PARK HILL COURT,KIMBERLY LANE,PARK HILL COURT,KIMBERLY LANE,ADDRESS,STATEN ISLAND,FAIRWAY AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T13:22:36.000,01 STATEN ISLAND,STATEN ISLAND,962886,164633,ONLINE,Unspecified,STATEN ISLAND,40.61853024703413,-74.07695421101837,"{'latitude': '40.61853024703413', 'longitude': '-74.07695421101837', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58951103,2023-09-28T13:11:41.000,2023-10-19T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11211,330 GRAHAM AVENUE,GRAHAM AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The City has removed the graffiti from this property.,2023-10-20T06:45:45.000,01 BROOKLYN,BROOKLYN,999693,199423,UNKNOWN,Unspecified,BROOKLYN,40.714033332673175,-73.94429383185981,"{'latitude': '40.714033332673175', 'longitude': '-73.94429383185981', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3027650003,N/A,2023-10-28T13:11:41.000,,,,,,,
58951785,2023-09-28T13:11:37.000,,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Temperature,Mobile Food Vendor,10018,6 AVENUE,6 AVENUE,6 AVENUE,WEST   39 STREET,6 AVENUE,WEST   39 STREET,INTERSECTION,,,In Progress,The Department of Health and Mental Hygiene has received and processed your complaint. All restaurants and mobile food vendors are inspected annually. Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,2023-09-29T10:05:24.000,05 MANHATTAN,MANHATTAN,988271,213592,PHONE,Unspecified,MANHATTAN,40.75293631584285,-73.98548693251183,"{'latitude': '40.75293631584285', 'longitude': '-73.98548693251183', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
