unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,facility_type,taxi_pick_up_location,vehicle_type,taxi_company_borough,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,due_date
58949317,2023-09-28T11:38:20.000,2023-09-29T05:11:07.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10475,4240 HUTCHINSON RIVER PARKWAY EAST,HUTCHINSON RIVER PARKWAY EAST,EINSTEIN LOOP NORTH,BARTOW AVENUE,EINSTEIN LOOP NORTH,BARTOW AVENUE,ADDRESS,BRONX,HUTCHINSON RIVER PARKWAY,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-29T05:11:11.000,10 BRONX,BRONX,1033660,255223,PHONE,Unspecified,BRONX,40.86706446972314,-73.82135741179016,"{'latitude': '40.86706446972314', 'longitude': '-73.82135741179016', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58946069,2023-09-28T11:38:07.000,2023-09-28T12:50:57.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11222,177 HURON STREET,HURON STREET,MANHATTAN AVENUE,MCGUINNESS BOULEVARD,MANHATTAN AVENUE,MCGUINNESS BOULEVARD,ADDRESS,BROOKLYN,HURON STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T12:51:01.000,01 BROOKLYN,BROOKLYN,997013,206373,MOBILE,Unspecified,BROOKLYN,40.73311366863439,-73.95394797689718,"{'latitude': '40.73311366863439', 'longitude': '-73.95394797689718', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3025230057,,,,,,,,,
58946632,2023-09-28T11:38:06.000,2023-09-28T11:40:51.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T11:40:58.000,08 QUEENS,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4068290001,,,,,,,,,
58952295,2023-09-28T11:38:04.000,2023-10-30T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11225,576 EASTERN PARKWAY,EASTERN PARKWAY,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-30T00:00:00.000,09 BROOKLYN,BROOKLYN,998311,183303,UNKNOWN,Unspecified,BROOKLYN,40.66978996683012,-73.9493126440319,"{'latitude': '40.66978996683012', 'longitude': '-73.9493126440319', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3012690020,,,,,,,,,
58947251,2023-09-28T11:38:03.000,2023-09-28T12:10:52.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11218,CATON PLACE,CATON PLACE,CATON PLACE,EAST    8 STREET,CATON PLACE,EAST    8 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T12:10:49.000,07 BROOKLYN,BROOKLYN,991644,175901,PHONE,Unspecified,BROOKLYN,40.64948118580735,-73.97335408483526,"{'latitude': '40.64948118580735', 'longitude': '-73.97335408483526', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58951955,2023-09-28T11:38:03.000,2023-09-30T13:06:19.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,10304,29 FOUR CORNERS ROAD,FOUR CORNERS ROAD,FLAGG PLACE,ROMER ROAD,FLAGG PLACE,ROMER ROAD,ADDRESS,STATEN ISLAND,FOUR CORNERS ROAD,Closed,The Department of Sanitation collected the requested items.,2023-09-29T04:19:10.000,02 STATEN ISLAND,STATEN ISLAND,955918,154648,ONLINE,Unspecified,STATEN ISLAND,40.59110393511586,-74.10201139558349,"{'latitude': '40.59110393511586', 'longitude': '-74.10201139558349', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58948569,2023-09-28T11:38:02.000,2023-09-28T11:51:24.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10016,350 EAST   30 STREET,EAST   30 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST   30 STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-28T11:51:29.000,06 MANHATTAN,MANHATTAN,990840,209475,PHONE,Unspecified,MANHATTAN,40.741634644247206,-73.97621862921231,"{'latitude': '40.741634644247206', 'longitude': '-73.97621862921231', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1009357501,,,,,,,,,
58955271,2023-09-28T11:38:02.000,2023-09-28T11:41:22.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T11:41:13.000,08 QUEENS,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4068290001,,,,,,,,,
58951817,2023-09-28T11:38:02.000,2023-10-02T16:36:35.000,DOT,Department of Transportation,Street Condition,Failed Street Repair,Street,11426,76 AVENUE,76 AVENUE,76 AVENUE,249 STREET,76 AVENUE,249 STREET,INTERSECTION,,,Closed,"Upon inspection, the reported location/address was not found, either not correct or invalid, therefore no action was taken.",2023-10-02T16:36:38.000,13 QUEENS,QUEENS,1061282,210733,PHONE,Unspecified,QUEENS,40.74475449146283,-73.72200069893924,"{'latitude': '40.74475449146283', 'longitude': '-73.72200069893924', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58947773,2023-09-28T11:37:46.000,2023-10-12T18:59:41.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11234,6910 AVENUE U,AVENUE U,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-12T00:00:00.000,18 BROOKLYN,BROOKLYN,1009582,164801,PHONE,Unspecified,BROOKLYN,40.618980915279145,-73.90875223099572,"{'latitude': '40.618980915279145', 'longitude': '-73.90875223099572', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3084290036,,,,,,,,,
