unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,due_date,taxi_pick_up_location,taxi_company_borough
58949472,2023-09-28T09:56:02.000,2023-10-02T15:36:04.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11230,1302 AVENUE M,AVENUE M,EAST   13 STREET,EAST   14 STREET,EAST   13 STREET,EAST   14 STREET,ADDRESS,BROOKLYN,AVENUE M,Closed,The Department of Sanitation removed the items.,2023-10-02T07:11:49.000,14 BROOKLYN,BROOKLYN,994874,164365,PHONE,Unspecified,BROOKLYN,40.617814030633625,-73.96173222774406,"{'latitude': '40.617814030633625', 'longitude': '-73.96173222774406', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58948450,2023-09-28T09:56:00.000,2023-09-28T12:25:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11418,127-09 89 AVENUE,89 AVENUE,127 ST,129 ST,,,ADDRESS,RICHMOND HILL,,Closed,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,2023-09-28T12:25:00.000,09 QUEENS,QUEENS,1033368,194083,PHONE,Unspecified,QUEENS,40.69925345653311,-73.82286015297753,"{'latitude': '40.69925345653311', 'longitude': '-73.82286015297753', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4093350217,,,,,,,,
58950873,2023-09-28T09:56:00.000,2023-10-02T07:18:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,11215,575 UNION STREET,UNION STREET,NEVINS ST,3 AVE,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-10-02T07:18:00.000,06 BROOKLYN,BROOKLYN,988028,186553,PHONE,Unspecified,BROOKLYN,40.67872084585613,-73.98637917176697,"{'latitude': '40.67872084585613', 'longitude': '-73.98637917176697', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3004330047,N/A,,,,,,,
58952128,2023-09-28T09:56:00.000,2023-10-08T14:20:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,10472,1035 BOYNTON AVENUE,BOYNTON AVENUE,BRUCKNER BLVD,WATSON AVE,,,ADDRESS,BRONX,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-10-08T14:20:00.000,09 BRONX,BRONX,1018197,239789,ONLINE,Unspecified,BRONX,40.82477572866116,-73.87734216435173,"{'latitude': '40.82477572866116', 'longitude': '-73.87734216435173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2037140050,,,,,,,,
58950887,2023-09-28T09:56:00.000,2023-09-28T11:00:00.000,DEP,Department of Environmental Protection,Sewer,Manhole Cover Missing (Emergency) (SA3),,11225,1671 BEDFORD AVENUE,BEDFORD AVENUE,MONTGOMERY ST,SULLIVAN PL,,,ADDRESS,BROOKLYN,,Closed,"The Department of Environmental Protection inspected your complaint and repaired the problem. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-09-28T11:00:00.000,09 BROOKLYN,BROOKLYN,996214,181794,PHONE,Unspecified,BROOKLYN,40.66565118063571,-73.95687462557929,"{'latitude': '40.66565118063571', 'longitude': '-73.95687462557929', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3013040018,,,,,,,,
58946678,2023-09-28T09:55:58.000,2023-09-28T10:47:02.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11693,117 NOEL ROAD,NOEL ROAD,CHURCH ROAD,WALTON ROAD,CHURCH ROAD,WALTON ROAD,ADDRESS,FAR ROCKAWAY,NOEL ROAD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T10:47:07.000,14 QUEENS,QUEENS,1034786,160783,MOBILE,Unspecified,QUEENS,40.60784444602624,-73.8179957951424,"{'latitude': '40.60784444602624', 'longitude': '-73.8179957951424', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58954577,2023-09-28T09:55:58.000,2023-09-28T10:29:57.000,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,10463,444 WEST  238 STREET,WEST  238 STREET,WALDO AVENUE,GREYSTONE AVENUE,WALDO AVENUE,GREYSTONE AVENUE,ADDRESS,BRONX,WEST  238 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T10:30:00.000,08 BRONX,BRONX,1010575,262531,ONLINE,Unspecified,BRONX,40.88722168927403,-73.90479275973456,"{'latitude': '40.88722168927403', 'longitude': '-73.90479275973456', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58948621,2023-09-28T09:55:53.000,2023-09-28T12:14:34.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11221,72 PALMETTO STREET,PALMETTO STREET,BUSHWICK AVENUE,EVERGREEN AVENUE,BUSHWICK AVENUE,EVERGREEN AVENUE,ADDRESS,BROOKLYN,PALMETTO STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T12:14:40.000,04 BROOKLYN,BROOKLYN,1006668,191125,PHONE,Unspecified,BROOKLYN,40.69124235500693,-73.91916116652513,"{'latitude': '40.69124235500693', 'longitude': '-73.91916116652513', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3033490018,,,,,,,,
58948710,2023-09-28T09:55:31.000,2023-09-28T10:59:43.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10472,1142 ROSEDALE AVENUE,ROSEDALE AVENUE,WATSON AVENUE,GLEASON AVENUE,WATSON AVENUE,GLEASON AVENUE,ADDRESS,BRONX,ROSEDALE AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T10:59:48.000,09 BRONX,BRONX,1020647,241179,ONLINE,Unspecified,BRONX,40.8285811224318,-73.86848225803878,"{'latitude': '40.8285811224318', 'longitude': '-73.86848225803878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2037510029,,,,,,,,
58954785,2023-09-28T09:55:25.000,2023-09-29T00:00:00.000,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,,10465,816 QUINCY AVENUE,QUINCY AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Buildings reviewed this complaint and referred it to the Department of Transportation for further action.,2023-09-29T00:00:00.000,10 BRONX,BRONX,1032235,240651,UNKNOWN,Unspecified,BRONX,40.82707656143887,-73.82661378962904,"{'latitude': '40.82707656143887', 'longitude': '-73.82661378962904', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2055450044,,,,,,,,
