unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,taxi_pick_up_location,facility_type,bridge_highway_name,road_ramp,bridge_highway_segment,bridge_highway_direction,due_date
58953394,2023-09-28T08:18:24.000,2023-09-28T11:13:51.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11436,133-29 143 STREET,143 STREET,133 AVENUE,135 AVENUE,133 AVENUE,135 AVENUE,ADDRESS,JAMAICA,143 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T11:13:55.000,12 QUEENS,QUEENS,1040766,183155,PHONE,Unspecified,QUEENS,40.669214517142876,-73.79627165084129,"{'latitude': '40.669214517142876', 'longitude': '-73.79627165084129', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58949093,2023-09-28T08:17:58.000,2023-10-01T13:39:59.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10460,1553 BRYANT AVENUE,BRYANT AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,03 BRONX,BRONX,1015582,243040,PHONE,Unspecified,BRONX,40.83370844901697,-73.886775529518,"{'latitude': '40.83370844901697', 'longitude': '-73.886775529518', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2029960027,,,,,,,
58950283,2023-09-28T08:17:58.000,2023-10-01T13:39:59.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10460,1553 BRYANT AVENUE,BRYANT AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-01T00:00:00.000,03 BRONX,BRONX,1015582,243040,PHONE,Unspecified,BRONX,40.83370844901697,-73.886775529518,"{'latitude': '40.83370844901697', 'longitude': '-73.886775529518', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2029960027,,,,,,,
59005317,2023-09-28T08:17:51.000,2023-10-18T09:11:45.000,DOT,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,11228,8739 15 AVENUE,15 AVENUE,BENSON AVENUE,BATH AVENUE,BENSON AVENUE,BATH AVENUE,ADDRESS,BROOKLYN,15 AVENUE,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-10-18T09:11:49.000,11 BROOKLYN,BROOKLYN,980825,161034,ONLINE,Unspecified,BROOKLYN,40.60867683035979,-74.01233520119344,"{'latitude': '40.60867683035979', 'longitude': '-74.01233520119344', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3063940018,,,,,,,
58953465,2023-09-28T08:17:48.000,2023-09-28T08:52:52.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10025,CENTRAL PARK WEST,CENTRAL PARK WEST,CENTRAL PARK WEST,WEST   93 STREET,CENTRAL PARK WEST,WEST   93 STREET,INTERSECTION,,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T08:52:57.000,07 MANHATTAN,MANHATTAN,993639,227000,PHONE,Unspecified,MANHATTAN,40.789733703651166,-73.96609338316321,"{'latitude': '40.789733703651166', 'longitude': '-73.96609338316321', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58946051,2023-09-28T08:17:39.000,2023-09-28T09:11:41.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10065,301 EAST   65 STREET,EAST   65 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST   65 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T09:11:45.000,08 MANHATTAN,MANHATTAN,994985,217706,MOBILE,Unspecified,MANHATTAN,40.76422259047361,-73.9612474049411,"{'latitude': '40.76422259047361', 'longitude': '-73.9612474049411', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58953839,2023-09-28T08:17:15.000,2023-10-11T13:03:49.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,10460,867 CROTONA PARK NORTH,CROTONA PARK NORTH,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-11T00:00:00.000,06 BRONX,BRONX,1014819,245148,PHONE,Unspecified,BRONX,40.83949696796321,-73.88952317285097,"{'latitude': '40.83949696796321', 'longitude': '-73.88952317285097', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2029570008,,,,,,,
59003712,2023-09-28T08:17:13.000,2023-10-06T15:13:37.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Park,11215,95 PROSPECT PARK WEST,PROSPECT PARK WEST,4 STREET,5 STREET,4 STREET,5 STREET,ADDRESS,BROOKLYN,PROSPECT PARK WEST,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-10-06T15:13:41.000,55 BROOKLYN,BROOKLYN,991322,182426,MOBILE,Prospect Park,BROOKLYN,40.66739113906443,-73.97450763994523,"{'latitude': '40.66739113906443', 'longitude': '-73.97450763994523', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58946502,2023-09-28T08:17:05.000,2023-10-13T06:38:32.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10459,1036 LONGFELLOW AVENUE,LONGFELLOW AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-13T00:00:00.000,02 BRONX,BRONX,1015335,239611,PHONE,Unspecified,BRONX,40.82429770541475,-73.88768400066274,"{'latitude': '40.82429770541475', 'longitude': '-73.88768400066274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2027560069,,,,,,,
58947204,2023-09-28T08:17:00.000,2023-09-28T08:40:00.000,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11418,107-19 JAMAICA AVENUE,JAMAICA AVENUE,107 ST,108 ST,,,ADDRESS,RICHMOND HILL,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-28T08:40:00.000,09 QUEENS,QUEENS,1028675,192710,PHONE,Unspecified,QUEENS,40.695509701443086,-73.8397940704882,"{'latitude': '40.695509701443086', 'longitude': '-73.8397940704882', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4092030041,,,,,,,
