unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_company_borough
58948438,2023-09-28T03:44:00.000,2023-10-11T18:30:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),10014,107 BANK STREET,BANK STREET,GREENWICH ST,WASHINGTON ST,ADDRESS,NEW YORK,N/A,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-11T18:30:00.000,02 MANHATTAN,1006350034,MANHATTAN,982286,207558,ONLINE,Unspecified,MANHATTAN,40.73637519198193,-74.00708693853773,"{'latitude': '40.73637519198193', 'longitude': '-74.00708693853773', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58947612,2023-09-28T03:43:42.000,2023-09-28T04:26:13.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,11377,61 STREET,61 STREET,61 STREET,ROOSEVELT AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T04:26:21.000,02 QUEENS,,QUEENS,1011020,210932,ONLINE,Unspecified,QUEENS,40.745595681752405,-73.90338918538406,"{'latitude': '40.745595681752405', 'longitude': '-73.90338918538406', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,61 STREET,ROOSEVELT AVENUE,,,,,,
58954827,2023-09-28T03:42:47.000,2023-09-28T04:03:30.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11218,455 OCEAN PARKWAY,OCEAN PARKWAY,CORTELYOU ROAD,DITMAS AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T04:03:35.000,12 BROOKLYN,3053900074,BROOKLYN,991753,171505,PHONE,Unspecified,BROOKLYN,40.63741502026353,-73.9729661683084,"{'latitude': '40.63741502026353', 'longitude': '-73.9729661683084', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,CORTELYOU ROAD,DITMAS AVENUE,OCEAN PARKWAY,,,,,
58947893,2023-09-28T03:42:46.000,2023-09-28T04:10:55.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,10466,1782 EDENWALD AVENUE,EDENWALD AVENUE,GUNTHER AVENUE,WICKHAM AVENUE,ADDRESS,BRONX,,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-28T04:11:01.000,12 BRONX,,BRONX,1026116,264225,PHONE,Unspecified,BRONX,40.89181113270508,-73.84857653499964,"{'latitude': '40.89181113270508', 'longitude': '-73.84857653499964', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,GUNTHER AVENUE,WICKHAM AVENUE,EDENWALD AVENUE,,,,,
58951237,2023-09-28T03:42:39.000,2023-09-28T05:08:08.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,10457,265 EAST  182 STREET,EAST  182 STREET,RYER AVENUE,VALENTINE AVENUE,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T05:08:13.000,05 BRONX,2031500045,BRONX,1012093,251000,ONLINE,Unspecified,BRONX,40.85556798829767,-73.89935066841451,"{'latitude': '40.85556798829767', 'longitude': '-73.89935066841451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,RYER AVENUE,VALENTINE AVENUE,EAST  182 STREET,,,,,
58953765,2023-09-28T03:41:41.000,2023-09-28T04:04:56.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,10455,725 FOX STREET,FOX STREET,LEGGETT AVENUE,EAST  156 STREET,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T04:05:00.000,02 BRONX,,BRONX,1012194,236177,MOBILE,Unspecified,BRONX,40.81488284466251,-73.89904731806112,"{'latitude': '40.81488284466251', 'longitude': '-73.89904731806112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,LEGGETT AVENUE,EAST  156 STREET,FOX STREET,,,,,
58951678,2023-09-28T03:41:30.000,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Passenger,10018,30 WEST   39 STREET,WEST   39 STREET,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-10-19T14:35:46.000,05 MANHATTAN,1008400030,MANHATTAN,988844,213270,MOBILE,Unspecified,MANHATTAN,40.75205222828621,-73.98341901336022,"{'latitude': '40.75205222828621', 'longitude': '-73.98341901336022', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,5 AVENUE,AVENUE OF THE AMERICAS,WEST   39 STREET,"30 WEST   39 STREET, MANHATTAN (NEW YORK), NY, 10018",,,,
58955395,2023-09-28T03:41:10.000,2023-09-28T03:41:10.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,10029,1850 THIRD AVENUE,THIRD AVENUE,EAST 102 STREET,PEDESTRIAN PATH,ADDRESS,NEW YORK,,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-28T03:41:10.000,11 MANHATTAN,1016300033,MANHATTAN,999058,226756,MOBILE,Unspecified,MANHATTAN,40.78905657062917,-73.94652422044474,"{'latitude': '40.78905657062917', 'longitude': '-73.94652422044474', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Catch Basin/Sewer,EAST  102 STREET,PEDESTRIAN PATH,3 AVENUE,,,,,
58952172,2023-09-28T03:41:00.000,2023-09-28T05:20:31.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11215,689 6 AVENUE,6 AVENUE,19 STREET,20 STREET,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T05:20:33.000,07 BROOKLYN,,BROOKLYN,986874,179971,MOBILE,Unspecified,BROOKLYN,40.660655143628304,-73.99054225150822,"{'latitude': '40.660655143628304', 'longitude': '-73.99054225150822', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,19 STREET,20 STREET,6 AVENUE,,,,,
58947434,2023-09-28T03:40:25.000,2023-09-28T04:42:36.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,11433,168-59 92 ROAD,92 ROAD,168 PLACE,170 STREET,ADDRESS,JAMAICA,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T04:42:42.000,12 QUEENS,,QUEENS,1042285,196514,PHONE,Unspecified,QUEENS,40.705871975985005,-73.7906809218659,"{'latitude': '40.705871975985005', 'longitude': '-73.7906809218659', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,168 PLACE,170 STREET,92 ROAD,,,,,
58952456,2023-09-28T03:39:59.000,2023-09-28T04:01:46.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,11220,834 62 STREET,62 STREET,8 AVENUE,9 AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T04:01:53.000,10 BROOKLYN,,BROOKLYN,981506,170198,ONLINE,Unspecified,BROOKLYN,40.63383033611589,-74.00988629194552,"{'latitude': '40.63383033611589', 'longitude': '-74.00988629194552', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,8 AVENUE,9 AVENUE,62 STREET,,,,,
58952296,2023-09-28T03:39:53.000,2023-10-30T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11209,125 92 STREET,92 STREET,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-30T00:00:00.000,10 BROOKLYN,3060840069,BROOKLYN,973913,165303,UNKNOWN,Unspecified,BROOKLYN,40.620388984871056,-74.03723543122226,"{'latitude': '40.620388984871056', 'longitude': '-74.03723543122226', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58950641,2023-09-28T03:37:00.000,2023-09-28T04:00:56.000,NYPD,New York City Police Department,Encampment,N/A,,,,,,,,,Closed,The Police Department visited the location and no Encampment was found.,2023-09-28T04:01:00.000,Unspecified MANHATTAN,,MANHATTAN,984886,203169,MOBILE,Unspecified,MANHATTAN,40.72432865638317,-73.99770545918592,"{'latitude': '40.72432865638317', 'longitude': '-73.99770545918592', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Subway,,,,,R,R W Uptown & Queens,Platform,
58948405,2023-09-28T03:36:52.000,2023-09-28T04:49:07.000,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,11220,6020 5 AVENUE,5 AVENUE,60 STREET,61 STREET,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T04:49:12.000,07 BROOKLYN,,BROOKLYN,979712,172197,MOBILE,Unspecified,BROOKLYN,40.639316427792096,-74.01635119587836,"{'latitude': '40.639316427792096', 'longitude': '-74.01635119587836', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,60 STREET,61 STREET,5 AVENUE,,,,,
58951906,2023-09-28T03:36:24.000,,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Tow Truck Company,10473,1998 BRUCKNER BOULEVARD,BRUCKNER BOULEVARD,BRUCKNER EP EB EN WHITE PLAINS,PUGSLEY AVENUE PEDESTRIAN OVPS,ADDRESS,BRONX,,In Progress,,,09 BRONX,2036730001,BRONX,1023877,240227,ONLINE,Unspecified,BRONX,40.82595425638907,-73.85681654588639,"{'latitude': '40.82595425638907', 'longitude': '-73.85681654588639', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Business,BRUCKNER EP EB EN WHITE PLAINS,PUGSLEY AVENUE PEDESTRIAN OVPS,BRUCKNER BOULEVARD,,,,,
58949826,2023-09-28T03:36:14.000,2023-09-28T03:58:11.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,10452,54 FEATHERBED LANE,FEATHERBED LANE,INWOOD AVENUE,BEND,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T03:58:15.000,05 BRONX,2028650103,BRONX,1007462,247388,ONLINE,Unspecified,BRONX,40.84566751269749,-73.91610370963573,"{'latitude': '40.84566751269749', 'longitude': '-73.91610370963573', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,INWOOD AVENUE,BEND,FEATHERBED LANE,,,,,
58946532,2023-09-28T03:35:46.000,2023-10-10T09:38:08.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,10029,1265 PARK AVENUE,PARK AVENUE,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-10T00:00:00.000,11 MANHATTAN,1016250071,MANHATTAN,997615,226246,ONLINE,Unspecified,MANHATTAN,40.78765905760488,-73.95173630579889,"{'latitude': '40.78765905760488', 'longitude': '-73.95173630579889', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58946200,2023-09-28T03:34:29.000,2023-09-28T04:00:06.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,10472,1284 FTELEY AVENUE,FTELEY AVENUE,WESTCHESTER AVENUE,EAST  172 STREET,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T04:00:16.000,09 BRONX,,BRONX,1019649,242278,ONLINE,Unspecified,BRONX,40.831601615572374,-73.8720826495554,"{'latitude': '40.831601615572374', 'longitude': '-73.8720826495554', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,WESTCHESTER AVENUE,EAST  172 STREET,FTELEY AVENUE,,,,,
58953562,2023-09-28T03:34:10.000,2023-09-28T05:50:40.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11223,274 AVENUE W,AVENUE W,MCDONALD AVENUE,STRYKER STREET,ADDRESS,BROOKLYN,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T05:50:44.000,15 BROOKLYN,3071730009,BROOKLYN,991734,155101,PHONE,Unspecified,BROOKLYN,40.592389450703614,-73.97305280879024,"{'latitude': '40.592389450703614', 'longitude': '-73.97305280879024', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,MCDONALD AVENUE,STRYKER STREET,AVENUE W,,,,,
58955727,2023-09-28T03:34:06.000,2023-10-25T12:48:19.000,DSNY,Department of Sanitation,Dirty Condition,Dirt or Gravel,10466,EDENWALD AVENUE,EDENWALD AVENUE,EDENWALD AVENUE,WICKHAM AVENUE,INTERSECTION,,,Closed,The Department of Sanitation cleaned the location.,2023-10-05T12:28:37.000,12 BRONX,,BRONX,1026256,264269,PHONE,Unspecified,BRONX,40.89193123324606,-73.84806989958126,"{'latitude': '40.89193123324606', 'longitude': '-73.84806989958126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,EDENWALD AVENUE,WICKHAM AVENUE,,,,,,
58952899,2023-09-28T03:33:18.000,2023-09-28T03:33:18.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,10040,566 WEST  190 STREET,WEST  190 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-28T03:33:18.000,12 MANHATTAN,1021580070,MANHATTAN,1003913,250637,PHONE,Unspecified,MANHATTAN,40.85459366944698,-73.92892150279852,"{'latitude': '40.85459366944698', 'longitude': '-73.92892150279852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3+ Family Apt. Building,AUDUBON AVENUE,ST NICHOLAS AVENUE,WEST  190 STREET,,,,,
58948651,2023-09-28T03:32:32.000,2023-09-28T03:47:17.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,10034,11 SEAMAN AVENUE,SEAMAN AVENUE,DYCKMAN STREET,CUMMING STREET,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T03:47:24.000,12 MANHATTAN,,MANHATTAN,1004292,254996,PHONE,Unspecified,MANHATTAN,40.86655695619762,-73.92753844657459,"{'latitude': '40.86655695619762', 'longitude': '-73.92753844657459', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,DYCKMAN STREET,CUMMING STREET,SEAMAN AVENUE,,,,,
