unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,taxi_company_borough,road_ramp
58945543,2023-09-27T22:59:12.000,2023-09-28T02:29:43.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11214,2402 BENSON AVENUE,BENSON AVENUE,24 AVENUE,BAY   37 STREET,24 AVENUE,BAY   37 STREET,ADDRESS,BROOKLYN,BENSON AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T02:29:52.000,11 BROOKLYN,BROOKLYN,986745,156945,MOBILE,Unspecified,BROOKLYN,40.59745366800824,-73.99101572148616,"{'latitude': '40.59745366800824', 'longitude': '-73.99101572148616', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58943779,2023-09-27T22:59:09.000,2023-09-27T23:35:19.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10473,2280 RANDALL AVENUE,RANDALL AVENUE,CASTLE HILL AVENUE,HAVEMEYER AVENUE,CASTLE HILL AVENUE,HAVEMEYER AVENUE,ADDRESS,BRONX,RANDALL AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T23:35:23.000,09 BRONX,BRONX,1026993,237822,ONLINE,Unspecified,BRONX,40.819338693269565,-73.84557290696154,"{'latitude': '40.819338693269565', 'longitude': '-73.84557290696154', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58943601,2023-09-27T22:59:04.000,2023-09-28T01:15:13.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11419,103-19 111 STREET,111 STREET,103 AVENUE,LIBERTY AVENUE,103 AVENUE,LIBERTY AVENUE,ADDRESS,SOUTH RICHMOND HILL,111 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T01:15:17.000,10 QUEENS,QUEENS,1030970,189137,PHONE,Unspecified,QUEENS,40.68569083958952,-73.83154261482215,"{'latitude': '40.68569083958952', 'longitude': '-73.83154261482215', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4095160039,,,,,,,
58943374,2023-09-27T22:59:00.000,2023-09-28T18:16:00.000,DEP,Department of Environmental Protection,Noise,Noise: Private Carting Noise (NQ1),,10471,5683 RIVERDALE AVENUE,RIVERDALE AVENUE,W 258 ST,W 259 ST,,,ADDRESS,BRONX,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-28T18:16:00.000,08 BRONX,BRONX,1010726,269537,ONLINE,Unspecified,BRONX,40.90645046001479,-73.9042189469935,"{'latitude': '40.90645046001479', 'longitude': '-73.9042189469935', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2059530001,N/A,,,,,,
58935747,2023-09-27T22:59:00.000,2023-09-28T17:55:00.000,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10005,20 EXCHANGE PLACE,EXCHANGE PLACE,HANOVER ST,WILLIAM ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-28T17:55:00.000,01 MANHATTAN,MANHATTAN,981650,196358,ONLINE,Unspecified,MANHATTAN,40.70563373044699,-74.0093775676958,"{'latitude': '40.70563373044699', 'longitude': '-74.0093775676958', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1000277502,N/A,,,,,,
58942092,2023-09-27T22:59:00.000,,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,10035,158 EAST  126 STREET,EAST  126 STREET,LEXINGTON AVE,3 AVE,,,ADDRESS,NEW YORK,,Open,,,11 MANHATTAN,MANHATTAN,1001881,232486,ONLINE,Unspecified,MANHATTAN,40.804778678441465,-73.93631454667114,"{'latitude': '40.804778678441465', 'longitude': '-73.93631454667114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1017747501,N/A,,,,,,
58942130,2023-09-27T22:59:00.000,2023-09-28T17:55:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10005,63 WALL STREET,WALL STREET,HANOVER ST,PEARL ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-28T17:55:00.000,01 MANHATTAN,MANHATTAN,981791,196409,ONLINE,Unspecified,MANHATTAN,40.70577375373337,-74.00886903361369,"{'latitude': '40.70577375373337', 'longitude': '-74.00886903361369', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1000270009,N/A,,,,,,
58938199,2023-09-27T22:59:00.000,2023-09-28T10:56:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10009,44 AVENUE B,AVENUE B,E 3 ST,E 4 ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-28T10:56:00.000,03 MANHATTAN,MANHATTAN,989020,202658,ONLINE,Unspecified,MANHATTAN,40.72292482199624,-73.98279130628568,"{'latitude': '40.72292482199624', 'longitude': '-73.98279130628568', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1003990035,N/A,,,,,,
58936100,2023-09-27T22:58:53.000,2023-09-28T00:04:18.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10033,791 WEST  180 STREET,WEST  180 STREET,FORT WASHINGTON AVENUE,PINEHURST AVENUE,FORT WASHINGTON AVENUE,PINEHURST AVENUE,ADDRESS,NEW YORK,WEST  180 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T00:04:20.000,12 MANHATTAN,MANHATTAN,1001182,248973,MOBILE,Unspecified,MANHATTAN,40.850032144614715,-73.93879781584069,"{'latitude': '40.850032144614715', 'longitude': '-73.93879781584069', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58937500,2023-09-27T22:58:53.000,2023-09-28T20:26:57.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10473,825 MORRISON AVENUE,MORRISON AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-28T00:00:00.000,09 BRONX,BRONX,1019498,238357,MOBILE,Unspecified,BRONX,40.820840202441815,-73.87264889941089,"{'latitude': '40.820840202441815', 'longitude': '-73.87264889941089', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2036270030,,,,,,,
