unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location,due_date
58974572,2023-09-30T18:44:37.000,2023-09-30T22:44:34.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11214,2301 81 STREET,81 STREET,23 AVENUE,24 AVENUE,23 AVENUE,24 AVENUE,ADDRESS,BROOKLYN,81 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-30T22:44:36.000,11 BROOKLYN,3068480001,BROOKLYN,987486,159050,MOBILE,Unspecified,BROOKLYN,40.60323122665682,-73.98834643640845,"{'latitude': '40.60323122665682', 'longitude': '-73.98834643640845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
59453969,2023-09-30T18:44:23.000,2023-10-03T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Building-Wide,11221,441 WILSON AVENUE,WILSON AVENUE,MADISON STREET,PUTNAM AVENUE,MADISON STREET,PUTNAM AVENUE,ADDRESS,BROOKLYN,WILSON AVENUE,Closed,,2023-10-03T00:00:00.000,04 BROOKLYN,3033700003,BROOKLYN,1008212,192060,ONLINE,Unspecified,BROOKLYN,40.693804667081345,-73.91359021281768,"{'latitude': '40.693804667081345', 'longitude': '-73.91359021281768', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58969896,2023-09-30T18:44:15.000,2023-09-30T18:50:17.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10032,75 FORT WASHINGTON AVENUE,FORT WASHINGTON AVENUE,WEST  161 STREET,WEST  162 STREET,WEST  161 STREET,WEST  162 STREET,ADDRESS,NEW YORK,FORT WASHINGTON AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T18:50:20.000,12 MANHATTAN,1021360140,MANHATTAN,999706,244405,ONLINE,Unspecified,MANHATTAN,40.83749703232736,-73.94414347302468,"{'latitude': '40.83749703232736', 'longitude': '-73.94414347302468', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
59436183,2023-09-30T18:44:03.000,2023-09-30T20:05:00.000,DEP,Department of Environmental Protection,Water Maintenance,Water in Basement,N/A,11232,184 32 STREET,32 STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,32 STREET,Closed,,2023-09-30T20:05:00.000,07 BROOKLYN,3006810115,BROOKLYN,983893,178294,ONLINE,Unspecified,BROOKLYN,40.65605252873038,-74.00128665520519,"{'latitude': '40.65605252873038', 'longitude': '-74.00128665520519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58973299,2023-09-30T18:44:02.000,2023-09-30T20:51:55.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10467,636 ROSEWOOD STREET,ROSEWOOD STREET,BRONX BOULEVARD,BARKER AVENUE,BRONX BOULEVARD,BARKER AVENUE,ADDRESS,BRONX,ROSEWOOD STREET,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-30T20:51:58.000,12 BRONX,2045930016,BRONX,1020248,257458,ONLINE,Unspecified,BRONX,40.873263738503276,-73.86983660483337,"{'latitude': '40.873263738503276', 'longitude': '-73.86983660483337', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58977030,2023-09-30T18:44:00.000,2023-09-30T20:30:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11354,,,,,ROOSEVELT AVENUE,UNION STREET,INTERSECTION,QUEENS,,Closed,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",2023-09-30T20:30:00.000,07 QUEENS,,QUEENS,1032303,216382,UNKNOWN,Unspecified,QUEENS,40.7604644825167,-73.82654172911285,"{'latitude': '40.7604644825167', 'longitude': '-73.82654172911285', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58977676,2023-09-30T18:43:40.000,2023-10-04T14:15:00.000,DOHMH,Department of Health and Mental Hygiene,Asbestos,N/A,School,11208,203 FORBELL STREET,FORBELL STREET,LIBERTY AVENUE,GLENMORE AVENUE,LIBERTY AVENUE,GLENMORE AVENUE,ADDRESS,BROOKLYN,FORBELL STREET,Closed,The Department of Health and Mental Hygiene has investigated the complaint and no violations were cited.,2023-10-04T14:15:00.000,05 BROOKLYN,3042060006,BROOKLYN,1021972,186386,ONLINE,Unspecified,BROOKLYN,40.678182901168846,-73.86400186807866,"{'latitude': '40.678182901168846', 'longitude': '-73.86400186807866', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58977256,2023-09-30T18:43:38.000,2023-09-30T19:16:43.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10040,570 WEST  190 STREET,WEST  190 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  190 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T19:16:47.000,12 MANHATTAN,1021580067,MANHATTAN,1003895,250647,ONLINE,Unspecified,MANHATTAN,40.85462115652687,-73.9289865404921,"{'latitude': '40.85462115652687', 'longitude': '-73.9289865404921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58974771,2023-09-30T18:43:36.000,2023-09-30T19:34:40.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11412,116 ROAD,116 ROAD,116 ROAD,193 STREET,116 ROAD,193 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-30T19:34:42.000,12 QUEENS,,QUEENS,1051082,192072,ONLINE,Unspecified,QUEENS,40.69361769919442,-73.75899636708813,"{'latitude': '40.69361769919442', 'longitude': '-73.75899636708813', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58971340,2023-09-30T18:43:32.000,2023-09-30T19:13:18.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11377,47-27 47 STREET,47 STREET,47 AVENUE,48 AVENUE,47 AVENUE,48 AVENUE,ADDRESS,WOODSIDE,47 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T19:13:22.000,02 QUEENS,,QUEENS,1006894,209045,ONLINE,Unspecified,QUEENS,40.74042786758514,-73.91828593657816,"{'latitude': '40.74042786758514', 'longitude': '-73.91828593657816', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
