unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,vehicle_type,taxi_company_borough,taxi_pick_up_location,facility_type,bridge_highway_name,road_ramp,bridge_highway_segment,bridge_highway_direction,due_date
58944776,2023-09-27T20:24:39.000,2023-09-27T20:40:04.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10027,23 MOUNT MORRIS PARK WEST,MOUNT MORRIS PARK WEST,WEST  122 STREET,WEST  123 STREET,WEST  122 STREET,WEST  123 STREET,ADDRESS,NEW YORK,MOUNT MORRIS PARK WEST,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T20:40:10.000,10 MANHATTAN,MANHATTAN,999449,232690,ONLINE,Unspecified,MANHATTAN,40.805343120487976,-73.94509878103747,"{'latitude': '40.805343120487976', 'longitude': '-73.94509878103747', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58945663,2023-09-27T20:24:22.000,2023-09-27T20:28:16.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,10016,25 EAST   29 STREET,EAST   29 STREET,MADISON AVENUE,PARK AVENUE SOUTH,MADISON AVENUE,PARK AVENUE SOUTH,ADDRESS,NEW YORK,EAST   29 STREET,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-27T20:28:20.000,05 MANHATTAN,MANHATTAN,988421,210523,ONLINE,Unspecified,MANHATTAN,40.744512614321316,-73.98494743828199,"{'latitude': '40.744512614321316', 'longitude': '-73.98494743828199', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58944367,2023-09-27T20:24:22.000,2023-09-29T01:04:02.000,DHS,Department of Homeless Services,Encampment,N/A,Street/Sidewalk,10016,25 EAST   29 STREET,EAST   29 STREET,MADISON AVENUE,PARK AVENUE SOUTH,MADISON AVENUE,PARK AVENUE SOUTH,ADDRESS,NEW YORK,EAST   29 STREET,Closed,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,2023-09-29T01:04:11.000,05 MANHATTAN,MANHATTAN,988421,210523,ONLINE,Unspecified,MANHATTAN,40.744512614321316,-73.98494743828199,"{'latitude': '40.744512614321316', 'longitude': '-73.98494743828199', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58938584,2023-09-27T20:24:07.000,2023-09-27T20:56:53.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11223,1755 OCEAN PARKWAY,OCEAN PARKWAY,QUENTIN ROAD,KINGS HIGHWAY,QUENTIN ROAD,KINGS HIGHWAY,ADDRESS,BROOKLYN,OCEAN PARKWAY,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T20:56:58.000,15 BROOKLYN,BROOKLYN,993414,160028,ONLINE,Unspecified,BROOKLYN,40.60591148974752,-73.96699704996605,"{'latitude': '40.60591148974752', 'longitude': '-73.96699704996605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58939182,2023-09-27T20:23:55.000,2023-10-05T12:40:03.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,10128,1551 3 AVENUE,3 AVENUE,EAST   87 STREET,EAST   88 STREET,EAST   87 STREET,EAST   88 STREET,ADDRESS,NEW YORK,3 AVENUE,Closed,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-10-05T12:40:06.000,08 MANHATTAN,MANHATTAN,997162,223323,PHONE,Unspecified,MANHATTAN,40.779636874843874,-73.95337779730829,"{'latitude': '40.779636874843874', 'longitude': '-73.95337779730829', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58939898,2023-09-27T20:23:48.000,2023-09-27T20:50:42.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11226,460 EAST   21 STREET,EAST   21 STREET,CORTELYOU ROAD,DORCHESTER ROAD,CORTELYOU ROAD,DORCHESTER ROAD,ADDRESS,BROOKLYN,EAST   21 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T20:50:45.000,14 BROOKLYN,BROOKLYN,995737,173521,ONLINE,Unspecified,BROOKLYN,40.64294423726366,-73.95860810820945,"{'latitude': '40.64294423726366', 'longitude': '-73.95860810820945', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3051630019,,,,,,,,,
58936060,2023-09-27T20:23:27.000,2023-09-27T22:34:37.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11420,133-34 123 STREET,123 STREET,133 AVENUE,135 AVENUE,133 AVENUE,135 AVENUE,ADDRESS,SOUTH OZONE PARK,123 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T22:34:42.000,10 QUEENS,QUEENS,1035340,183873,ONLINE,Unspecified,QUEENS,40.671218237112164,-73.81582574248351,"{'latitude': '40.671218237112164', 'longitude': '-73.81582574248351', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4117440056,,,,,,,,,
58941288,2023-09-27T20:23:23.000,2023-09-27T21:16:23.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10033,701 WEST  180 STREET,WEST  180 STREET,BROADWAY,FORT WASHINGTON AVENUE,BROADWAY,FORT WASHINGTON AVENUE,ADDRESS,NEW YORK,WEST  180 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T21:16:27.000,12 MANHATTAN,MANHATTAN,1001753,248823,ONLINE,Unspecified,MANHATTAN,40.849619325642685,-73.93673427905506,"{'latitude': '40.849619325642685', 'longitude': '-73.93673427905506', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1021760138,,,,,,,,,
58944936,2023-09-27T20:23:13.000,2023-09-27T20:42:45.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11232,176 34 STREET,34 STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,34 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T20:42:50.000,07 BROOKLYN,BROOKLYN,983230,178155,ONLINE,Unspecified,BROOKLYN,40.65567095261346,-74.00367613670348,"{'latitude': '40.65567095261346', 'longitude': '-74.00367613670348', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58942337,2023-09-27T20:23:07.000,2023-09-28T01:45:33.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10451,813 COURTLANDT AVENUE,COURTLANDT AVENUE,EAST  158 STREET,EAST  159 STREET,EAST  158 STREET,EAST  159 STREET,ADDRESS,BRONX,COURTLANDT AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T01:45:37.000,01 BRONX,BRONX,1007385,239178,MOBILE,Unspecified,BRONX,40.8231336440229,-73.9164103306419,"{'latitude': '40.8231336440229', 'longitude': '-73.9164103306419', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2024180020,,,,,,,,,
