unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,status,resolution_description,resolution_action_updated_date,community_board,borough,open_data_channel_type,park_facility_name,park_borough,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,x_coordinate_state_plane,y_coordinate_state_plane,latitude,longitude,location,bbl,facility_type,taxi_pick_up_location,vehicle_type,taxi_company_borough,due_date
58937835,2023-09-27T18:00:39.000,2023-09-29T07:49:23.000,DOT,Department of Transportation,Highway Condition,Pothole - Highway,Highway,Closed,"Upon inspection, the reported condition was not found, therefore no action was taken.",2023-09-29T07:49:26.000,Unspecified QUEENS,QUEENS,PHONE,Unspecified,QUEENS,Van Wyck Expwy,South/JFK Airport Bound,Ramp,JFK International Airport,,,,,,,,,,,,,,,,,,,,,
58936055,2023-09-27T18:00:35.000,2023-09-27T19:42:53.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-27T19:42:59.000,04 BROOKLYN,BROOKLYN,ONLINE,Unspecified,BROOKLYN,,,,,11221,1118 MADISON STREET,MADISON STREET,EVERGREEN AVENUE,CENTRAL AVENUE,EVERGREEN AVENUE,CENTRAL AVENUE,ADDRESS,BROOKLYN,MADISON STREET,1007528,191409,40.692019648950144,-73.91605904524,"{'latitude': '40.692019648950144', 'longitude': '-73.91605904524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58945567,2023-09-27T18:00:31.000,,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Smoke/Odor,Mobile Food Vendor,In Progress,The Department of Health and Mental Hygiene has received and processed your complaint. All restaurants and mobile food vendors are inspected annually. Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,2023-09-29T10:05:20.000,04 BROOKLYN,BROOKLYN,ONLINE,Unspecified,BROOKLYN,,,,,11237,1545 MYRTLE AVENUE,MYRTLE AVENUE,LINDEN STREET,GATES AVENUE,LINDEN STREET,GATES AVENUE,ADDRESS,BROOKLYN,MYRTLE AVENUE,1008259,194072,40.699327009277525,-73.91341355362138,"{'latitude': '40.699327009277525', 'longitude': '-73.91341355362138', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58936881,2023-09-27T18:00:27.000,2023-09-28T20:33:48.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Sidewalk,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-28T20:33:53.000,14 BROOKLYN,BROOKLYN,MOBILE,Unspecified,BROOKLYN,,,,,11226,200 EAST   17 STREET,EAST   17 STREET,ALBEMARLE ROAD,BEVERLEY ROAD,ALBEMARLE ROAD,BEVERLEY ROAD,ADDRESS,BROOKLYN,EAST   17 STREET,994408,174598,40.64590199400642,-73.96339536240274,"{'latitude': '40.64590199400642', 'longitude': '-73.96339536240274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58943511,2023-09-27T18:00:13.000,2023-09-27T18:17:47.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-27T18:17:52.000,03 MANHATTAN,MANHATTAN,MOBILE,Unspecified,MANHATTAN,,,,,10002,250 EAST HOUSTON STREET,EAST HOUSTON STREET,NORFOLK STREET,SUFFOLK STREET,NORFOLK STREET,SUFFOLK STREET,ADDRESS,NEW YORK,EAST HOUSTON STREET,988319,202298,40.721937059265606,-73.98532051639553,"{'latitude': '40.721937059265606', 'longitude': '-73.98532051639553', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58937542,2023-09-27T18:00:09.000,2023-09-28T20:26:55.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-28T00:00:00.000,09 BRONX,BRONX,PHONE,Unspecified,BRONX,,,,,10473,715 SOUNDVIEW AVENUE,SOUNDVIEW AVENUE,,,,,ADDRESS,BRONX,,1021708,238046,40.819977501089944,-73.86466591292151,"{'latitude': '40.819977501089944', 'longitude': '-73.86466591292151', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2035960035,,,,,
58943957,2023-09-27T18:00:09.000,2023-09-28T20:26:55.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,09 BRONX,BRONX,PHONE,Unspecified,BRONX,,,,,10473,715 SOUNDVIEW AVENUE,SOUNDVIEW AVENUE,,,,,ADDRESS,BRONX,,1021708,238046,40.819977501089944,-73.86466591292151,"{'latitude': '40.819977501089944', 'longitude': '-73.86466591292151', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2035960035,,,,,
58937226,2023-09-27T18:00:06.000,2023-09-27T19:03:11.000,NYPD,New York City Police Department,Drinking,In Public,Store/Commercial,Closed,The Police Department made an arrest in response to the complaint.,2023-09-27T19:03:18.000,02 STATEN ISLAND,STATEN ISLAND,ONLINE,Unspecified,STATEN ISLAND,,,,,10306,358 NEW DORP LANE,NEW DORP LANE,CLAWSON STREET,HYLAN BOULEVARD,CLAWSON STREET,HYLAN BOULEVARD,ADDRESS,STATEN ISLAND,NEW DORP LANE,953535,147286,40.57088877902931,-74.11055809355507,"{'latitude': '40.57088877902931', 'longitude': '-74.11055809355507', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5042210058,,,,,
58941976,2023-09-27T18:00:03.000,2023-10-25T14:03:11.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Inadequate Sweeping,Street,Closed,The Department of Sanitation cleaned the location.,2023-10-02T13:06:45.000,Unspecified BRONX,BRONX,PHONE,Unspecified,BRONX,,,,,10468,CEDAR AVENUE,CEDAR AVENUE,WEST FORDHAM ROAD,LANDING ROAD,WEST FORDHAM ROAD,LANDING ROAD,BLOCKFACE,,,,,,,,,,,,,
58944396,2023-09-27T17:59:54.000,2023-10-03T05:07:27.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-10-03T05:07:34.000,01 BROOKLYN,BROOKLYN,MOBILE,Unspecified,BROOKLYN,,,,,11222,26 BROOME STREET,BROOME STREET,MCGUINNESS BLVD SOUTH,HUMBOLDT STREET,MCGUINNESS BLVD SOUTH,HUMBOLDT STREET,ADDRESS,BROOKLYN,BROOME STREET,999170,202410,40.72223282609257,-73.9461737822262,"{'latitude': '40.72223282609257', 'longitude': '-73.9461737822262', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3027010020,,,,,
