unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,facility_type,due_date,vehicle_type
58942333,2023-09-27T15:57:22.000,2023-09-27T18:52:09.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11210,1557 EAST   23 STREET,EAST   23 STREET,AVENUE O,KINGS HIGHWAY,AVENUE O,KINGS HIGHWAY,ADDRESS,BROOKLYN,EAST   23 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T18:52:13.000,14 BROOKLYN,3067700075,BROOKLYN,997864,162495,PHONE,Unspecified,BROOKLYN,40.6126771783895,-73.95096598523156,"{'latitude': '40.6126771783895', 'longitude': '-73.95096598523156', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58938849,2023-09-27T15:57:19.000,2023-10-02T11:42:52.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,11210,1408 NEW YORK AVENUE,NEW YORK AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,17 BROOKLYN,3049950030,BROOKLYN,999423,171827,PHONE,Unspecified,BROOKLYN,40.63828902338627,-73.94532990526294,"{'latitude': '40.63828902338627', 'longitude': '-73.94532990526294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58936459,2023-09-27T15:57:17.000,2023-09-28T04:13:46.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11365,69-38 184 STREET,184 STREET,69 AVENUE,73 AVENUE,69 AVENUE,73 AVENUE,ADDRESS,FRESH MEADOWS,184 STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-28T04:13:51.000,08 QUEENS,,QUEENS,1043160,206734,PHONE,Unspecified,QUEENS,40.73391754956033,-73.78743555999051,"{'latitude': '40.73391754956033', 'longitude': '-73.78743555999051', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58942843,2023-09-27T15:57:14.000,2023-09-27T17:09:07.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10302,57 ORANGE AVENUE,ORANGE AVENUE,SEYMOUR AVENUE,RILEY PLACE,SEYMOUR AVENUE,RILEY PLACE,ADDRESS,STATEN ISLAND,ORANGE AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-27T17:09:15.000,01 STATEN ISLAND,,STATEN ISLAND,945197,168033,PHONE,Unspecified,STATEN ISLAND,40.627802212524905,-74.14069047091431,"{'latitude': '40.627802212524905', 'longitude': '-74.14069047091431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58937201,2023-09-27T15:57:11.000,2023-09-28T00:01:45.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11379,66-67 70 STREET,70 STREET,66 DRIVE,METROPOLITAN AVENUE,66 DRIVE,METROPOLITAN AVENUE,ADDRESS,MIDDLE VILLAGE,70 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T00:01:48.000,05 QUEENS,,QUEENS,1016094,199011,PHONE,Unspecified,QUEENS,40.712858662272396,-73.8851339542109,"{'latitude': '40.712858662272396', 'longitude': '-73.8851339542109', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58940383,2023-09-27T15:57:08.000,2023-10-11T12:52:30.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,Street,11370,25-35 75 STREET,75 STREET,25 AVENUE,30 AVENUE,25 AVENUE,30 AVENUE,ADDRESS,EAST ELMHURST,75 STREET,Closed,"Under NYC Parksâ Tree Risk Management Program, work is prioritized to address the conditions with the highest risk first.  NYC Parks determined that the issue will be addressed in the next pruning cycle through the routine block pruning program.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-11T12:52:33.000,03 QUEENS,,QUEENS,1013843,216938,PHONE,Unspecified,QUEENS,40.76207161859852,-73.89317477810923,"{'latitude': '40.76207161859852', 'longitude': '-73.89317477810923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58937562,2023-09-27T15:56:59.000,2023-10-02T11:42:52.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11210,1408 NEW YORK AVENUE,NEW YORK AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,17 BROOKLYN,3049950030,BROOKLYN,999423,171827,PHONE,Unspecified,BROOKLYN,40.63828902338627,-73.94532990526294,"{'latitude': '40.63828902338627', 'longitude': '-73.94532990526294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58936324,2023-09-27T15:56:56.000,2023-10-10T13:35:37.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10452,900 OGDEN AVENUE,OGDEN AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-10T00:00:00.000,04 BRONX,2025110013,BRONX,1003433,241895,PHONE,Unspecified,BRONX,40.83060049895683,-73.93068162952528,"{'latitude': '40.83060049895683', 'longitude': '-73.93068162952528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58937371,2023-09-27T15:56:55.000,2023-09-27T16:28:29.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456,1420 CLAY AVENUE,CLAY AVENUE,EAST  170 STREET,EAST  171 STREET,EAST  170 STREET,EAST  171 STREET,ADDRESS,BRONX,CLAY AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T16:28:28.000,04 BRONX,,BRONX,1009792,244407,MOBILE,Unspecified,BRONX,40.83747910996361,-73.90769363386275,"{'latitude': '40.83747910996361', 'longitude': '-73.90769363386275', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58936863,2023-09-27T15:56:51.000,2023-10-28T00:05:31.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Home Improvement Contractor,Business,11232,219 36 STREET,36 STREET,2 AVENUE,3 AVENUE,2 AVENUE,3 AVENUE,ADDRESS,BROOKLYN,36 STREET,Closed,The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.,2023-10-28T00:05:35.000,07 BROOKLYN,3006910001,BROOKLYN,982216,178303,PHONE,Unspecified,BROOKLYN,40.65607700535011,-74.00733069369889,"{'latitude': '40.65607700535011', 'longitude': '-74.00733069369889', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
