unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,facility_type,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
58941997,2023-09-27T14:05:05.000,2023-09-28T13:41:59.000,DSNY,Department of Sanitation,Commercial Disposal Complaint,No Private Carter,Street,10019,333 WEST   52 STREET,WEST   52 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   52 STREET,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-28T13:42:03.000,04 MANHATTAN,MANHATTAN,987931,217693,ONLINE,Unspecified,MANHATTAN,40.764192660050014,-73.98671185522107,"{'latitude': '40.764192660050014', 'longitude': '-73.98671185522107', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58944759,2023-09-27T14:05:03.000,2023-09-27T15:07:52.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11215,452 SEVENTH AVENUE,SEVENTH AVENUE,15 STREET,16 STREET,15 STREET,16 STREET,ADDRESS,BROOKLYN,7 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T15:07:58.000,07 BROOKLYN,BROOKLYN,988453,180821,MOBILE,Unspecified,BROOKLYN,40.662987597155904,-73.98485049276319,"{'latitude': '40.662987597155904', 'longitude': '-73.98485049276319', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3010490048,,,,,,,
58939769,2023-09-27T14:05:03.000,2023-09-27T14:40:43.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11103,42-18 31 AVENUE,31 AVENUE,42 STREET,43 STREET,42 STREET,43 STREET,ADDRESS,ASTORIA,31 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-27T14:40:41.000,01 QUEENS,QUEENS,1007721,216342,PHONE,Unspecified,QUEENS,40.76045412454783,-73.91527612392564,"{'latitude': '40.76045412454783', 'longitude': '-73.91527612392564', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4006920043,,,,,,,
58935752,2023-09-27T14:05:00.000,2023-09-27T14:45:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11357,151-53 21 AVENUE,21 AVENUE,MURRAY ST,154 ST,,,ADDRESS,WHITESTONE,,Closed,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",2023-09-27T14:45:00.000,07 QUEENS,QUEENS,1036409,223386,PHONE,Unspecified,QUEENS,40.779665324384766,-73.81166587144963,"{'latitude': '40.779665324384766', 'longitude': '-73.81166587144963', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4047080050,,,,,,,
58940800,2023-09-27T14:05:00.000,2023-09-28T11:00:00.000,DEP,Department of Environmental Protection,Air Quality,"Air: Dust, Construction/Demolition (AE4)",,11101,40-11 34 AVENUE,34 AVENUE,STEINWAY ST,41 ST,,,ADDRESS,LONG ISLAND CITY,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-28T11:00:00.000,01 QUEENS,QUEENS,1006225,214937,ONLINE,Unspecified,QUEENS,40.75660160528209,-73.92068086316843,"{'latitude': '40.75660160528209', 'longitude': '-73.92068086316843', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4006767501,N/A,,,,,,
58936947,2023-09-27T14:05:00.000,,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10301,29 PARK COURT,PARK COURT,LAKEWOOD RD,DEAD END,,,ADDRESS,STATEN ISLAND,,Started,The Department of Environmental Protection has inspected your complaint and determined that further investigation is required. More information will be available once the condition is resolved. Please visit nyc.gov/311 or call 311 at a later time to check the status of your complaint.,2023-09-28T09:42:00.000,01 STATEN ISLAND,STATEN ISLAND,956034,168031,PHONE,Unspecified,STATEN ISLAND,40.62783786850776,-74.1016496461823,"{'latitude': '40.62783786850776', 'longitude': '-74.1016496461823', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5002540071,N/A,,,,,,
58943362,2023-09-27T14:05:00.000,2023-10-02T20:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10010,120 EAST   22 STREET,EAST   22 STREET,PARK AVE S,LEXINGTON AVE,,,ADDRESS,NEW YORK,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-02T20:00:00.000,06 MANHATTAN,MANHATTAN,988204,208530,ONLINE,Unspecified,MANHATTAN,40.739042425559,-73.98573173277755,"{'latitude': '40.739042425559', 'longitude': '-73.98573173277755', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1008770009,N/A,,,,,,
58936671,2023-09-27T14:04:32.000,2023-09-27T14:46:41.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11205,2 PARK AVENUE,PARK AVENUE,NAVY STREET,MONUMENT WALK,NAVY STREET,MONUMENT WALK,ADDRESS,BROOKLYN,PARK AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-27T14:46:45.000,02 BROOKLYN,BROOKLYN,989818,192917,MOBILE,Unspecified,BROOKLYN,40.69618762099756,-73.97992042327036,"{'latitude': '40.69618762099756', 'longitude': '-73.97992042327036', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58943660,2023-09-27T14:04:22.000,2023-10-18T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11420,114-15 128 STREET,128 STREET,,,,,ADDRESS,SOUTH OZONE PARK,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-18T00:00:00.000,10 QUEENS,QUEENS,1036301,187283,UNKNOWN,Unspecified,QUEENS,40.68057229891367,-73.81233511028648,"{'latitude': '40.68057229891367', 'longitude': '-73.81233511028648', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4116550057,N/A,,,,,,
58937144,2023-09-27T14:04:22.000,2023-09-27T14:04:22.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,,11379,79-41 67 DRIVE,67 DRIVE,,,,,ADDRESS,MIDDLE VILLAGE,,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2023-09-27T00:00:00.000,05 QUEENS,QUEENS,1019589,198657,UNKNOWN,Unspecified,QUEENS,40.71187374807854,-73.8725288443217,"{'latitude': '40.71187374807854', 'longitude': '-73.8725288443217', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4037810047,N/A,,,,,,
58935917,2023-09-27T14:04:22.000,2023-09-28T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,,11237,301 HARMAN STREET,HARMAN STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-09-28T00:00:00.000,04 BROOKLYN,BROOKLYN,1006787,194342,UNKNOWN,Unspecified,BROOKLYN,40.7000719671437,-73.9187212916158,"{'latitude': '40.7000719671437', 'longitude': '-73.9187212916158', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3032790048,,,,,,,
58936838,2023-09-27T14:04:21.000,2023-09-27T14:04:21.000,DOB,Department of Buildings,Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,,11237,203 WYKOFF AVENUE,WYKOFF AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-27T00:00:00.000,04 BROOKLYN,BROOKLYN,1007511,195181,UNKNOWN,Unspecified,BROOKLYN,40.70237295118861,-73.91610732088587,"{'latitude': '40.70237295118861', 'longitude': '-73.91610732088587', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3032910007,,,,,,,
58939347,2023-09-27T14:03:54.000,2023-09-29T20:02:23.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Waste Left in Front of Other Residence,Sidewalk,11237,1465 MYRTLE AVENUE,MYRTLE AVENUE,BLEECKER STREET,MENAHAN STREET,BLEECKER STREET,MENAHAN STREET,ADDRESS,BROOKLYN,MYRTLE AVENUE,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-29T20:02:26.000,04 BROOKLYN,BROOKLYN,1007212,193929,PHONE,Unspecified,BROOKLYN,40.698937286496545,-73.91718995660796,"{'latitude': '40.698937286496545', 'longitude': '-73.91718995660796', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58939026,2023-09-27T14:03:47.000,2023-09-27T14:07:51.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11226,2111 ALBEMARLE ROAD,ALBEMARLE ROAD,EAST   21 STREET,FLATBUSH AVENUE,EAST   21 STREET,FLATBUSH AVENUE,ADDRESS,BROOKLYN,ALBEMARLE ROAD,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-27T14:07:53.000,14 BROOKLYN,BROOKLYN,995634,175151,ONLINE,Unspecified,BROOKLYN,40.64741836830095,-73.9589765044208,"{'latitude': '40.64741836830095', 'longitude': '-73.9589765044208', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58945104,2023-09-27T14:03:44.000,,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11207,1027 HALSEY STREET,HALSEY STREET,,,,,ADDRESS,BROOKLYN,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-27T00:00:00.000,04 BROOKLYN,BROOKLYN,1008189,189692,PHONE,Unspecified,BROOKLYN,40.68730511803119,-73.91368156808785,"{'latitude': '40.68730511803119', 'longitude': '-73.91368156808785', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3034020103,,,,,,,
