unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,taxi_pick_up_location,latitude,longitude,location,closed_date,facility_type,due_date,bridge_highway_name,bridge_highway_segment,bridge_highway_direction
58939260,2023-09-27T12:13:18.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,11205,964 BEDFORD AVENUE,BEDFORD AVENUE,WILLOUGHBY AVENUE,DEKALB AVENUE,WILLOUGHBY AVENUE,DEKALB AVENUE,ADDRESS,BROOKLYN,BEDFORD AVENUE,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-10-12T11:14:53.000,03 BROOKLYN,3019280055,BROOKLYN,996558,191351,ONLINE,Unspecified,BROOKLYN,"964 BEDFORD AVENUE, BROOKLYN, NY, 11205",40.6918825069767,-73.95561719081303,"{'latitude': '40.6918825069767', 'longitude': '-73.95561719081303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58940384,2023-09-27T12:12:53.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,Street,11230,859 EAST   12 STREET,EAST   12 STREET,DEAD END,AVENUE I,DEAD END,AVENUE I,ADDRESS,BROOKLYN,EAST   12 STREET,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-29T12:40:31.000,14 BROOKLYN,3066960064,BROOKLYN,994031,168096,PHONE,Unspecified,BROOKLYN,,40.62805581570935,-73.96476331727514,"{'latitude': '40.62805581570935', 'longitude': '-73.96476331727514', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58937967,2023-09-27T12:12:51.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,11220,147 56 STREET,56 STREET,1 AVENUE,2 AVENUE,1 AVENUE,2 AVENUE,ADDRESS,BROOKLYN,56 STREET,Closed,The Department of Homeless Services did not have enough information to act on your request.,2023-09-27T12:39:36.000,07 BROOKLYN,3008280001,BROOKLYN,978266,174791,ONLINE,Unspecified,BROOKLYN,,40.64643554118577,-74.02156368367919,"{'latitude': '40.64643554118577', 'longitude': '-74.02156368367919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-27T12:39:36.000,,,,,
58944075,2023-09-27T12:12:47.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11205,964 BEDFORD AVENUE,BEDFORD AVENUE,WILLOUGHBY AVENUE,DEKALB AVENUE,WILLOUGHBY AVENUE,DEKALB AVENUE,ADDRESS,BROOKLYN,BEDFORD AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-27T12:31:35.000,03 BROOKLYN,3019280055,BROOKLYN,996558,191351,ONLINE,Unspecified,BROOKLYN,,40.6918825069767,-73.95561719081303,"{'latitude': '40.6918825069767', 'longitude': '-73.95561719081303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-27T12:31:29.000,,,,,
58941521,2023-09-27T12:12:41.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11221,880 DEKALB AVENUE,DEKALB AVENUE,THROOP AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE,MARCUS GARVEY BOULEVARD,ADDRESS,BROOKLYN,DEKALB AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-27T12:32:05.000,03 BROOKLYN,3017820027,BROOKLYN,1000609,191599,ONLINE,Unspecified,BROOKLYN,,40.69255664873912,-73.94100863338018,"{'latitude': '40.69255664873912', 'longitude': '-73.94100863338018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-27T12:31:58.000,,,,,
58943078,2023-09-27T12:12:37.000,NYPD,New York City Police Department,Encampment,N/A,Residential Building/House,10457,1738 WEEKS AVENUE,WEEKS AVENUE,CROSS BRONX EXPRESSWAY,EAST  175 STREET,CROSS BRONX EXPRESSWAY,EAST  175 STREET,ADDRESS,BRONX,WEEKS AVENUE,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-27T14:18:49.000,05 BRONX,2027970007,BRONX,1009843,247301,PHONE,Unspecified,BRONX,,40.84542214333556,-73.90749828062806,"{'latitude': '40.84542214333556', 'longitude': '-73.90749828062806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-27T14:18:45.000,,,,,
58936746,2023-09-27T12:12:37.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,10457,1738 WEEKS AVENUE,WEEKS AVENUE,CROSS BRONX EXPRESSWAY,EAST 175 STREET,CROSS BRONX EXPRESSWAY,EAST  175 STREET,ADDRESS,BRONX,WEEKS AVENUE,Closed,The individual was found and outreach assistance was offered.,2023-09-27T14:56:12.000,05 BRONX,2027970007,BRONX,1009843,247301,PHONE,Unspecified,BRONX,,40.84542214333556,-73.90749828062806,"{'latitude': '40.84542214333556', 'longitude': '-73.90749828062806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58936521,2023-09-27T12:12:30.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,10469,2321 BRONXWOOD AVENUE,BRONXWOOD AVENUE,ASTOR AVENUE,WARING AVENUE,ASTOR AVENUE,WARING AVENUE,ADDRESS,BRONX,BRONXWOOD AVENUE,Closed,"Under NYC Parksâ Tree Risk Management Program, work is prioritized to address the conditions with the highest risk first.  NYC Parks determined that the issue will be addressed in the next pruning cycle through the routine block pruning program.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-28T11:52:54.000,11 BRONX,2043540037,BRONX,1022492,252670,ONLINE,Unspecified,BRONX,,40.86011271300467,-73.86174997251584,"{'latitude': '40.86011271300467', 'longitude': '-73.86174997251584', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-28T11:52:48.000,,,,,
58942895,2023-09-27T12:12:10.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11427,80-04 210 STREET,210 STREET,UNION TURNPIKE,82 AVENUE,UNION TURNPIKE,82 AVENUE,ADDRESS,QUEENS VILLAGE,210 STREET,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-10-02T11:32:29.000,11 QUEENS,4077830050,QUEENS,1050597,206385,PHONE,Unspecified,QUEENS,,40.73290697359417,-73.76060426531495,"{'latitude': '40.73290697359417', 'longitude': '-73.76060426531495', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58937465,2023-09-27T12:12:04.000,HPD,Department of Housing Preservation and Development,ELEVATOR,MAINTENANCE,RESIDENTIAL BUILDING,10023,309 WEST   72 STREET,WEST   72 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-12T00:00:00.000,07 MANHATTAN,1011840006,MANHATTAN,988314,223515,PHONE,Unspecified,MANHATTAN,,40.780172360946175,-73.98532573207831,"{'latitude': '40.780172360946175', 'longitude': '-73.98532573207831', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-12T11:21:20.000,,,,,
58942406,2023-09-27T12:12:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11249,,,,,KENT AVENUE,BROADWAY,INTERSECTION,BROOKLYN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-27T14:30:00.000,01 BROOKLYN,,BROOKLYN,992976,198249,UNKNOWN,Unspecified,BROOKLYN,,40.710820157084164,-73.96852499067981,"{'latitude': '40.710820157084164', 'longitude': '-73.96852499067981', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-27T14:30:00.000,N/A,,,,
58940373,2023-09-27T12:11:58.000,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11693,327 BEACH   91 STREET,BEACH   91 STREET,ROCKAWAY FREEWAY,BEACH CHANNEL DRIVE,ROCKAWAY FREEWAY,BEACH CHANNEL DRIVE,ADDRESS,FAR ROCKAWAY,BEACH   91 STREET,In Progress,,,14 QUEENS,4161250080,QUEENS,1035459,153586,UNKNOWN,Unspecified,QUEENS,,40.58808631559942,-73.81562656433232,"{'latitude': '40.58808631559942', 'longitude': '-73.81562656433232', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58938033,2023-09-27T12:11:57.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Trash or Recycling Not Secure,Sidewalk,11427,206-09 86 ROAD,86 ROAD,204 STREET,208 STREET,204 STREET,208 STREET,ADDRESS,QUEENS VILLAGE,86 ROAD,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-28T12:35:45.000,08 QUEENS,4105990100,QUEENS,1050113,203038,PHONE,Unspecified,QUEENS,,40.723723926322464,-73.7623834030916,"{'latitude': '40.723723926322464', 'longitude': '-73.7623834030916', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-28T12:35:42.000,,,,,
