unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location
58937401,2023-09-27T10:41:51.000,2023-09-27T10:47:19.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10038,181 WATER STREET,WATER STREET,JOHN STREET,FULTON STREET,JOHN STREET,FULTON STREET,ADDRESS,NEW YORK,WATER STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T10:47:27.000,01 MANHATTAN,1000747501,MANHATTAN,982904,196832,PHONE,Unspecified,MANHATTAN,40.70693502824013,-74.00485478942367,"{'latitude': '40.70693502824013', 'longitude': '-74.00485478942367', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58943818,2023-09-27T10:41:47.000,2023-09-27T10:49:59.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10038,180 WATER STREET,WATER STREET,FLETCHER STREET,JOHN STREET,FLETCHER STREET,JOHN STREET,ADDRESS,NEW YORK,WATER STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T10:50:07.000,01 MANHATTAN,1000700032,MANHATTAN,982832,196778,ONLINE,Unspecified,MANHATTAN,40.706786799744656,-74.00511446961036,"{'latitude': '40.706786799744656', 'longitude': '-74.00511446961036', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58936245,2023-09-27T10:41:36.000,2023-09-28T12:54:44.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10457,2105 RYER AVENUE,RYER AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-28T00:00:00.000,05 BRONX,2031560155,BRONX,1011723,250206,ONLINE,Unspecified,BRONX,40.85338985543013,-73.90069142984217,"{'latitude': '40.85338985543013', 'longitude': '-73.90069142984217', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58943448,2023-09-27T10:41:33.000,2023-09-27T18:02:20.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10455,457 SOUTHERN BOULEVARD,SOUTHERN BOULEVARD,TINTON AVENUE,EAST  147 STREET,TINTON AVENUE,EAST  147 STREET,ADDRESS,BRONX,SOUTHERN BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T18:02:27.000,01 BRONX,2025820001,BRONX,1010043,234513,PHONE,Unspecified,BRONX,40.810322173010164,-73.906824577248,"{'latitude': '40.810322173010164', 'longitude': '-73.906824577248', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58938088,2023-09-27T10:41:31.000,2023-09-27T12:02:08.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,10006,73 BROADWAY,BROADWAY,EXCHANGE ALLEY,RECTOR STREET,EXCHANGE ALLEY,RECTOR STREET,ADDRESS,NEW YORK,BROADWAY,Closed,N/A,2023-09-27T12:02:11.000,01 MANHATTAN,1000210006,MANHATTAN,980912,196984,ONLINE,Unspecified,MANHATTAN,40.707351705083084,-74.01203966451274,"{'latitude': '40.707351705083084', 'longitude': '-74.01203966451274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58938442,2023-09-27T10:41:30.000,2023-11-08T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,,11231,124 2 PLACE,2 PLACE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-11-08T00:00:00.000,06 BROOKLYN,3004630015,BROOKLYN,985220,186753,UNKNOWN,Unspecified,BROOKLYN,40.67927055363419,-73.9965028289457,"{'latitude': '40.67927055363419', 'longitude': '-73.9965028289457', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58938435,2023-09-27T10:41:30.000,2023-10-02T00:00:00.000,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,,11385,466 GRANDVIEW AVENUE,GRANDVIEW AVENUE,,,,,ADDRESS,RIDGEWOOD,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-02T00:00:00.000,05 QUEENS,4033800052,QUEENS,1009538,198091,UNKNOWN,Unspecified,QUEENS,40.71035464979259,-73.90878585790999,"{'latitude': '40.71035464979259', 'longitude': '-73.90878585790999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58943585,2023-09-27T10:41:30.000,2023-10-03T00:00:00.000,DOB,Department of Buildings,Plumbing,Plumbing-Defective/Leaking/Not Maintained,,11229,2525 KINGS HIGHWAY,KINGS HIGHWAY,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-03T00:00:00.000,14 BROOKLYN,3067720004,BROOKLYN,998453,162703,UNKNOWN,Unspecified,BROOKLYN,40.61324717086501,-73.94884412652569,"{'latitude': '40.61324717086501', 'longitude': '-73.94884412652569', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58941560,2023-09-27T10:41:30.000,2023-10-30T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10457,2031 HUGHES AVENUE,HUGHES AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-10-30T00:00:00.000,06 BRONX,2030690093,BRONX,1014383,248211,UNKNOWN,Unspecified,BRONX,40.84790549784514,-73.89108511814386,"{'latitude': '40.84790549784514', 'longitude': '-73.89108511814386', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58940547,2023-09-27T10:41:23.000,2023-09-27T11:19:55.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,11217,274 SCHERMERHORN STREET,SCHERMERHORN STREET,BOND STREET,NEVINS STREET,BOND STREET,NEVINS STREET,ADDRESS,BROOKLYN,SCHERMERHORN STREET,Closed,The Police Department visited the location and no Encampment was found.,2023-09-27T11:19:58.000,02 BROOKLYN,3001720018,BROOKLYN,988930,189872,ONLINE,Unspecified,BROOKLYN,40.68783031335613,-73.98312488490399,"{'latitude': '40.68783031335613', 'longitude': '-73.98312488490399', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58938018,2023-09-27T10:41:09.000,2023-09-29T11:40:03.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,11235,2623 EAST   21 STREET,EAST   21 STREET,JEROME AVENUE,VOORHIES AVENUE,JEROME AVENUE,VOORHIES AVENUE,ADDRESS,BROOKLYN,EAST   21 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-29T10:14:23.000,15 BROOKLYN,3074660001,BROOKLYN,998642,153503,ONLINE,Unspecified,BROOKLYN,40.58799473619678,-73.9481829943412,"{'latitude': '40.58799473619678', 'longitude': '-73.9481829943412', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
