unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,taxi_company_borough,road_ramp
58938737,2023-09-27T09:01:57.000,2023-10-02T17:52:06.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,10304,260 PARKHILL AVENUE,PARKHILL AVENUE,ADDRESS,STATEN ISLAND,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-02T00:00:00.000,01 STATEN ISLAND,5029220001,STATEN ISLAND,961184,162502,PHONE,Unspecified,STATEN ISLAND,40.61267682810136,-74.08307761783473,"{'latitude': '40.61267682810136', 'longitude': '-74.08307761783473', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58939718,2023-09-27T09:01:46.000,2023-09-27T14:42:49.000,DOT,Department of Transportation,Street Condition,Cave-in,Street,11207,BARBEY STREET,BARBEY STREET,INTERSECTION,,Closed,This request required re-assignment to a new DOT unit.,2023-09-27T14:42:55.000,05 BROOKLYN,,BROOKLYN,1014822,187694,PHONE,Unspecified,BROOKLYN,40.68180064286061,-73.88977361024146,"{'latitude': '40.68180064286061', 'longitude': '-73.88977361024146', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BARBEY STREET,JAMAICA AVENUE,BARBEY STREET,JAMAICA AVENUE,,,,,,,,,
58944017,2023-09-27T09:01:32.000,2023-09-29T14:53:44.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10460,1173 EAST  178 STREET,EAST  178 STREET,ADDRESS,BRONX,Closed,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-29T00:00:00.000,06 BRONX,2039090047,BRONX,1018801,245091,PHONE,Unspecified,BRONX,40.839325837830664,-73.87513247679759,"{'latitude': '40.839325837830664', 'longitude': '-73.87513247679759', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58938751,2023-09-27T09:01:32.000,2023-09-29T14:53:45.000,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,10460,1173 EAST  178 STREET,EAST  178 STREET,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-29T00:00:00.000,06 BRONX,2039090047,BRONX,1018801,245091,PHONE,Unspecified,BRONX,40.839325837830664,-73.87513247679759,"{'latitude': '40.839325837830664', 'longitude': '-73.87513247679759', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58945245,2023-09-27T09:01:31.000,2023-09-29T14:53:44.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10460,1173 EAST  178 STREET,EAST  178 STREET,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,06 BRONX,2039090047,BRONX,1018801,245091,PHONE,Unspecified,BRONX,40.839325837830664,-73.87513247679759,"{'latitude': '40.839325837830664', 'longitude': '-73.87513247679759', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58941003,2023-09-27T09:01:28.000,2023-10-27T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11223,249 QUENTIN ROAD,QUENTIN ROAD,ADDRESS,BROOKLYN,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-27T00:00:00.000,11 BROOKLYN,3066280044,BROOKLYN,990639,160130,UNKNOWN,Unspecified,BROOKLYN,40.6061938941019,-73.97699075326018,"{'latitude': '40.6061938941019', 'longitude': '-73.97699075326018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58943563,2023-09-27T09:01:28.000,2023-11-16T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11385,59-29 MENAHAN STREET,MENAHAN STREET,ADDRESS,RIDGEWOOD,Assigned,The Department of Buildings attempted to investigate this complaint but could not gain access to the location. Please schedule an appointment for a follow up inspection by contacting the appropriate unit at Department of Buildings. You can find contact information at https://www1.nyc.gov/site/buildings/about/contact-us.page.,2023-11-16T00:00:00.000,05 QUEENS,4034940062,QUEENS,1010847,198028,UNKNOWN,Unspecified,QUEENS,40.71017789177273,-73.90406453058547,"{'latitude': '40.71017789177273', 'longitude': '-73.90406453058547', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58938097,2023-09-27T09:01:13.000,2023-10-02T09:34:23.000,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,10459,846 FREEMAN STREET,FREEMAN STREET,ADDRESS,BRONX,Closed,The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.,2023-09-30T04:23:19.000,03 BRONX,2029700065,BRONX,1013037,241860,ONLINE,Unspecified,BRONX,40.8304783527046,-73.89597745251935,"{'latitude': '40.8304783527046', 'longitude': '-73.89597745251935', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LYMAN PLACE,CHISHOLM STREET,LYMAN PLACE,CHISHOLM STREET,FREEMAN STREET,,,,,,,,
58942265,2023-09-27T09:01:08.000,2023-09-27T09:22:45.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10023,180 WEST   76 STREET,WEST   76 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T09:22:42.000,07 MANHATTAN,1011470064,MANHATTAN,990077,223764,MOBILE,Unspecified,MANHATTAN,40.780854813559195,-73.97895968602914,"{'latitude': '40.780854813559195', 'longitude': '-73.97895968602914', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,WEST   76 STREET,,,,,,,,
58945701,2023-09-27T09:00:41.000,2023-09-30T12:56:16.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11207,120 VAN SINDEREN AVENUE,VAN SINDEREN AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation cleaned the location.,2023-09-30T12:56:20.000,16 BROOKLYN,,BROOKLYN,1011105,184950,MOBILE,Unspecified,BROOKLYN,40.67428104547442,-73.90318606016527,"{'latitude': '40.67428104547442', 'longitude': '-73.90318606016527', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14 STREET/CANARSIE LINE,LIBERTY AVENUE,14 STREET/CANARSIE LINE,LIBERTY AVENUE,VAN SINDEREN AVENUE,,,,,,,,
58944721,2023-09-27T09:00:25.000,2023-09-27T10:31:58.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11215,142 EIGHTH STREET,EIGHTH STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T10:32:02.000,06 BROOKLYN,3010020026,BROOKLYN,986689,184247,MOBILE,Unspecified,BROOKLYN,40.67239186567056,-73.99120750463145,"{'latitude': '40.67239186567056', 'longitude': '-73.99120750463145', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2 AVENUE,3 AVENUE,2 AVENUE,3 AVENUE,8 STREET,,,,,,,,
58943322,2023-09-27T09:00:21.000,2023-09-27T14:49:45.000,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,11377,57-12 32 AVENUE,32 AVENUE,ADDRESS,WOODSIDE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T14:49:53.000,01 QUEENS,4011590001,QUEENS,1010812,214630,PHONE,Unspecified,QUEENS,40.75574637880899,-73.90412523344615,"{'latitude': '40.75574637880899', 'longitude': '-73.90412523344615', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",57 STREET,58 STREET,57 STREET,58 STREET,32 AVENUE,,,,,,,,
58937065,2023-09-27T09:00:06.000,2023-09-27T10:41:18.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11217,FLATBUSH AVENUE,FLATBUSH AVENUE,INTERSECTION,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-27T10:41:22.000,02 BROOKLYN,,BROOKLYN,989563,190211,PHONE,Unspecified,BROOKLYN,40.68876043315337,-73.98084215014617,"{'latitude': '40.68876043315337', 'longitude': '-73.98084215014617', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLATBUSH AVENUE,NEVINS STREET,FLATBUSH AVENUE,NEVINS STREET,,,,,,,,,
58943398,2023-09-27T09:00:00.000,2023-09-27T20:55:00.000,DOT,Department of Transportation,Traffic Signal Condition,Ped Multiple Lamps,,10023,,,INTERSECTION,MANHATTAN,Closed,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",2023-09-27T20:55:00.000,07 MANHATTAN,,MANHATTAN,987400,221308,UNKNOWN,Unspecified,MANHATTAN,40.77411510013836,-73.98862703263869,"{'latitude': '40.77411510013836', 'longitude': '-73.98862703263869', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,WEST END AVENUE,WEST 63 STREET,,N/A,,,,,,,
