unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,road_ramp,bridge_highway_direction,taxi_pick_up_location
58944861,2023-09-27T06:43:31.000,2023-09-27T07:10:50.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11101,10-29 46 ROAD,46 ROAD,VERNON BOULEVARD,11 STREET,VERNON BOULEVARD,11 STREET,ADDRESS,LONG ISLAND CITY,46 ROAD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T07:10:53.000,02 QUEENS,4000480012,QUEENS,997518,211081,PHONE,Unspecified,QUEENS,40.746035214746804,-73.95211652786085,"{'latitude': '40.746035214746804', 'longitude': '-73.95211652786085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58944835,2023-09-27T06:43:07.000,2023-09-27T08:23:03.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,104-01 34 AVENUE,34 AVENUE,104 STREET,105 STREET,104 STREET,105 STREET,ADDRESS,CORONA,34 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T08:23:09.000,03 QUEENS,4017190043,QUEENS,1021883,214714,MOBILE,Unspecified,QUEENS,40.75593674759889,-73.8641643653773,"{'latitude': '40.75593674759889', 'longitude': '-73.8641643653773', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58941135,2023-09-27T06:42:48.000,2023-09-27T06:53:24.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,10003,WASHINGTON PLACE,WASHINGTON PLACE,GREENE STREET,WASHINGTON PLACE,GREENE STREET,WASHINGTON PLACE,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-27T06:53:29.000,02 MANHATTAN,,MANHATTAN,985550,205154,MOBILE,Unspecified,MANHATTAN,40.7297769253605,-73.99530951738959,"{'latitude': '40.7297769253605', 'longitude': '-73.99530951738959', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58944671,2023-09-27T06:42:48.000,2023-10-04T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11215,287 18 STREET,18 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,2023-10-04T00:00:00.000,07 BROOKLYN,3008730056,BROOKLYN,986971,180514,UNKNOWN,Unspecified,BROOKLYN,40.662145529501444,-73.99019241287063,"{'latitude': '40.662145529501444', 'longitude': '-73.99019241287063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,
58940297,2023-09-27T06:42:47.000,2023-09-27T17:26:40.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11420,130-24 129 STREET,129 STREET,SUTTER AVENUE,133 AVENUE,SUTTER AVENUE,133 AVENUE,ADDRESS,SOUTH OZONE PARK,129 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T17:26:45.000,10 QUEENS,4117660047,QUEENS,1037017,184187,ONLINE,Unspecified,QUEENS,40.67207025806861,-73.80977788856615,"{'latitude': '40.67207025806861', 'longitude': '-73.80977788856615', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58944700,2023-09-27T06:42:46.000,2023-09-27T06:51:41.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10467,3085 DECATUR AVENUE,DECATUR AVENUE,EAST MOSHOLU PARKWAY NORTH,EAST  204 STREET,EAST MOSHOLU PARKWAY NORTH,EAST  204 STREET,ADDRESS,BRONX,DECATUR AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T06:51:43.000,07 BRONX,2033320060,BRONX,1017837,256727,MOBILE,Unspecified,BRONX,40.871266873422016,-73.87855807383626,"{'latitude': '40.871266873422016', 'longitude': '-73.87855807383626', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58945489,2023-09-27T06:42:34.000,2023-09-27T12:11:12.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10001,365 WEST   25 STREET,WEST   25 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   25 STREET,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-27T06:42:34.000,04 MANHATTAN,1007490001,MANHATTAN,984374,211584,MOBILE,Unspecified,MANHATTAN,40.74742577604953,-73.99955248159598,"{'latitude': '40.74742577604953', 'longitude': '-73.99955248159598', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58936728,2023-09-27T06:42:27.000,2023-09-27T07:16:11.000,NYPD,New York City Police Department,Encampment,N/A,Subway,,,,,,,,,,,Closed,The Police Department visited the location and no Encampment was found.,2023-09-27T07:16:16.000,Unspecified BROOKLYN,,BROOKLYN,993000,149244,MOBILE,Unspecified,BROOKLYN,40.57631199013064,-73.96850198178711,"{'latitude': '40.57631199013064', 'longitude': '-73.96850198178711', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Q,Mezzanine,,,
58937753,2023-09-27T06:42:07.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11363,41-33 248 STREET,248 STREET,41 AVENUE,DEPEW AVENUE,41 AVENUE,DEPEW AVENUE,ADDRESS,LITTLE NECK,248 STREET,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-27T09:58:24.000,11 QUEENS,4081220009,QUEENS,1055689,220400,ONLINE,Unspecified,QUEENS,40.77133477166315,-73.74208232804166,"{'latitude': '40.77133477166315', 'longitude': '-73.74208232804166', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58937502,2023-09-27T06:42:00.000,2023-09-28T07:35:55.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10453,2075 CRESTON AVENUE,CRESTON AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-09-28T00:00:00.000,05 BRONX,2031690053,BRONX,1010765,250245,ONLINE,Unspecified,BRONX,40.853499827754774,-73.90415422222642,"{'latitude': '40.853499827754774', 'longitude': '-73.90415422222642', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
