unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,due_date,bridge_highway_direction,road_ramp
58928102,2023-09-26T23:28:48.000,2023-09-27T00:31:11.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11209,333 83 STREET,83 STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,83 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T00:31:17.000,10 BROOKLYN,3060070065,BROOKLYN,976167,167145,MOBILE,Unspecified,BROOKLYN,40.625447232723694,-74.0291183899575,"{'latitude': '40.625447232723694', 'longitude': '-74.0291183899575', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58931101,2023-09-26T23:28:45.000,2023-09-27T00:18:49.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11377,40-52 72 STREET,72 STREET,ROOSEVELT AVENUE,41 AVENUE,ROOSEVELT AVENUE,41 AVENUE,ADDRESS,WOODSIDE,72 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T00:18:54.000,04 QUEENS,,QUEENS,1013782,210997,ONLINE,Unspecified,QUEENS,40.74576529793688,-73.89342106960484,"{'latitude': '40.74576529793688', 'longitude': '-73.89342106960484', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58930822,2023-09-26T23:28:44.000,2023-09-26T23:54:06.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10024,225 WEST   87 STREET,WEST   87 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,WEST   87 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T23:54:11.000,07 MANHATTAN,1012350042,MANHATTAN,991113,226608,ONLINE,Unspecified,MANHATTAN,40.78866009156155,-73.97521595950525,"{'latitude': '40.78866009156155', 'longitude': '-73.97521595950525', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58926774,2023-09-26T23:28:23.000,2023-10-03T11:31:30.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Department Store or Megastore,Business,10454,600 EAST  138 STREET,EAST  138 STREET,ST ANNS AVENUE,CYPRESS AVENUE,ST ANNS AVENUE,CYPRESS AVENUE,ADDRESS,BRONX,EAST  138 STREET,Closed,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Department of Health and Mental Hygiene (DOHMH). NYC311 can help you file a complaint or contact the agency for further assistance.,2023-10-03T11:31:34.000,01 BRONX,2025500019,BRONX,1007469,233023,PHONE,Unspecified,BRONX,40.80623967699538,-73.91612812125385,"{'latitude': '40.80623967699538', 'longitude': '-73.91612812125385', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58930724,2023-09-26T23:28:15.000,2023-09-27T00:06:59.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11229,2113 AVENUE R,AVENUE R,EAST   21 STREET,EAST   22 STREET,EAST   21 STREET,EAST   22 STREET,ADDRESS,BROOKLYN,AVENUE R,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-27T00:07:03.000,15 BROOKLYN,3068040048,BROOKLYN,997724,160243,PHONE,Unspecified,BROOKLYN,40.60649611553673,-73.95147472119139,"{'latitude': '40.60649611553673', 'longitude': '-73.95147472119139', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58934076,2023-09-26T23:28:13.000,2023-09-26T23:28:13.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10036,602 9 AVENUE,9 AVENUE,WEST 43 STREET,WEST 44 STREET,WEST   43 STREET,WEST   44 STREET,ADDRESS,NEW YORK,9 AVENUE,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-26T23:28:13.000,04 MANHATTAN,1010340001,MANHATTAN,986449,215872,MOBILE,Unspecified,MANHATTAN,40.75919497587663,-73.99206236407667,"{'latitude': '40.75919497587663', 'longitude': '-73.99206236407667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58927721,2023-09-26T23:27:59.000,2023-09-27T02:45:03.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10475,120 DE KRUIF PLACE,DE KRUIF PLACE,BEND,BEND,BEND,BEND,ADDRESS,BRONX,DE KRUIF PLACE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T02:45:07.000,10 BRONX,2051410120,BRONX,1031486,258190,ONLINE,Unspecified,BRONX,40.87521986197607,-73.829196603967,"{'latitude': '40.87521986197607', 'longitude': '-73.829196603967', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58933992,2023-09-26T23:27:56.000,2023-09-27T05:09:59.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11419,108-03 103 AVENUE,103 AVENUE,108 STREET,109 STREET,108 STREET,109 STREET,ADDRESS,SOUTH RICHMOND HILL,103 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T05:10:03.000,09 QUEENS,4094260042,QUEENS,1030254,189021,PHONE,Unspecified,QUEENS,40.685376197088544,-73.8341250677394,"{'latitude': '40.685376197088544', 'longitude': '-73.8341250677394', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58929010,2023-09-26T23:27:48.000,2023-09-27T02:20:28.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11426,246-09 JERICHO TURNPIKE,JERICHO TURNPIKE,CITY LIMIT,247 STREET,CITY LIMIT,247 STREET,ADDRESS,BELLEROSE,JERICHO TURNPIKE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T02:20:35.000,13 QUEENS,4086600006,QUEENS,1061390,203582,ONLINE,Unspecified,QUEENS,40.725125916834905,-73.72169293448363,"{'latitude': '40.725125916834905', 'longitude': '-73.72169293448363', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58928157,2023-09-26T23:27:46.000,2023-09-27T01:39:20.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11411,115 AVENUE,115 AVENUE,115 AVENUE,217 STREET,115 AVENUE,217 STREET,INTERSECTION,,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T01:39:25.000,13 QUEENS,,QUEENS,1056311,194777,ONLINE,Unspecified,QUEENS,40.70100122999698,-73.7401111772747,"{'latitude': '40.70100122999698', 'longitude': '-73.7401111772747', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
