unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,vehicle_type,taxi_company_borough
58928426,2023-09-26T20:52:29.000,2023-09-26T20:58:43.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11204,5709 19 AVENUE,19 AVENUE,55 STREET,58 STREET,55 STREET,58 STREET,ADDRESS,BROOKLYN,19 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T20:58:47.000,12 BROOKLYN,3055060006,BROOKLYN,988836,165975,ONLINE,Unspecified,BROOKLYN,40.622238328097545,-73.98348007983238,"{'latitude': '40.622238328097545', 'longitude': '-73.98348007983238', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58934073,2023-09-26T20:52:14.000,2023-09-26T20:52:14.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10302,66 BURNSIDE AVENUE,BURNSIDE AVENUE,FOREST AVENUE,SHAW PLACE,FOREST AVENUE,SHAW PLACE,ADDRESS,STATEN ISLAND,BURNSIDE AVENUE,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-26T20:52:14.000,01 STATEN ISLAND,5003900036,STATEN ISLAND,947092,166625,MOBILE,Unspecified,STATEN ISLAND,40.623945703798114,-74.13385589436615,"{'latitude': '40.623945703798114', 'longitude': '-74.13385589436615', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58932298,2023-09-26T20:52:01.000,2023-09-26T21:09:46.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11212,40 GRAFTON STREET,GRAFTON STREET,PITKIN AVENUE,SUTTER AVENUE,PITKIN AVENUE,SUTTER AVENUE,ADDRESS,BROOKLYN,GRAFTON STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T21:09:52.000,16 BROOKLYN,3035120051,BROOKLYN,1006733,182480,ONLINE,Unspecified,BROOKLYN,40.667513634296476,-73.91895561971621,"{'latitude': '40.667513634296476', 'longitude': '-73.91895561971621', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58933444,2023-09-26T20:51:57.000,2023-09-27T01:27:52.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10472,1001 WARD AVENUE,WARD AVENUE,BRUCKNER BOULEVARD,WATSON AVENUE,BRUCKNER BOULEVARD,WATSON AVENUE,ADDRESS,BRONX,WARD AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T01:27:55.000,09 BRONX,2037150067,BRONX,1018486,239657,PHONE,Unspecified,BRONX,40.82441231107663,-73.87629861989932,"{'latitude': '40.82441231107663', 'longitude': '-73.87629861989932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58927630,2023-09-26T20:51:45.000,2023-09-26T20:51:45.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10302,64 BURNSIDE AVENUE,BURNSIDE AVENUE,FOREST AVENUE,SHAW PLACE,FOREST AVENUE,SHAW PLACE,ADDRESS,STATEN ISLAND,BURNSIDE AVENUE,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-26T20:51:45.000,01 STATEN ISLAND,5003900034,STATEN ISLAND,947083,166635,MOBILE,Unspecified,STATEN ISLAND,40.62397311392003,-74.13388837047081,"{'latitude': '40.62397311392003', 'longitude': '-74.13388837047081', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58925813,2023-09-26T20:51:27.000,2023-09-26T21:55:43.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11220,879 44 STREET,44 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,BROOKLYN,44 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-26T21:55:46.000,12 BROOKLYN,3007330047,BROOKLYN,984640,173724,MOBILE,Unspecified,BROOKLYN,40.6435088692312,-73.99859467451894,"{'latitude': '40.6435088692312', 'longitude': '-73.99859467451894', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58934755,2023-09-26T20:51:03.000,2023-09-26T21:17:09.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Trespassing,Store/Commercial,10014,CHARLES STREET,CHARLES STREET,CHARLES STREET,WASHINGTON STREET,CHARLES STREET,WASHINGTON STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T21:17:12.000,02 MANHATTAN,,MANHATTAN,981897,206727,PHONE,Unspecified,MANHATTAN,40.73409420697807,-74.00849032360021,"{'latitude': '40.73409420697807', 'longitude': '-74.00849032360021', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58927631,2023-09-26T20:51:02.000,2023-09-26T20:51:02.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10302,62 BURNSIDE AVENUE,BURNSIDE AVENUE,FOREST AVENUE,SHAW PLACE,FOREST AVENUE,SHAW PLACE,ADDRESS,STATEN ISLAND,BURNSIDE AVENUE,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-26T20:51:02.000,01 STATEN ISLAND,5003900033,STATEN ISLAND,947073,166645,MOBILE,Unspecified,STATEN ISLAND,40.62400051983633,-74.13392444894342,"{'latitude': '40.62400051983633', 'longitude': '-74.13392444894342', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58935421,2023-09-26T20:50:35.000,2023-09-28T14:26:42.000,TLC,Taxi and Limousine Commission,Lost Property,Electronics/Phones,Taxi,11369,LAGUARDIA AIRPORT,LAGUARDIA AIRPORT,94 STREET,GRAND CENTRAL PARKWAY ET    7 EB,94 STREET,GRAND CENTRAL PARKWAY ET    7 EB,UNRECOGNIZED,EAST ELMHURST,LA GUARDIA AIRPORT,Closed,See notes for information.,2023-09-28T14:26:45.000,80 QUEENS,4009260001,QUEENS,1018236,221443,PHONE,Unspecified,QUEENS,40.77442086598845,-73.87729410513894,"{'latitude': '40.77442086598845', 'longitude': '-73.87729410513894', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369",,,,,,,
58934229,2023-09-26T20:50:25.000,2023-09-26T20:58:38.000,NYPD,New York City Police Department,Encampment,N/A,Residential Building/House,10009,424 EAST   14 STREET,EAST   14 STREET,1 AVENUE,AVENUE A,1 AVENUE,AVENUE A,ADDRESS,NEW YORK,EAST   14 STREET,Closed,The Police Department visited the location and no Encampment was found.,2023-09-26T20:58:42.000,03 MANHATTAN,1004410019,MANHATTAN,989410,205553,ONLINE,Unspecified,MANHATTAN,40.730870673147855,-73.98138208638649,"{'latitude': '40.730870673147855', 'longitude': '-73.98138208638649', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
