unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,taxi_pick_up_location,latitude,longitude,location,closed_date,resolution_description,bbl,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,due_date,road_ramp,vehicle_type,taxi_company_borough
58971795,2023-09-30T16:40:12.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10002,163 CLINTON STREET,CLINTON STREET,BROOME STREET,GRAND STREET,BROOME STREET,GRAND STREET,ADDRESS,NEW YORK,CLINTON STREET,In Progress,2023-11-27T11:47:30.000,03 MANHATTAN,MANHATTAN,987958,200189,ONLINE,Unspecified,MANHATTAN,"163 CLINTON STREET, MANHATTAN (NEW YORK), NY, 10002",40.71614852029105,-73.9866240359069,"{'latitude': '40.71614852029105', 'longitude': '-73.9866240359069', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58977904,2023-09-30T16:39:52.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10023,1 CENTRAL PARK WEST,CENTRAL PARK WEST,COLUMBUS CIRCLE,WEST   61 STREET,COLUMBUS CIRCLE,WEST   61 STREET,ADDRESS,NEW YORK,CENTRAL PARK WEST,Closed,2023-09-30T17:08:54.000,07 MANHATTAN,MANHATTAN,989350,219273,MOBILE,Unspecified,MANHATTAN,,40.76852864622802,-73.98158816874908,"{'latitude': '40.76852864622802', 'longitude': '-73.98158816874908', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T17:08:51.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1011137502,,,,,,,,
58971202,2023-09-30T16:39:49.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10473,715 SOUNDVIEW AVENUE,SOUNDVIEW AVENUE,ST LAWRENCE AVENUE,COMMONWEALTH AVENUE,ST LAWRENCE AVENUE,COMMONWEALTH AVENUE,ADDRESS,BRONX,SOUNDVIEW AVENUE,Closed,2023-09-30T18:20:01.000,09 BRONX,BRONX,1021708,238046,ONLINE,Unspecified,BRONX,,40.819977501089944,-73.86466591292151,"{'latitude': '40.819977501089944', 'longitude': '-73.86466591292151', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T18:19:57.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2035960035,,,,,,,,
58971885,2023-09-30T16:39:35.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10075,244 EAST   78 STREET,EAST   78 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,EAST   78 STREET,Closed,2023-10-01T14:31:34.000,08 MANHATTAN,MANHATTAN,996227,220961,ONLINE,Unspecified,MANHATTAN,,40.77315512329054,-73.95675807248972,"{'latitude': '40.77315512329054', 'longitude': '-73.95675807248972', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-01T14:31:29.000,The Department of Sanitation investigated this complaint and found no condition at the location.,1014320034,,,,,,,,
58974209,2023-09-30T16:39:34.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10002,163 CLINTON STREET,CLINTON STREET,BROOME STREET,GRAND STREET,BROOME STREET,GRAND STREET,ADDRESS,NEW YORK,CLINTON STREET,In Progress,2023-11-27T11:51:06.000,03 MANHATTAN,MANHATTAN,987958,200189,ONLINE,Unspecified,MANHATTAN,"163 CLINTON STREET, MANHATTAN (NEW YORK), NY, 10002",40.71614852029105,-73.9866240359069,"{'latitude': '40.71614852029105', 'longitude': '-73.9866240359069', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",,,,,,,,,
58973583,2023-09-30T16:39:28.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11428,93-10 FRANCIS LEWIS BOULEVARD,FRANCIS LEWIS BOULEVARD,93 AVENUE,94 AVENUE,93 AVENUE,94 AVENUE,ADDRESS,QUEENS VILLAGE,FRANCIS LEWIS BOULEVARD,Closed,2023-09-30T18:57:00.000,12 QUEENS,QUEENS,1051992,200209,ONLINE,Unspecified,QUEENS,,40.715944843294,-73.75563296591353,"{'latitude': '40.715944843294', 'longitude': '-73.75563296591353', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T18:56:56.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4104800054,,,,,,,,
58971657,2023-09-30T16:39:23.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10468,2820 MORRIS AVENUE,MORRIS AVENUE,EAST 196 STREET,BEND,EAST  196 STREET,BEND,ADDRESS,BRONX,MORRIS AVENUE,Closed,2023-09-30T16:39:23.000,07 BRONX,BRONX,1013699,256362,ONLINE,Unspecified,BRONX,,40.87027983660848,-73.89352160262047,"{'latitude': '40.87027983660848', 'longitude': '-73.89352160262047', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-02T08:51:43.000,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2033180098,,,,,,,,
59453877,2023-09-30T16:38:42.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Apartment,10452,1425 TOWNSEND AVENUE,TOWNSEND AVENUE,EAST  170 STREET,EAST  171 STREET,EAST  170 STREET,EAST  171 STREET,ADDRESS,BRONX,TOWNSEND AVENUE,Closed,2023-10-02T00:00:00.000,04 BRONX,BRONX,1007380,245481,PHONE,Unspecified,BRONX,,40.84043357320546,-73.91640666366692,"{'latitude': '40.84043357320546', 'longitude': '-73.91640666366692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-02T00:00:00.000,,2028430018,,,,,,,,
58976716,2023-09-30T16:38:30.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Stoop Line Stand,Business,10467,715 ADEE AVENUE,ADEE AVENUE,WHITE PLAINS ROAD,WILLIAMSBRIDGE ROAD,WHITE PLAINS ROAD,WILLIAMSBRIDGE ROAD,ADDRESS,BRONX,ADEE AVENUE,Closed,2023-10-02T11:49:33.000,12 BRONX,BRONX,1021086,256163,ONLINE,Unspecified,BRONX,,40.869705906800945,-73.86681364602148,"{'latitude': '40.869705906800945', 'longitude': '-73.86681364602148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-02T11:49:29.000,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the New York State Department of Transportation. Call (518) 457-6195 or visit dot.ny.gov.,2045680104,,,,,,,,
58970643,2023-09-30T16:38:22.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,10016,238 EAST   33 STREET,EAST   33 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,EAST   33 STREET,Closed,2023-10-02T09:40:20.000,06 MANHATTAN,MANHATTAN,990439,210572,ONLINE,Unspecified,MANHATTAN,,40.74464592501354,-73.97766471075624,"{'latitude': '40.74464592501354', 'longitude': '-73.97766471075624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-21T14:11:59.000,The Department of Sanitation collected the requested items.,1009130044,,,,,,,,
