unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,road_ramp,taxi_company_borough
58932993,2023-09-26T18:24:52.000,2023-09-27T12:33:31.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10024,536 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST   85 STREET,WEST   86 STREET,WEST   85 STREET,WEST   86 STREET,ADDRESS,NEW YORK,COLUMBUS AVENUE,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-27T12:30:38.000,07 MANHATTAN,1012160033,MANHATTAN,991922,225761,MOBILE,Unspecified,MANHATTAN,40.7863346381227,-73.97229542209017,"{'latitude': '40.7863346381227', 'longitude': '-73.97229542209017', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58932325,2023-09-26T18:24:51.000,2023-09-26T18:38:04.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11203,622 EAST NEW YORK AVENUE,EAST NEW YORK AVENUE,KINGSTON AVENUE,ALBANY AVENUE,KINGSTON AVENUE,ALBANY AVENUE,ADDRESS,BROOKLYN,EAST NEW YORK AVENUE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-26T18:38:07.000,09 BROOKLYN,3047940016,BROOKLYN,1000352,180503,ONLINE,Unspecified,BROOKLYN,40.662101113715224,-73.94196189855569,"{'latitude': '40.662101113715224', 'longitude': '-73.94196189855569', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58929746,2023-09-26T18:24:44.000,2023-09-26T18:42:49.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10003,UNION SQUARE PARK,UNION SQUARE PARK,EAST   15 STREET,EAST   16 STREET,EAST   15 STREET,EAST   16 STREET,UNRECOGNIZED,NEW YORK,UNION SQUARE PARK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T18:42:53.000,05 MANHATTAN,1008450002,MANHATTAN,986904,207395,ONLINE,Unspecified,MANHATTAN,40.73592761709978,-73.99042331539991,"{'latitude': '40.73592761709978', 'longitude': '-73.99042331539991', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58930910,2023-09-26T18:24:25.000,2023-09-26T20:18:14.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11375,108-14 67 AVENUE,67 AVENUE,108 STREET,110 STREET,108 STREET,110 STREET,ADDRESS,FOREST HILLS,67 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-26T20:18:19.000,06 QUEENS,4021760011,QUEENS,1026584,204920,ONLINE,Unspecified,QUEENS,40.729033442913526,-73.84725786465239,"{'latitude': '40.729033442913526', 'longitude': '-73.84725786465239', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58934896,2023-09-26T18:24:07.000,2023-09-26T18:51:32.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10033,1474 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST  183 STREET,WEST  184 STREET,WEST  183 STREET,WEST  184 STREET,ADDRESS,NEW YORK,ST NICHOLAS AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-26T18:51:36.000,12 MANHATTAN,1021540072,MANHATTAN,1002918,249311,MOBILE,Unspecified,MANHATTAN,40.85095635453268,-73.93252195435025,"{'latitude': '40.85095635453268', 'longitude': '-73.93252195435025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58926602,2023-09-26T18:23:33.000,2023-09-27T13:45:01.000,DSNY,Department of Sanitation,Abandoned Bike,Chained to Public Property,Street,11214,8005 18 AVENUE,18 AVENUE,80 STREET,81 STREET,80 STREET,81 STREET,ADDRESS,BROOKLYN,18 AVENUE,Closed,The Department of Sanitation investigated and found that the bike did not meet the criteria to be classified as derelict.,2023-09-27T11:29:52.000,11 BROOKLYN,3062850008,BROOKLYN,984534,161665,ONLINE,Unspecified,BROOKLYN,40.610409453215986,-73.99897714217558,"{'latitude': '40.610409453215986', 'longitude': '-73.99897714217558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58934325,2023-09-26T18:23:30.000,2023-09-27T14:31:57.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Trash or Recycling Not Secure,Sidewalk,11214,1703 BATH AVENUE,BATH AVENUE,17 AVENUE,BAY   16 STREET,17 AVENUE,BAY   16 STREET,ADDRESS,BROOKLYN,BATH AVENUE,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-27T14:32:00.000,11 BROOKLYN,3064000009,BROOKLYN,981972,159741,ONLINE,Unspecified,BROOKLYN,40.60512817889213,-74.00820382326924,"{'latitude': '40.60512817889213', 'longitude': '-74.00820382326924', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58933612,2023-09-26T18:23:15.000,2023-09-26T18:33:57.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10033,1475 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST  183 STREET,WEST  184 STREET,WEST  183 STREET,WEST  184 STREET,ADDRESS,NEW YORK,ST NICHOLAS AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-26T18:34:02.000,12 MANHATTAN,1021650063,MANHATTAN,1002911,249312,MOBILE,Unspecified,MANHATTAN,40.85095911403291,-73.93254725401667,"{'latitude': '40.85095911403291', 'longitude': '-73.93254725401667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58929364,2023-09-26T18:23:12.000,2023-09-26T18:45:36.000,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,10075,TAYLOR PUBLIC SCHOOL,TAYLOR PUBLIC SCHOOL,EAST   77 STREET,EAST   78 STREET,EAST   77 STREET,EAST   78 STREET,UNRECOGNIZED,NEW YORK,PS  158,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T18:45:41.000,08 MANHATTAN,1014890001,MANHATTAN,997851,219931,PHONE,Unspecified,MANHATTAN,40.7703256930665,-73.95089684599411,"{'latitude': '40.7703256930665', 'longitude': '-73.95089684599411', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58926808,2023-09-26T18:23:00.000,2023-09-27T19:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11230,1800 OCEAN AVENUE,OCEAN AVENUE,AVENUE M,BAY AVE,,,ADDRESS,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-27T19:00:00.000,14 BROOKLYN,3067480014,BROOKLYN,996760,164421,ONLINE,Unspecified,BROOKLYN,40.61796527677069,-73.9549387310301,"{'latitude': '40.61796527677069', 'longitude': '-73.9549387310301', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
