unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,due_date,taxi_company_borough
58939823,2023-09-26T16:08:51.000,2023-09-27T08:25:00.000,DOT,Department of Transportation,Street Condition,Pothole,10005,147 FRONT STREET,FRONT STREET,MAIDEN LANE,PINE STREET,ADDRESS,NEW YORK,N/A,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-27T08:25:00.000,01 MANHATTAN,1000370023,MANHATTAN,982670,196366,UNKNOWN,Unspecified,MANHATTAN,40.70565592948444,-74.00569867764443,"{'latitude': '40.70565592948444', 'longitude': '-74.00569867764443', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58930155,2023-09-26T16:08:41.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,11230,1180 EAST   15 STREET,EAST   15 STREET,AVENUE K,AVENUE L,ADDRESS,BROOKLYN,,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-28T10:16:48.000,14 BROOKLYN,3067250039,BROOKLYN,995182,165549,ONLINE,Unspecified,BROOKLYN,40.62106348935074,-73.96062089106759,"{'latitude': '40.62106348935074', 'longitude': '-73.96062089106759', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,AVENUE K,AVENUE L,EAST   15 STREET,,,,,,,
58930169,2023-09-26T16:08:33.000,2023-10-26T13:28:11.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Alive - in Poor Condition,10029,114 EAST  102 STREET,EAST  102 STREET,PARK AVENUE,LEXINGTON AVENUE,ADDRESS,NEW YORK,,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-10-26T13:28:16.000,11 MANHATTAN,1016290065,MANHATTAN,998341,227130,MOBILE,Unspecified,MANHATTAN,40.790084272324776,-73.94911272035445,"{'latitude': '40.790084272324776', 'longitude': '-73.94911272035445', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,PARK AVENUE,LEXINGTON AVENUE,EAST  102 STREET,,,,,,,
58928514,2023-09-26T16:08:00.000,2023-09-27T17:30:00.000,DOT,Department of Transportation,Traffic Signal Condition,LED Lense,10027,,,,,INTERSECTION,MANHATTAN,N/A,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-27T17:30:00.000,09 MANHATTAN,,MANHATTAN,994476,234729,UNKNOWN,Unspecified,MANHATTAN,40.8109467661875,-73.96305894377112,"{'latitude': '40.8109467661875', 'longitude': '-73.96305894377112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,CLAREMONT AVENUE,WEST 120 STREET,,,,,,,,
58925577,2023-09-26T16:08:00.000,2023-09-27T10:07:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),10463,60 KNOLLS CRESCENT,KNOLLS CRESCENT,BEND,DEAD END,ADDRESS,BRONX,N/A,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-27T10:07:00.000,08 BRONX,2057230042,BRONX,1006859,259485,PHONE,Unspecified,BRONX,40.87887167651716,-73.91824235331397,"{'latitude': '40.87887167651716', 'longitude': '-73.91824235331397', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58929527,2023-09-26T16:08:00.000,2023-09-26T21:15:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),11105,23-81 33 STREET,33 STREET,23 RD,24 AVE,ADDRESS,ASTORIA,N/A,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-26T21:15:00.000,01 QUEENS,4008340006,QUEENS,1008114,220510,PHONE,Unspecified,QUEENS,40.771893148287944,-73.91384270454749,"{'latitude': '40.771893148287944', 'longitude': '-73.91384270454749', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58927256,2023-09-26T16:08:00.000,2023-10-05T10:17:00.000,DOT,Department of Transportation,Street Light Condition,Lamppost Knocked Down,11220,3 AVENUE,3 AVENUE,SENATOR STREET,67 STREET,INTERSECTION,BROOKLYN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-10-05T10:17:00.000,10 BROOKLYN,,BROOKLYN,977236,171575,UNKNOWN,Unspecified,BROOKLYN,40.63760755605008,-74.02527200349148,"{'latitude': '40.63760755605008', 'longitude': '-74.02527200349148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,3 AVENUE,SENATOR STREET,,,,,,,,
58925905,2023-09-26T16:07:56.000,2023-09-26T16:53:10.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,11212,190 RIVERDALE AVENUE,RIVERDALE AVENUE,BRISTOL STREET,CHESTER STREET,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T16:53:14.000,16 BROOKLYN,3036010026,BROOKLYN,1009316,180050,MOBILE,Unspecified,BROOKLYN,40.66083689012027,-73.90965373050057,"{'latitude': '40.66083689012027', 'longitude': '-73.90965373050057', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Store/Commercial,BRISTOL STREET,CHESTER STREET,RIVERDALE AVENUE,,,,,,,
58934184,2023-09-26T16:07:46.000,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Non Passenger,11101,QUEENSBORO BRIDGE,QUEENSBORO BRIDGE,ED KOCH QUEENSBORO BRIDGE,VERNON BOULEVARD,UNRECOGNIZED,LONG ISLAND CITY,,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-10-19T14:37:52.000,02 QUEENS,4004770007,QUEENS,997902,214427,PHONE,Unspecified,QUEENS,40.75521855371575,-73.95072390071218,"{'latitude': '40.75521855371575', 'longitude': '-73.95072390071218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,ED KOCH QUEENSBORO BRIDGE,VERNON BOULEVARD,ED KOCH QUEENSBORO BRIDGE,"ED KOCH QUEENSBORO BRIDGE, QUEENS (LONG ISLAND CITY) ,NY, 11",,,,,,
58930938,2023-09-26T16:07:11.000,2023-09-26T16:36:55.000,NYPD,New York City Police Department,Drinking,In Public,11103,41-12 BROADWAY,BROADWAY,41 STREET,42 STREET,ADDRESS,ASTORIA,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T16:36:58.000,01 QUEENS,4006770038,QUEENS,1007023,215593,ONLINE,Unspecified,QUEENS,40.75840013768475,-73.91779824823908,"{'latitude': '40.75840013768475', 'longitude': '-73.91779824823908', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,41 STREET,42 STREET,BROADWAY,,,,,,,
