unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,road_ramp
58932186,2023-09-26T14:07:56.000,2023-09-26T17:26:55.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11207,2115 PITKIN AVENUE,PITKIN AVENUE,NEW JERSEY AVENUE,VERMONT STREET,NEW JERSEY AVENUE,VERMONT STREET,ADDRESS,BROOKLYN,PITKIN AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T17:27:00.000,05 BROOKLYN,3037220028,BROOKLYN,1013548,184166,PHONE,Unspecified,BROOKLYN,40.67212139496832,-73.8943823097014,"{'latitude': '40.67212139496832', 'longitude': '-73.8943823097014', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58930742,2023-09-26T14:07:36.000,2023-09-26T17:08:27.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11373,40-36 77 STREET,77 STREET,ROOSEVELT AVENUE,41 AVENUE,ROOSEVELT AVENUE,41 AVENUE,ADDRESS,ELMHURST,77 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T17:08:29.000,04 QUEENS,4014870025,QUEENS,1015128,211255,MOBILE,Unspecified,QUEENS,40.746468845234055,-73.88856226999938,"{'latitude': '40.746468845234055', 'longitude': '-73.88856226999938', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58930348,2023-09-26T14:07:22.000,2023-09-27T10:52:30.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Street,10467,3327 WALLACE AVENUE,WALLACE AVENUE,NORTH OAK DRIVE,DEAD END,NORTH OAK DRIVE,DEAD END,ADDRESS,BRONX,WALLACE AVENUE,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-27T06:50:20.000,12 BRONX,2046020034,BRONX,1021846,257425,ONLINE,Unspecified,BRONX,40.87316650177622,-73.86405866959703,"{'latitude': '40.87316650177622', 'longitude': '-73.86405866959703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58931492,2023-09-26T14:07:19.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11412,189-31 LINDEN BOULEVARD,LINDEN BOULEVARD,FARMERS BOULEVARD,190 STREET,FARMERS BOULEVARD,190 STREET,ADDRESS,SAINT ALBANS,LINDEN BOULEVARD,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-27T09:49:21.000,12 QUEENS,4110590022,QUEENS,1050272,191405,ONLINE,Unspecified,QUEENS,40.69179302483796,-73.76192383996354,"{'latitude': '40.69179302483796', 'longitude': '-73.76192383996354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58932324,2023-09-26T14:07:03.000,2023-09-26T19:58:50.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10462,2145 STARLING AVENUE,STARLING AVENUE,ODELL STREET,PURDY STREET,ODELL STREET,PURDY STREET,ADDRESS,BRONX,STARLING AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T19:58:53.000,09 BRONX,2039470040,BRONX,1024731,243965,MOBILE,Unspecified,BRONX,40.83621010660156,-73.85370825386958,"{'latitude': '40.83621010660156', 'longitude': '-73.85370825386958', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58932161,2023-09-26T14:06:47.000,,DSNY,Department of Sanitation,Graffiti,Graffiti,,11226,2100 BEDFORD AVENUE,BEDFORD AVENUE,,,,,ADDRESS,BROOKLYN,,Open,The graffiti has been reported. The property owner will be notified that the City will remove the graffiti after 35 days unless the property owner requests to keep the graffiti or remove it himself or herself.,2023-09-26T14:06:47.000,14 BROOKLYN,3050837503,BROOKLYN,996430,177232,UNKNOWN,Unspecified,BROOKLYN,40.6531292016264,-73.95610427350206,"{'latitude': '40.6531292016264', 'longitude': '-73.95610427350206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58934025,2023-09-26T14:06:47.000,2023-09-27T09:52:20.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11357,17-35 UTOPIA PARKWAY,UTOPIA PARKWAY,18 AVENUE,19 AVENUE,18 AVENUE,19 AVENUE,ADDRESS,WHITESTONE,UTOPIA PARKWAY,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-27T09:52:24.000,07 QUEENS,4057810001,QUEENS,1041267,223894,PHONE,Unspecified,QUEENS,40.78102964312656,-73.79412050378406,"{'latitude': '40.78102964312656', 'longitude': '-73.79412050378406', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58931769,2023-09-26T14:06:47.000,2023-09-29T15:02:44.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11226,1864 NOSTRAND AVENUE,NOSTRAND AVENUE,AVENUE D,NEWKIRK AVENUE,AVENUE D,NEWKIRK AVENUE,ADDRESS,BROOKLYN,NOSTRAND AVENUE,Closed,The Department of Sanitation collected the requested items.,2023-09-27T10:07:50.000,17 BROOKLYN,3052160018,BROOKLYN,998555,172558,ONLINE,Unspecified,BROOKLYN,40.640296906118216,-73.94845586027154,"{'latitude': '40.640296906118216', 'longitude': '-73.94845586027154', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58930325,2023-09-26T14:06:46.000,2023-10-07T13:09:48.000,DOT,Department of Transportation,Street Sign - Damaged,St Name - Attached to Pole,Street,11357,15 AVENUE,15 AVENUE,15 AVENUE,146 STREET,15 AVENUE,146 STREET,INTERSECTION,,,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-10-07T13:09:53.000,07 QUEENS,,QUEENS,1034061,225774,ONLINE,Unspecified,QUEENS,40.78623328004792,-73.82012622833105,"{'latitude': '40.78623328004792', 'longitude': '-73.82012622833105', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58934359,2023-09-26T14:06:46.000,2023-09-27T18:32:48.000,DSNY,Department of Sanitation,Commercial Disposal Complaint,Private Carter Decal Not Posted,Street,10019,888 8 AVENUE,8 AVENUE,WEST   52 STREET,WEST   53 STREET,WEST   52 STREET,WEST   53 STREET,ADDRESS,NEW YORK,8 AVENUE,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-27T18:32:52.000,05 MANHATTAN,1010240001,MANHATTAN,988463,217649,ONLINE,Unspecified,MANHATTAN,40.7640716538889,-73.98479140116575,"{'latitude': '40.7640716538889', 'longitude': '-73.98479140116575', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
