unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,landmark,bbl,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,road_ramp,due_date
58933630,2023-09-26T12:13:52.000,2023-09-26T12:26:57.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10017,EAST   42 STREET,EAST   42 STREET,EAST   42 STREET,PARK AVENUE,EAST   42 STREET,PARK AVENUE,INTERSECTION,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T12:27:03.000,05 MANHATTAN,MANHATTAN,990435,213295,PHONE,Unspecified,MANHATTAN,40.75211987722737,-73.97767664192216,"{'latitude': '40.75211987722737', 'longitude': '-73.97767664192216', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58930525,2023-09-26T12:13:51.000,2023-09-27T07:30:48.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Sidewalk,11216,948 BERGEN STREET,BERGEN STREET,FRANKLIN AVENUE,BEDFORD AVENUE,FRANKLIN AVENUE,BEDFORD AVENUE,ADDRESS,Closed,The Department of Sanitation investigated this complaint and no DSNY related conditions/violations were observed. Location will be referred to the appropriate agency for further action.,2023-09-27T07:30:48.000,08 BROOKLYN,BROOKLYN,996650,185822,MOBILE,Unspecified,BROOKLYN,40.6767065375365,-73.95529561264702,"{'latitude': '40.6767065375365', 'longitude': '-73.95529561264702', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,BERGEN STREET,3012170011,,,,,,,
58929596,2023-09-26T12:13:39.000,2023-09-26T15:26:47.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11416,101-36 98 STREET,98 STREET,101 AVENUE,103 AVENUE,101 AVENUE,103 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T15:26:51.000,09 QUEENS,QUEENS,1027784,188641,ONLINE,Unspecified,QUEENS,40.68434567881,-73.84303349155604,"{'latitude': '40.68434567881', 'longitude': '-73.84303349155604', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",OZONE PARK,98 STREET,4091040020,,,,,,,
58928202,2023-09-26T12:13:02.000,2023-09-26T13:44:37.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11211,JACKSON STREET,JACKSON STREET,GRAHAM AVENUE,HUMBOLDT STREET,GRAHAM AVENUE,HUMBOLDT STREET,BLOCKFACE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T13:44:41.000,Unspecified BROOKLYN,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,,,,
58927847,2023-09-26T12:12:44.000,2023-09-27T12:04:07.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11216,FULTON STREET,FULTON STREET,FULTON STREET,NOSTRAND AVENUE,FULTON STREET,NOSTRAND AVENUE,INTERSECTION,Closed,The Department of Sanitation found an open service request already exists for the same location.,2023-09-27T12:04:11.000,03 BROOKLYN,BROOKLYN,998241,187165,ONLINE,Unspecified,BROOKLYN,40.68039039639543,-73.94955696438566,"{'latitude': '40.68039039639543', 'longitude': '-73.94955696438566', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58925705,2023-09-26T12:12:41.000,2023-09-26T12:51:33.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10459,919 EAST  163 STREET,EAST  163 STREET,ROGERS PLACE,INTERVALE AVENUE,ROGERS PLACE,INTERVALE AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T12:51:38.000,02 BRONX,BRONX,1012654,238410,MOBILE,Unspecified,BRONX,40.82101033092601,-73.89737603659266,"{'latitude': '40.82101033092601', 'longitude': '-73.89737603659266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,EAST  163 STREET,2026970031,,,,,,,
58927614,2023-09-26T12:12:35.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,11217,212 SOUTH OXFORD STREET,SOUTH OXFORD STREET,ATLANTIC COMMONS,ATLANTIC AVENUE,ATLANTIC COMMONS,ATLANTIC AVENUE,ADDRESS,In Progress,,,02 BROOKLYN,BROOKLYN,991777,188185,ONLINE,Unspecified,BROOKLYN,40.68319792104189,-73.97286107501579,"{'latitude': '40.68319792104189', 'longitude': '-73.97286107501579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,SOUTH OXFORD STREET,3020047501,,,,,,,
58929356,2023-09-26T12:12:10.000,2023-09-28T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11236,1 PAERDEGAT   12 STREET,PAERDEGAT   12 STREET,,,,,ADDRESS,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-28T00:00:00.000,18 BROOKLYN,BROOKLYN,1010906,168098,UNKNOWN,Unspecified,BROOKLYN,40.62802660071233,-73.90397006784973,"{'latitude': '40.62802660071233', 'longitude': '-73.90397006784973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3080700058,,,,,,,
58925874,2023-09-26T12:12:00.000,2023-10-04T10:55:00.000,DOT,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,,,,,,VAN WYCK EXPY,LIBERTY AVE,INTERSECTION,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-10-04T10:55:00.000,Unspecified QUEENS,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,N/A,,,,,,
58927092,2023-09-26T12:12:00.000,2023-11-10T07:55:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11219,1433 48 STREET,48 STREET,14 AVE,15 AVE,48 STREET,15 AVENUE,INTERSECTION,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-11-10T07:55:00.000,12 BROOKLYN,BROOKLYN,987822,169869,UNKNOWN,Unspecified,BROOKLYN,40.632927005697965,-73.98713070084814,"{'latitude': '40.632927005697965', 'longitude': '-73.98713070084814', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3056300063,,,,,,,
