unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,due_date
58931253,2023-09-26T10:56:25.000,2023-10-10T08:44:43.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11355,144-44 41 AVENUE,41 AVENUE,ADDRESS,FLUSHING,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-10T00:00:00.000,07 QUEENS,4050500020,QUEENS,1033844,216464,PHONE,Unspecified,QUEENS,40.760681041254756,-73.82097854822409,"{'latitude': '40.760681041254756', 'longitude': '-73.82097854822409', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58935086,2023-09-26T10:56:25.000,2023-09-28T11:30:04.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10001,128 WEST   30 STREET,WEST   30 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,05 MANHATTAN,1008057501,MANHATTAN,986850,211679,PHONE,Unspecified,MANHATTAN,40.74768614581407,-73.99061651290191,"{'latitude': '40.74768614581407', 'longitude': '-73.99061651290191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58926143,2023-09-26T10:56:25.000,2023-10-10T08:44:43.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,11355,144-44 41 AVENUE,41 AVENUE,ADDRESS,FLUSHING,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-10T00:00:00.000,07 QUEENS,4050500020,QUEENS,1033844,216464,PHONE,Unspecified,QUEENS,40.760681041254756,-73.82097854822409,"{'latitude': '40.760681041254756', 'longitude': '-73.82097854822409', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58930920,2023-09-26T10:56:12.000,2023-09-26T17:25:32.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11379,62-35 65 STREET,65 STREET,ADDRESS,MIDDLE VILLAGE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T17:25:35.000,05 QUEENS,4027730022,QUEENS,1012817,199515,PHONE,Unspecified,QUEENS,40.714253208796755,-73.89695243057614,"{'latitude': '40.714253208796755', 'longitude': '-73.89695243057614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",62 AVENUE,METROPOLITAN AVENUE,62 AVENUE,METROPOLITAN AVENUE,65 STREET,,,,,,,
58927178,2023-09-26T10:56:12.000,2023-09-26T11:15:06.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,1024 HANCOCK STREET,HANCOCK STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T11:15:10.000,04 BROOKLYN,3033940028,BROOKLYN,1007616,189784,ONLINE,Unspecified,BROOKLYN,40.68755916806326,-73.91574735164289,"{'latitude': '40.68755916806326', 'longitude': '-73.91574735164289', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROADWAY,BUSHWICK AVENUE,BROADWAY,BUSHWICK AVENUE,HANCOCK STREET,,,,,,,
58926376,2023-09-26T10:56:02.000,2023-10-30T13:06:50.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,10304,122 UPTON STREET,UPTON STREET,ADDRESS,STATEN ISLAND,Closed,NYC Parks performed the work necessary to correct the condition.,2023-10-30T13:06:56.000,02 STATEN ISLAND,5008520119,STATEN ISLAND,957207,157516,ONLINE,Unspecified,STATEN ISLAND,40.598980039417654,-74.09738174254605,"{'latitude': '40.598980039417654', 'longitude': '-74.09738174254605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DEAD END,VISTA AVENUE,DEAD END,VISTA AVENUE,UPTON STREET,,,,,,,
58933093,2023-09-26T10:55:42.000,2023-09-30T13:09:11.000,DSNY,Department of Sanitation,Dead Animal,Opossum,Street,10305,839 WEST FINGERBOARD ROAD,WEST FINGERBOARD ROAD,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation cleaned the location.,2023-09-27T13:57:13.000,02 STATEN ISLAND,5031650029,STATEN ISLAND,961091,158596,ONLINE,Unspecified,STATEN ISLAND,40.60195541961246,-74.08339918482697,"{'latitude': '40.60195541961246', 'longitude': '-74.08339918482697', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SHERIDAN AVENUE,GRASMERE AVENUE,SHERIDAN AVENUE,GRASMERE AVENUE,WEST FINGERBOARD ROAD,,,,,,,
58930207,2023-09-26T10:55:40.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,11225,351 RUTLAND ROAD,RUTLAND ROAD,ADDRESS,BROOKLYN,In Progress,,,09 BROOKLYN,3048010068,BROOKLYN,998380,179555,PHONE,Unspecified,BROOKLYN,40.65950242981866,-73.94907176668701,"{'latitude': '40.65950242981866', 'longitude': '-73.94907176668701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NOSTRAND AVENUE,NEW YORK AVENUE,NOSTRAND AVENUE,NEW YORK AVENUE,RUTLAND ROAD,,,,,,,
58935310,2023-09-26T10:55:35.000,2023-09-28T06:15:41.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,Street,10463,231 WEST  230 STREET,WEST  230 STREET,ADDRESS,BRONX,Closed,NYC Parks performed the work necessary to correct the condition.,2023-09-28T06:15:45.000,08 BRONX,2057030160,BRONX,1009883,259020,UNKNOWN,Unspecified,BRONX,40.87758713153509,-73.90730888779717,"{'latitude': '40.87758713153509', 'longitude': '-73.90730888779717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GODWIN TERRACE,KINGSBRIDGE AVENUE,GODWIN TERRACE,KINGSBRIDGE AVENUE,WEST  230 STREET,,,,,,,
58932196,2023-09-26T10:55:28.000,2023-09-26T12:53:03.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10459,1286 WESTCHESTER AVENUE,WESTCHESTER AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T12:53:08.000,02 BRONX,2027570093,BRONX,1015559,240688,ONLINE,Unspecified,BRONX,40.827252970331394,-73.88686962140169,"{'latitude': '40.827252970331394', 'longitude': '-73.88686962140169', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  167 STREET,HOME STREET,EAST  167 STREET,HOME STREET,WESTCHESTER AVENUE,,,,,,,
