unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,due_date,taxi_pick_up_location,road_ramp,bridge_highway_direction,taxi_company_borough
58927506,2023-09-26T09:18:21.000,2023-09-26T09:52:37.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,10025,2861 BROADWAY,BROADWAY,WEST  111 STREET,WEST  112 STREET,WEST  111 STREET,WEST  112 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T09:52:41.000,09 MANHATTAN,1018940047,MANHATTAN,993615,232528,ONLINE,Unspecified,MANHATTAN,40.80490658493347,-73.96617234536956,"{'latitude': '40.80490658493347', 'longitude': '-73.96617234536956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58928930,2023-09-26T09:18:19.000,2023-09-27T08:11:03.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10027,265 WEST  123 STREET,WEST  123 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,WEST  123 STREET,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-26T09:18:19.000,10 MANHATTAN,1019290001,MANHATTAN,997807,233807,MOBILE,Unspecified,MANHATTAN,40.80841164870328,-73.95102769065737,"{'latitude': '40.80841164870328', 'longitude': '-73.95102769065737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58932758,2023-09-26T09:18:07.000,2023-11-21T08:04:53.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,10028,108 EAST   82 STREET,EAST   82 STREET,PARK AVENUE,LEXINGTON AVENUE,PARK AVENUE,LEXINGTON AVENUE,ADDRESS,NEW YORK,EAST   82 STREET,Closed,NYC Parks visited the location but could not find the tree condition you reported.,2023-11-21T08:04:58.000,08 MANHATTAN,1015100065,MANHATTAN,995733,222490,PHONE,Unspecified,MANHATTAN,40.777352481938294,-73.95853900384778,"{'latitude': '40.777352481938294', 'longitude': '-73.95853900384778', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58929013,2023-09-26T09:17:53.000,,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,11414,88-08 151 AVENUE,151 AVENUE,88 STREET,89 STREET,88 STREET,89 STREET,ADDRESS,HOWARD BEACH,151 AVENUE,In Progress,,,10 QUEENS,4114340007,QUEENS,1026720,182861,ONLINE,Unspecified,QUEENS,40.66848607627237,-73.84690627257683,"{'latitude': '40.66848607627237', 'longitude': '-73.84690627257683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58927771,2023-09-26T09:17:41.000,2023-09-27T10:02:57.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Phone/Cable Lines,Street,11691,13-11 AUGUSTINA AVENUE,AUGUSTINA AVENUE,WHEATLEY STREET,NAMEOKE AVENUE,WHEATLEY STREET,NAMEOKE AVENUE,ADDRESS,FAR ROCKAWAY,AUGUSTINA AVENUE,Closed,NYC Parks does not perform tree work for phone or cable service. Please contact the appropriate service provider.,2023-09-27T10:03:00.000,14 QUEENS,4155350018,QUEENS,1053519,160592,PHONE,Unspecified,QUEENS,40.60719355784126,-73.75053161463214,"{'latitude': '40.60719355784126', 'longitude': '-73.75053161463214', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58934551,2023-09-26T09:17:37.000,2023-09-26T09:38:58.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11369,26-38 92 STREET,92 STREET,ASTORIA BOULEVARD,30 AVENUE,ASTORIA BOULEVARD,30 AVENUE,ADDRESS,EAST ELMHURST,92 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T09:39:02.000,03 QUEENS,4013650049,QUEENS,1018274,217130,MOBILE,Unspecified,QUEENS,40.76258266676201,-73.8771787406619,"{'latitude': '40.76258266676201', 'longitude': '-73.8771787406619', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58934315,2023-09-26T09:17:31.000,2023-09-27T13:01:14.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,10312,188 RIDGEWOOD AVENUE,RIDGEWOOD AVENUE,PATTY COURT,GENESEE AVENUE,PATTY COURT,GENESEE AVENUE,ADDRESS,STATEN ISLAND,RIDGEWOOD AVENUE,Closed,The Department of Sanitation collected the requested items.,2023-09-27T12:41:16.000,03 STATEN ISLAND,5055180178,STATEN ISLAND,938658,140384,ONLINE,Unspecified,STATEN ISLAND,40.551880134196374,-74.16406095474466,"{'latitude': '40.551880134196374', 'longitude': '-74.16406095474466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58933975,2023-09-26T09:17:27.000,2023-09-26T12:13:17.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11235,2838 COYLE STREET,COYLE STREET,SHORE PARKWAY,EMMONS AVENUE,SHORE PARKWAY,EMMONS AVENUE,ADDRESS,BROOKLYN,COYLE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T12:13:21.000,15 BROOKLYN,3088047502,BROOKLYN,1002562,152267,MOBILE,Unspecified,BROOKLYN,40.58459493164152,-73.93407276701545,"{'latitude': '40.58459493164152', 'longitude': '-73.93407276701545', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58932954,2023-09-26T09:17:18.000,2023-09-27T08:00:35.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,11422,234-26 MERRICK BOULEVARD,MERRICK BOULEVARD,234 STREET,LAURELTON PARKWAY,234 STREET,LAURELTON PARKWAY,ADDRESS,ROSEDALE,MERRICK BOULEVARD,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-26T19:30:05.000,13 QUEENS,,QUEENS,1057551,185066,PHONE,Unspecified,QUEENS,40.67433669958116,-73.73574478329071,"{'latitude': '40.67433669958116', 'longitude': '-73.73574478329071', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58932096,2023-09-26T09:17:10.000,2023-09-26T10:19:13.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11230,959 EAST   13 STREET,EAST   13 STREET,AVENUE I,AVENUE J,AVENUE I,AVENUE J,ADDRESS,BROOKLYN,EAST   13 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T10:19:17.000,14 BROOKLYN,3067060063,BROOKLYN,994396,167383,PHONE,Unspecified,BROOKLYN,40.62609837023764,-73.96344945318457,"{'latitude': '40.62609837023764', 'longitude': '-73.96344945318457', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
