unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,taxi_pick_up_location
58933526,2023-09-26T07:17:49.000,2023-09-26T07:49:27.000,NYPD,New York City Police Department,Graffiti,Police Report Not Requested,Store/Commercial,11249,29 GRAND STREET,GRAND STREET,RIVER STREET,KENT AVENUE,RIVER STREET,KENT AVENUE,ADDRESS,BROOKLYN,GRAND STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T07:49:31.000,01 BROOKLYN,3023770002,BROOKLYN,993626,200223,ONLINE,Unspecified,BROOKLYN,40.71623765092783,-73.96617766729332,"{'latitude': '40.71623765092783', 'longitude': '-73.96617766729332', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58930861,2023-09-26T07:17:26.000,2023-09-26T11:47:19.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11204,1771 73 STREET,73 STREET,17 AVENUE,18 AVENUE,17 AVENUE,18 AVENUE,ADDRESS,BROOKLYN,73 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T11:47:23.000,11 BROOKLYN,3061930055,BROOKLYN,985466,163363,MOBILE,Unspecified,BROOKLYN,40.61507003433819,-73.99562013396394,"{'latitude': '40.61507003433819', 'longitude': '-73.99562013396394', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58930422,2023-09-26T07:17:19.000,2023-09-27T09:19:00.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11225,456 MONTGOMERY STREET,MONTGOMERY STREET,CLOVE ROAD,NEW YORK AVENUE,CLOVE ROAD,NEW YORK AVENUE,ADDRESS,BROOKLYN,MONTGOMERY STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-27T09:19:05.000,09 BROOKLYN,3013090035,BROOKLYN,998220,181675,MOBILE,Unspecified,BROOKLYN,40.665321614163915,-73.949644056098,"{'latitude': '40.665321614163915', 'longitude': '-73.949644056098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58930108,2023-09-26T07:17:05.000,2023-09-26T14:18:57.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11418,100-13 90 AVENUE,90 AVENUE,DEAD END,102 STREET,DEAD END,102 STREET,ADDRESS,RICHMOND HILL,90 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T14:19:01.000,09 QUEENS,4092910028,QUEENS,1027187,191479,MOBILE,Unspecified,QUEENS,40.69213824120625,-73.84516794784003,"{'latitude': '40.69213824120625', 'longitude': '-73.84516794784003', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58930848,2023-09-26T07:16:57.000,2023-09-27T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,,10452,1591 JESUP AVENUE,JESUP AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-09-27T00:00:00.000,05 BRONX,2028720243,BRONX,1006848,247307,UNKNOWN,Unspecified,BRONX,40.84544678429007,-73.91832319215882,"{'latitude': '40.84544678429007', 'longitude': '-73.91832319215882', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58933373,2023-09-26T07:16:40.000,2023-09-26T10:04:45.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11354,LATIMER PLACE,LATIMER PLACE,LATIMER PLACE,137 STREET,LATIMER PLACE,137 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T10:04:49.000,07 QUEENS,,QUEENS,1031236,218694,MOBILE,Unspecified,QUEENS,40.766816049499326,-73.83037713886586,"{'latitude': '40.766816049499326', 'longitude': '-73.83037713886586', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58935294,2023-09-26T07:16:24.000,2023-10-06T10:06:49.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,10308,HYLAN BOULEVARD,HYLAN BOULEVARD,HYLAN BOULEVARD,MCKEE AVENUE,HYLAN BOULEVARD,MCKEE AVENUE,INTERSECTION,,,Closed,No action was taken because NYC Parks determined that the issue is out of its jurisdiction. The condition may be on private property or in an area serviced by another organization.,2023-10-06T10:06:55.000,03 STATEN ISLAND,,STATEN ISLAND,944776,138211,ONLINE,Unspecified,STATEN ISLAND,40.54594501078492,-74.14203294385243,"{'latitude': '40.54594501078492', 'longitude': '-74.14203294385243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58926940,2023-09-26T07:16:11.000,2023-09-26T07:47:37.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10467,333 EAST  206 STREET,EAST  206 STREET,BAINBRIDGE AVENUE,PERRY AVENUE,BAINBRIDGE AVENUE,PERRY AVENUE,ADDRESS,BRONX,EAST  206 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-26T07:47:41.000,07 BRONX,2033420038,BRONX,1017875,258058,MOBILE,Unspecified,BRONX,40.87491991144852,-73.87841399594078,"{'latitude': '40.87491991144852', 'longitude': '-73.87841399594078', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58933635,2023-09-26T07:16:06.000,2023-09-26T08:51:37.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10457,2000 ANTHONY AVENUE,ANTHONY AVENUE,BUSH STREET,EAST BURNSIDE AVENUE,BUSH STREET,EAST BURNSIDE AVENUE,ADDRESS,BRONX,ANTHONY AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T08:51:42.000,05 BRONX,2028140065,BRONX,1011123,249496,ONLINE,Unspecified,BRONX,40.851442964126655,-73.90286313589652,"{'latitude': '40.851442964126655', 'longitude': '-73.90286313589652', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58927556,2023-09-26T07:16:02.000,2023-09-26T08:10:12.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11377,56 STREET,56 STREET,56 STREET,BROADWAY,56 STREET,BROADWAY,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T08:10:18.000,02 QUEENS,,QUEENS,1010502,213471,PHONE,Unspecified,QUEENS,40.752566145855184,-73.90524869358502,"{'latitude': '40.752566145855184', 'longitude': '-73.90524869358502', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
